Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Nov 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	44 , 	59 , 	12 , 	13 , 	117 , 	22 , 	38 , 	48 , 	73 , 	74 , 	130 , 	77 , 	7 , 	125 , 	91 , 	37 , 	33 , 	44 , 	11 , 	9 , 	8 , 	6 , 	2 , 	8 , 	13 , 	138 , 	136 , 	405 , 	114 , 	35 , 	46 , 	16 , 	22 , 	20 , 	15 , 	24 , 	51 , 	4 , 	10 ," 	2,136 ",,,WP line," 	5,837 ", 	887 ," 	1,142 ", 	965 ," 	3,396 ", 	830 ," 	13,057 "
BF, 	27 , 	30 , 	13 , 	14 , 	105 , 	28 , 	46 , 	54 , 	128 , 	98 , 	256 , 	160 , 	132 , 	8 , 	134 , 	92 , 	86 , 	116 , 	13 , 	7 , 	9 , 	3 , 	1 , 	8 , 	38 , 	101 , 	104 , 	294 , 	94 , 	27 , 	36 , 	15 , 	22 , 	25 , 	16 , 	51 , 	115 , 	2 , 	13 ," 	2,520 ",,,FT/ED line," 	8,079 "," 	2,368 "," 	1,703 "," 	2,882 ", 	823 ," 	7,467 "," 	23,322 "
HY, 	22 , 	34 , 	10 , 	16 , 	133 , 	26 , 	43 , 	45 , 	95 , 	40 , 	148 , 	106 , 	102 , 	160 , 	8 , 	94 , 	109 , 	151 , 	12 , 	8 , 	5 , 	2 , 	1 , 	6 , 	16 , 	81 , 	73 , 	195 , 	73 , 	26 , 	32 , 	8 , 	14 , 	18 , 	14 , 	17 , 	52 , 	2 , 	21 ," 	2,015 ",,,Entries," 	42,087 "," 	12,640 "," 	26,127 "," 	19,220 "," 	12,815 "," 	24,795 "," 	137,683 "
SH, 	14 , 	13 , 	4 , 	6 , 	41 , 	9 , 	14 , 	23 , 	28 , 	22 , 	56 , 	64 , 	41 , 	88 , 	84 , 	5 , 	53 , 	74 , 	11 , 	5 , 	4 , 	2 , 	0 , 	5 , 	8 , 	54 , 	40 , 	144 , 	35 , 	14 , 	22 , 	3 , 	11 , 	14 , 	9 , 	11 , 	21 , 	1 , 	8 ," 	1,063 ",,,,,,,,,,
UC, 	8 , 	23 , 	11 , 	8 , 	179 , 	17 , 	20 , 	28 , 	71 , 	47 , 	62 , 	70 , 	39 , 	92 , 	107 , 	61 , 	10 , 	107 , 	14 , 	6 , 	6 , 	2 , 	2 , 	8 , 	7 , 	104 , 	100 , 	310 , 	60 , 	10 , 	22 , 	9 , 	13 , 	21 , 	10 , 	8 , 	23 , 	4 , 	9 ," 	1,706 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	22 , 	37 , 	22 , 	18 , 	402 , 	32 , 	27 , 	40 , 	88 , 	45 , 	79 , 	114 , 	49 , 	107 , 	147 , 	78 , 	103 , 	19 , 	21 , 	19 , 	14 , 	6 , 	4 , 	26 , 	8 , 	219 , 	181 , 	556 , 	132 , 	25 , 	34 , 	13 , 	20 , 	34 , 	18 , 	11 , 	39 , 	4 , 	20 ," 	2,833 ",,,Dtwn SF," 	1,540 ",,,,,,
CN, 	24 , 	21 , 	11 , 	10 , 	50 , 	13 , 	38 , 	36 , 	74 , 	9 , 	31 , 	45 , 	12 , 	14 , 	8 , 	10 , 	12 , 	19 , 	11 , 	72 , 	318 , 	68 , 	31 , 	35 , 	7 , 	125 , 	98 , 	282 , 	105 , 	30 , 	57 , 	25 , 	25 , 	36 , 	39 , 	3 , 	12 , 	30 , 	223 ," 	2,071 ",,,OAK," 	10,898 ", 	496 ,,,,,
PH, 	8 , 	11 , 	6 , 	9 , 	85 , 	8 , 	21 , 	22 , 	47 , 	7 , 	15 , 	33 , 	8 , 	5 , 	8 , 	6 , 	5 , 	17 , 	73 , 	9 , 	74 , 	24 , 	12 , 	62 , 	2 , 	195 , 	148 , 	401 , 	118 , 	19 , 	27 , 	13 , 	16 , 	29 , 	34 , 	2 , 	5 , 	15 , 	46 ," 	1,643 ",,,CM line," 	29,808 "," 	2,603 "," 	5,324 ",,,,
WC, 	12 , 	17 , 	16 , 	13 , 	114 , 	10 , 	30 , 	26 , 	76 , 	6 , 	18 , 	39 , 	7 , 	7 , 	5 , 	5 , 	5 , 	13 , 	388 , 	92 , 	8 , 	57 , 	18 , 	100 , 	5 , 	225 , 	179 , 	465 , 	165 , 	18 , 	27 , 	16 , 	15 , 	26 , 	30 , 	4 , 	3 , 	37 , 	92 ," 	2,391 ",,,RM line," 	12,132 "," 	4,064 "," 	3,839 "," 	5,506 ",,,
LF, 	4 , 	6 , 	3 , 	5 , 	97 , 	4 , 	13 , 	19 , 	33 , 	5 , 	15 , 	19 , 	5 , 	3 , 	2 , 	2 , 	2 , 	3 , 	74 , 	29 , 	59 , 	4 , 	13 , 	75 , 	2 , 	148 , 	109 , 	277 , 	77 , 	10 , 	12 , 	8 , 	3 , 	10 , 	11 , 	2 , 	1 , 	9 , 	14 ," 	1,189 ",,,WP line," 	11,770 "," 	1,556 "," 	2,244 "," 	1,857 "," 	3,396 ",,
