Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Nov 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	9 , 	172 , 	140 , 	100 , 	524 , 	138 , 	175 , 	176 , 	257 , 	62 , 	131 , 	99 , 	52 , 	50 , 	51 , 	28 , 	21 , 	40 , 	41 , 	26 , 	36 , 	13 , 	12 , 	30 , 	30 , 	226 , 	266 , 	325 , 	259 , 	131 , 	185 , 	31 , 	56 , 	75 , 	32 , 	9 , 	26 , 	9 , 	30 ," 	4,072 ",,,Eastbay," 	75,689 ",,SF CBD," 	186,714 ",63.4%,,,
EN, 	156 , 	14 , 	87 , 	85 , 	929 , 	150 , 	200 , 	384 , 	603 , 	105 , 	122 , 	140 , 	48 , 	37 , 	59 , 	26 , 	37 , 	60 , 	48 , 	26 , 	35 , 	12 , 	11 , 	26 , 	35 , 	737 , 	823 , 	671 , 	595 , 	106 , 	159 , 	58 , 	82 , 	153 , 	58 , 	6 , 	29 , 	8 , 	22 ," 	6,943 ",,,Westbay," 	75,269 ",,non-CBD," 	107,646 ",36.6%,,,
EP, 	125 , 	82 , 	6 , 	36 , 	683 , 	71 , 	83 , 	179 , 	299 , 	87 , 	52 , 	63 , 	27 , 	15 , 	30 , 	10 , 	14 , 	42 , 	28 , 	21 , 	27 , 	8 , 	10 , 	20 , 	9 , 	383 , 	459 , 	309 , 	290 , 	45 , 	40 , 	26 , 	28 , 	67 , 	13 , 	4 , 	14 , 	1 , 	11 ," 	3,718 ",,,Transbay," 	143,403 ",,,,,,,
NB, 	882 , 	28 , 	17 , 	3 , 	150 , 	23 , 	39 , 	104 , 	227 , 	37 , 	28 , 	39 , 	11 , 	6 , 	11 , 	4 , 	5 , 	19 , 	10 , 	9 , 	11 , 	3 , 	10 , 	10 , 	6 , 	300 , 	337 , 	205 , 	242 , 	47 , 	33 , 	18 , 	16 , 	51 , 	7 , 	1 , 	8 , 	1 , 	1 ," 	2,961 ",,,,,,,,,,,
BK, 	448 ," 	1,054 ", 	715 , 	227 , 	20 , 	413 , 	361 , 	471 , 	672 , 	281 , 	289 , 	279 , 	184 , 	153 , 	156 , 	116 , 	156 , 	294 , 	114 , 	172 , 	139 , 	73 , 	62 , 	41 , 	72 , 	629 , 	628 , 	744 , 	746 , 	218 , 	260 , 	144 , 	125 , 	223 , 	90 , 	42 , 	115 , 	37 , 	83 ," 	11,044 ",,,Extensions," 	39,600 ",,,,,,,
AS, 	114 , 	142 , 	65 , 	44 , 	357 , 	7 , 	65 , 	162 , 	211 , 	94 , 	98 , 	103 , 	40 , 	42 , 	41 , 	22 , 	24 , 	57 , 	28 , 	18 , 	25 , 	7 , 	9 , 	12 , 	30 , 	393 , 	448 , 	300 , 	315 , 	93 , 	85 , 	28 , 	33 , 	67 , 	16 , 	8 , 	25 , 	5 , 	20 ," 	3,655 ",,,,,,,,,,,
MA, 	29 , 	28 , 	17 , 	15 , 	18 , 	8 , 	9 , 	16 , 	-   , 	-   , 	207 , 	228 , 	93 , 	181 , 	476 , 	154 , 	32 , 	166 , 	20 , 	15 , 	16 , 	4 , 	6 , 	8 , 	7 , 	900 , 	899 , 	666 , 	645 , 	183 , 	158 , 	64 , 	74 , 	129 , 	7 , 	-   , 	-   , 	-   , 	-   ," 	5,477 ",,,,,,,,,,,
19, 	159 , 	448 , 	186 , 	181 , 	428 , 	175 , 	122 , 	10 , 	75 , 	39 , 	120 , 	148 , 	169 , 	171 , 	169 , 	144 , 	170 , 	287 , 	223 , 	308 , 	215 , 	118 , 	79 , 	104 , 	42 , 	613 , 	634 , 	480 , 	537 , 	134 , 	156 , 	111 , 	107 , 	159 , 	145 , 	40 , 	141 , 	111 , 	207 ," 	7,861 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	230 , 	684 , 	294 , 	254 , 	602 , 	224 , 	195 , 	77 , 	24 , 	70 , 	261 , 	359 , 	338 , 	364 , 	334 , 	214 , 	257 , 	407 , 	314 , 	408 , 	311 , 	185 , 	146 , 	192 , 	78 , 	887 , 	888 , 	967 , 	800 , 	197 , 	235 , 	173 , 	169 , 	267 , 	222 , 	77 , 	256 , 	110 , 	292 ," 	12,359 ",,,Dtwn SF," 	3,770 "," 	12,479 "," 	31,257 "," 	10,756 "," 	16,684 "," 	20,341 "," 	95,287 ",
LM, 	45 , 	109 , 	90 , 	77 , 	254 , 	100 , 	64 , 	34 , 	68 , 	8 , 	173 , 	195 , 	217 , 	190 , 	151 , 	103 , 	126 , 	150 , 	32 , 	24 , 	22 , 	10 , 	12 , 	32 , 	33 , 	450 , 	471 , 	440 , 	349 , 	83 , 	90 , 	41 , 	68 , 	109 , 	27 , 	80 , 	213 , 	10 , 	23 ," 	4,774 ",,,OAK," 	13,766 "," 	1,155 "," 	3,399 "," 	4,869 "," 	3,637 "," 	7,936 "," 	34,763 ",
