Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Nov 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	30 , 	49 , 	8 , 	11 , 	48 , 	15 , 	27 , 	21 , 	42 , 	49 , 	95 , 	521 , 	9 , 	82 , 	52 , 	23 , 	28 , 	35 , 	11 , 	6 , 	8 , 	3 , 	2 , 	7 , 	7 , 	70 , 	66 , 	193 , 	72 , 	21 , 	25 , 	12 , 	13 , 	11 , 	15 , 	15 , 	35 , 	2 , 	11 ," 	1,750 ",,,WP line," 	3,465 ", 	578 , 	873 , 	442 ," 	2,029 "," 	1,602 "," 	8,987 "
BF, 	20 , 	18 , 	7 , 	10 , 	34 , 	19 , 	27 , 	29 , 	71 , 	66 , 	170 , 	556 , 	87 , 	5 , 	80 , 	66 , 	56 , 	83 , 	12 , 	4 , 	5 , 	2 , 	1 , 	7 , 	23 , 	52 , 	54 , 	180 , 	66 , 	15 , 	28 , 	9 , 	15 , 	16 , 	14 , 	37 , 	91 , 	2 , 	10 ," 	2,041 ",,,FT/ED line," 	6,984 "," 	2,352 "," 	1,798 "," 	2,374 "," 	1,958 "," 	11,322 "," 	26,789 "
HY, 	19 , 	20 , 	9 , 	11 , 	38 , 	17 , 	28 , 	28 , 	57 , 	28 , 	102 , 	277 , 	60 , 	91 , 	7 , 	47 , 	61 , 	104 , 	9 , 	4 , 	8 , 	2 , 	1 , 	5 , 	9 , 	50 , 	31 , 	99 , 	39 , 	17 , 	26 , 	4 , 	11 , 	11 , 	9 , 	9 , 	31 , 	1 , 	12 ," 	1,386 ",,,Entries," 	28,728 "," 	8,973 "," 	17,577 "," 	11,454 "," 	8,930 "," 	24,908 "," 	100,571 "
SH, 	9 , 	11 , 	4 , 	2 , 	21 , 	7 , 	10 , 	11 , 	17 , 	20 , 	35 , 	158 , 	24 , 	66 , 	56 , 	6 , 	27 , 	50 , 	4 , 	3 , 	2 , 	1 , 	1 , 	2 , 	6 , 	25 , 	23 , 	65 , 	23 , 	8 , 	13 , 	5 , 	6 , 	7 , 	8 , 	11 , 	17 , 	1 , 	8 , 	768 ,,,,,,,,,,
UC, 	11 , 	13 , 	8 , 	5 , 	42 , 	16 , 	11 , 	12 , 	35 , 	40 , 	42 , 	275 , 	32 , 	61 , 	63 , 	37 , 	9 , 	69 , 	6 , 	2 , 	5 , 	2 , 	2 , 	5 , 	4 , 	57 , 	44 , 	142 , 	47 , 	11 , 	16 , 	6 , 	15 , 	11 , 	7 , 	5 , 	20 , 	2 , 	9 ," 	1,193 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	22 , 	42 , 	27 , 	20 , 	159 , 	23 , 	33 , 	34 , 	85 , 	66 , 	92 , 	266 , 	50 , 	120 , 	150 , 	74 , 	87 , 	28 , 	26 , 	16 , 	17 , 	6 , 	4 , 	13 , 	9 , 	142 , 	130 , 	421 , 	142 , 	24 , 	31 , 	17 , 	25 , 	33 , 	24 , 	15 , 	49 , 	4 , 	28 ," 	2,556 ",,,Dtwn SF," 	1,047 ",,,,,,
CN, 	19 , 	14 , 	8 , 	9 , 	22 , 	9 , 	26 , 	19 , 	39 , 	3 , 	22 , 	135 , 	11 , 	8 , 	6 , 	7 , 	5 , 	17 , 	8 , 	58 , 	222 , 	45 , 	30 , 	22 , 	3 , 	78 , 	67 , 	146 , 	78 , 	19 , 	43 , 	13 , 	27 , 	26 , 	26 , 	2 , 	6 , 	15 , 	125 ," 	1,434 ",,,OAK," 	6,882 ", 	356 ,,,,,
PH, 	5 , 	6 , 	6 , 	10 , 	29 , 	9 , 	14 , 	14 , 	29 , 	8 , 	6 , 	193 , 	3 , 	7 , 	4 , 	1 , 	3 , 	15 , 	58 , 	8 , 	49 , 	14 , 	8 , 	36 , 	4 , 	105 , 	77 , 	210 , 	87 , 	12 , 	13 , 	12 , 	16 , 	19 , 	26 , 	2 , 	3 , 	5 , 	35 ," 	1,156 ",,,CM line," 	19,555 "," 	1,834 "," 	3,483 ",,,,
WC, 	5 , 	11 , 	9 , 	7 , 	29 , 	12 , 	22 , 	20 , 	40 , 	5 , 	12 , 	194 , 	8 , 	4 , 	6 , 	3 , 	5 , 	9 , 	269 , 	54 , 	9 , 	38 , 	14 , 	44 , 	4 , 	111 , 	95 , 	260 , 	117 , 	16 , 	21 , 	10 , 	13 , 	19 , 	25 , 	2 , 	1 , 	22 , 	53 ," 	1,591 ",,,RM line," 	6,924 "," 	2,601 "," 	2,244 "," 	2,942 ",,,
LF, 	5 , 	5 , 	5 , 	2 , 	22 , 	4 , 	9 , 	10 , 	21 , 	4 , 	9 , 	152 , 	3 , 	1 , 	1 , 	1 , 	2 , 	2 , 	47 , 	12 , 	35 , 	5 , 	6 , 	30 , 	2 , 	69 , 	68 , 	165 , 	73 , 	5 , 	9 , 	7 , 	7 , 	6 , 	11 , 	1 , 	2 , 	5 , 	9 , 	824 ,,,WP line," 	6,781 "," 	1,000 "," 	1,680 ", 	839 ," 	2,029 ",,
OR, 	2 , 	1 , 	4 , 	4 , 	13 , 	1 , 	10 , 	4 , 	15 , 	2 , 	6 , 	149 , 	1 , 	1 , 	2 , 	1 , 	2 , 	3 , 	25 , 	8 , 	14 , 	7 , 	2 , 	24 , 	-   , 	47 , 	48 , 	152 , 	54 , 	5 , 	8 , 	5 , 	7 , 	4 , 	7 , 	-   , 	0 , 	3 , 	3 , 	641 ,,,FT/ED line," 	13,288 "," 	4,414 "," 	3,378 "," 	4,412 "," 	3,560 "," 	11,322 "," 	100,571 "
RR, 	13 , 	8 , 	11 , 	9 , 	25 , 	9 , 	21 , 	31 , 	46 , 	13 , 	21 , 	111 , 	9 , 	7 , 	5 , 	3 , 	7 , 	16 , 	24 , 	25 , 	46 , 	27 , 	23 , 	6 , 	3 , 	149 , 	129 , 	349 , 	224 , 	64 , 	59 , 	20 , 	15 , 	11 , 	19 , 	3 , 	5 , 	4 , 	21 ," 	1,588 ",,,,,,,,,,
OW, 	30 , 	24 , 	3 , 	5 , 	32 , 	21 , 	19 , 	13 , 	23 , 	10 , 	55 , 	63 , 	12 , 	18 , 	8 , 	5 , 	3 , 	6 , 	3 , 	3 , 	3 , 	1 , 	2 , 	4 , 	3 , 	105 , 	114 , 	334 , 	107 , 	40 , 	38 , 	15 , 	14 , 	5 , 	7 , 	1 , 	9 , 	1 , 	7 ," 	1,160 ",,,,,,,,,,
EM, 	53 , 	100 , 	82 , 	101 , 	268 , 	88 , 	123 , 	98 , 	198 , 	103 , 	106 , 	565 , 	81 , 	61 , 	52 , 	26 , 	57 , 	104 , 	96 , 	116 , 	116 , 	76 , 	51 , 	165 , 	119 , 	37 , 	23 , 	115 , 	56 , 	201 , 	276 , 	103 , 	179 , 	113 , 	83 , 	51 , 	190 , 	24 , 	86 ," 	4,537 ",,,,,,,,,,
MT, 	74 , 	131 , 	67 , 	96 , 	236 , 	66 , 	120 , 	92 , 	172 , 	94 , 	129 , 	227 , 	73 , 	62 , 	29 , 	32 , 	62 , 	89 , 	65 , 	79 , 	84 , 	59 , 	59 , 	109 , 	108 , 	36 , 	24 , 	56 , 	45 , 	229 , 	303 , 	247 , 	721 , 	121 , 	113 , 	41 , 	116 , 	20 , 	55 ," 	4,538 ",,,,,,,,,,
PL, 	117 , 	279 , 	150 , 	179 , 	557 , 	188 , 	326 , 	189 , 	386 , 	245 , 	339 , 	485 , 	168 , 	161 , 	97 , 	62 , 	122 , 	257 , 	130 , 	185 , 	249 , 	153 , 	155 , 	335 , 	365 , 	115 , 	41 , 	98 , 	148 , 	841 ," 	1,214 ", 	633 ," 	1,050 ", 	542 , 	454 , 	109 , 	467 , 	52 , 	187 ," 	11,834 ",,,,,,,,,,
CC, 	49 , 	79 , 	73 , 	110 , 	229 , 	97 , 	139 , 	92 , 	149 , 	84 ," 	1,189 ", 	233 , 	57 , 	48 , 	31 , 	24 , 	33 , 	84 , 	59 , 	75 , 	103 , 	70 , 	52 , 	171 , 	95 , 	39 , 	32 , 	128 , 	56 , 	407 , 	545 , 	191 , 	428 , 	195 , 	176 , 	41 , 	143 , 	22 , 	59 ," 	5,888 ",,,,,,,,,,
16, 	51 , 	42 , 	18 , 	40 , 	104 , 	49 , 	80 , 	47 , 	71 , 	44 , 	85 , 	115 , 	21 , 	16 , 	15 , 	15 , 	12 , 	24 , 	22 , 	14 , 	15 , 	7 , 	6 , 	52 , 	47 , 	180 , 	224 , 	875 , 	495 , 	38 , 	160 , 	102 , 	216 , 	118 , 	102 , 	6 , 	29 , 	4 , 	24 ," 	3,577 ",,,,,,,,,,
