Exit stations,Entry stations->,,SUNDAY,,,Jun 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	56 , 	102 , 	63 , 	46 , 	117 , 	72 , 	101 , 	57 , 	104 , 	69 , 	106 , 	12 , 	88 , 	127 , 	95 , 	74 , 	59 , 	158 , 	46 , 	55 , 	56 , 	53 , 	32 , 	40 , 	52 , 	211 , 	139 , 	426 , 	235 , 	70 , 	71 , 	28 , 	28 , 	26 , 	6 , 	60 , 	331 , 	21 , 	82 , 	6 , 	11 , 	53 , 	20 ," 	3,658 ",,,CM line," 	14,677 "," 	1,383 "," 	4,736 "," 	1,308 ", 	927 ," 	1,388 "," 	1,912 "," 	26,332 "
SL, 	20 , 	26 , 	11 , 	16 , 	44 , 	23 , 	37 , 	30 , 	67 , 	83 , 	111 , 	95 , 	8 , 	70 , 	67 , 	36 , 	20 , 	38 , 	10 , 	9 , 	7 , 	2 , 	3 , 	10 , 	23 , 	117 , 	84 , 	307 , 	233 , 	35 , 	46 , 	14 , 	19 , 	19 , 	5 , 	22 , 	35 , 	4 , 	21 , 	1 , 	5 , 	33 , 	6 ," 	1,869 ",,,RM line," 	6,186 "," 	1,544 "," 	1,432 "," 	2,559 ", 	586 ," 	2,017 ", 	707 ," 	15,031 "
BF, 	18 , 	26 , 	11 , 	15 , 	45 , 	24 , 	48 , 	32 , 	71 , 	78 , 	150 , 	144 , 	75 , 	7 , 	85 , 	67 , 	71 , 	114 , 	13 , 	5 , 	7 , 	4 , 	3 , 	9 , 	23 , 	147 , 	87 , 	284 , 	228 , 	31 , 	34 , 	16 , 	22 , 	21 , 	9 , 	42 , 	115 , 	4 , 	22 , 	6 , 	6 , 	21 , 	9 ," 	2,242 ",,,WP line," 	6,570 ", 	730 ," 	1,009 ", 	600 ," 	2,148 ", 	993 , 	863 ," 	12,913 "
HY, 	19 , 	31 , 	9 , 	9 , 	30 , 	17 , 	39 , 	27 , 	42 , 	34 , 	110 , 	107 , 	66 , 	106 , 	4 , 	62 , 	63 , 	110 , 	8 , 	5 , 	6 , 	2 , 	4 , 	6 , 	14 , 	76 , 	36 , 	156 , 	128 , 	23 , 	21 , 	10 , 	9 , 	16 , 	5 , 	11 , 	35 , 	3 , 	21 , 	4 , 	6 , 	14 , 	3 ," 	1,504 ",,,FT/ED line," 	8,748 "," 	1,950 "," 	1,417 "," 	1,766 ", 	947 ," 	6,453 ", 	603 ," 	21,881 "
SH, 	8 , 	11 , 	6 , 	5 , 	17 , 	6 , 	16 , 	17 , 	22 , 	19 , 	35 , 	73 , 	28 , 	65 , 	58 , 	7 , 	35 , 	67 , 	4 , 	4 , 	4 , 	2 , 	2 , 	5 , 	7 , 	46 , 	22 , 	110 , 	93 , 	14 , 	17 , 	9 , 	8 , 	8 , 	5 , 	8 , 	25 , 	2 , 	16 , 	2 , 	1 , 	9 , 	2 , 	915 ,,,SFIA," 	5,328 ", 	299 ," 	1,554 ", 	452 , 	595 , 	462 , 	875 ," 	9,564 "
UC, 	6 , 	18 , 	9 , 	9 , 	31 , 	16 , 	13 , 	16 , 	34 , 	35 , 	35 , 	71 , 	18 , 	69 , 	70 , 	38 , 	6 , 	64 , 	7 , 	6 , 	6 , 	3 , 	1 , 	8 , 	10 , 	93 , 	48 , 	182 , 	136 , 	16 , 	11 , 	11 , 	12 , 	13 , 	7 , 	3 , 	24 , 	2 , 	12 , 	3 , 	3 , 	25 , 	3 ," 	1,197 ",,,Entries," 	50,414 "," 	12,850 "," 	26,115 "," 	14,296 "," 	12,286 "," 	21,856 "," 	10,945 "," 	148,762 "
FM, 	17 , 	39 , 	25 , 	21 , 	123 , 	30 , 	38 , 	25 , 	54 , 	57 , 	66 , 	179 , 	36 , 	122 , 	116 , 	63 , 	67 , 	16 , 	16 , 	8 , 	11 , 	5 , 	4 , 	14 , 	9 , 	181 , 	122 , 	410 , 	354 , 	37 , 	23 , 	19 , 	18 , 	26 , 	4 , 	17 , 	40 , 	5 , 	31 , 	4 , 	6 , 	52 , 	4 ," 	2,508 ",,,,,,,,,,,
CN, 	12 , 	19 , 	11 , 	9 , 	34 , 	10 , 	36 , 	21 , 	37 , 	6 , 	20 , 	53 , 	4 , 	10 , 	11 , 	7 , 	7 , 	14 , 	10 , 	41 , 	160 , 	60 , 	20 , 	40 , 	5 , 	151 , 	66 , 	232 , 	213 , 	34 , 	27 , 	21 , 	15 , 	26 , 	10 , 	2 , 	4 , 	16 , 	123 , 	7 , 	9 , 	73 , 	9 ," 	1,690 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	5 , 	10 , 	10 , 	11 , 	30 , 	13 , 	26 , 	13 , 	31 , 	5 , 	12 , 	72 , 	9 , 	5 , 	5 , 	4 , 	7 , 	13 , 	39 , 	7 , 	61 , 	13 , 	14 , 	47 , 	2 , 	207 , 	102 , 	296 , 	235 , 	38 , 	17 , 	10 , 	9 , 	16 , 	4 , 	2 , 	5 , 	4 , 	34 , 	7 , 	8 , 	128 , 	11 ," 	1,592 ",,,Dtwn SF," 	2,691 ",,,,,,,
WC, 	6 , 	11 , 	9 , 	14 , 	51 , 	20 , 	38 , 	24 , 	41 , 	10 , 	13 , 	75 , 	8 , 	10 , 	7 , 	2 , 	6 , 	15 , 	176 , 	63 , 	8 , 	31 , 	28 , 	79 , 	8 , 	337 , 	163 , 	376 , 	358 , 	36 , 	27 , 	19 , 	9 , 	22 , 	5 , 	3 , 	7 , 	20 , 	59 , 	5 , 	9 , 	136 , 	11 ," 	2,349 ",,,OAK," 	12,567 ", 	593 ,,,,,,
