Exit stations,Entry stations->,,SUNDAY,,,Apr 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	65 , 	119 , 	74 , 	59 , 	188 , 	63 , 	102 , 	53 , 	95 , 	96 , 	110 , 	10 , 	83 , 	137 , 	101 , 	72 , 	58 , 	152 , 	52 , 	53 , 	57 , 	32 , 	19 , 	47 , 	56 , 	207 , 	131 , 	381 , 	156 , 	71 , 	66 , 	24 , 	36 , 	30 , 	6 , 	82 , 	333 , 	17 , 	71 , 	9 , 	10 , 	40 , 	15 ," 	3,635 ",,,CM line," 	11,757 "," 	1,295 "," 	4,589 "," 	1,416 ", 	940 ," 	1,435 "," 	1,875 "," 	23,305 "
SL, 	14 , 	18 , 	13 , 	12 , 	49 , 	20 , 	35 , 	33 , 	64 , 	75 , 	111 , 	90 , 	8 , 	77 , 	69 , 	29 , 	25 , 	41 , 	7 , 	7 , 	7 , 	1 , 	4 , 	9 , 	17 , 	107 , 	74 , 	245 , 	80 , 	33 , 	34 , 	16 , 	17 , 	20 , 	7 , 	23 , 	36 , 	3 , 	19 , 	3 , 	6 , 	27 , 	4 ," 	1,583 ",,,RM line," 	4,402 "," 	1,603 "," 	1,422 "," 	2,610 ", 	570 ," 	2,128 ", 	650 ," 	13,383 "
BF, 	22 , 	26 , 	8 , 	15 , 	50 , 	35 , 	49 , 	40 , 	81 , 	75 , 	175 , 	144 , 	80 , 	8 , 	90 , 	74 , 	64 , 	109 , 	12 , 	5 , 	8 , 	2 , 	2 , 	8 , 	19 , 	108 , 	76 , 	217 , 	80 , 	30 , 	25 , 	15 , 	21 , 	20 , 	5 , 	43 , 	108 , 	3 , 	25 , 	6 , 	5 , 	17 , 	3 ," 	2,001 ",,,WP line," 	4,388 ", 	711 , 	970 , 	610 ," 	2,037 ", 	985 , 	775 ," 	10,476 "
HY, 	20 , 	28 , 	11 , 	11 , 	42 , 	20 , 	38 , 	29 , 	47 , 	32 , 	105 , 	106 , 	75 , 	103 , 	6 , 	60 , 	80 , 	106 , 	7 , 	7 , 	4 , 	3 , 	2 , 	6 , 	15 , 	63 , 	29 , 	120 , 	35 , 	23 , 	20 , 	5 , 	12 , 	10 , 	2 , 	10 , 	33 , 	3 , 	24 , 	2 , 	7 , 	13 , 	3 ," 	1,370 ",,,FT/ED line," 	5,861 "," 	1,953 "," 	1,345 "," 	1,976 ", 	877 ," 	6,512 ", 	553 ," 	19,076 "
SH, 	8 , 	12 , 	5 , 	5 , 	21 , 	6 , 	13 , 	12 , 	20 , 	17 , 	45 , 	67 , 	27 , 	80 , 	55 , 	4 , 	26 , 	53 , 	8 , 	1 , 	2 , 	1 , 	1 , 	4 , 	4 , 	32 , 	16 , 	78 , 	35 , 	14 , 	13 , 	6 , 	8 , 	12 , 	4 , 	10 , 	20 , 	1 , 	14 , 	2 , 	2 , 	9 , 	3 , 	772 ,,,SFIA," 	3,589 ", 	270 ," 	1,430 ", 	461 , 	538 , 	402 , 	761 ," 	7,452 "
UC, 	8 , 	17 , 	8 , 	7 , 	40 , 	13 , 	16 , 	13 , 	34 , 	31 , 	35 , 	75 , 	21 , 	67 , 	69 , 	35 , 	3 , 	61 , 	6 , 	5 , 	8 , 	2 , 	1 , 	5 , 	9 , 	69 , 	38 , 	139 , 	44 , 	12 , 	14 , 	7 , 	14 , 	15 , 	10 , 	7 , 	28 , 	1 , 	9 , 	5 , 	3 , 	18 , 	5 ," 	1,023 ",,,Entries," 	35,782 "," 	10,905 "," 	22,465 "," 	12,828 "," 	9,804 "," 	19,003 "," 	8,680 "," 	119,467 "
FM, 	15 , 	45 , 	27 , 	21 , 	148 , 	28 , 	34 , 	28 , 	58 , 	55 , 	76 , 	166 , 	36 , 	115 , 	106 , 	64 , 	64 , 	13 , 	18 , 	10 , 	13 , 	4 , 	6 , 	13 , 	10 , 	147 , 	91 , 	323 , 	107 , 	25 , 	16 , 	16 , 	16 , 	24 , 	6 , 	22 , 	42 , 	5 , 	30 , 	7 , 	3 , 	52 , 	9 ," 	2,107 ",,,,,,,,,,,
CN, 	10 , 	15 , 	8 , 	9 , 	28 , 	13 , 	32 , 	18 , 	38 , 	8 , 	23 , 	63 , 	8 , 	10 , 	9 , 	6 , 	10 , 	17 , 	11 , 	43 , 	144 , 	49 , 	19 , 	37 , 	5 , 	131 , 	53 , 	174 , 	77 , 	26 , 	29 , 	18 , 	21 , 	25 , 	8 , 	1 , 	7 , 	19 , 	117 , 	7 , 	7 , 	66 , 	13 ," 	1,426 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	2 , 	7 , 	12 , 	16 , 	33 , 	10 , 	22 , 	13 , 	28 , 	4 , 	10 , 	74 , 	5 , 	5 , 	6 , 	2 , 	4 , 	13 , 	35 , 	4 , 	61 , 	19 , 	10 , 	40 , 	3 , 	152 , 	85 , 	217 , 	106 , 	20 , 	21 , 	14 , 	11 , 	19 , 	3 , 	2 , 	4 , 	5 , 	31 , 	5 , 	6 , 	108 , 	13 ," 	1,253 ",,,Dtwn SF," 	1,440 ",,,,,,,
WC, 	6 , 	12 , 	6 , 	14 , 	57 , 	19 , 	39 , 	21 , 	36 , 	8 , 	11 , 	72 , 	7 , 	8 , 	6 , 	4 , 	4 , 	19 , 	166 , 	62 , 	7 , 	33 , 	20 , 	75 , 	6 , 	237 , 	122 , 	335 , 	188 , 	32 , 	28 , 	17 , 	10 , 	25 , 	8 , 	3 , 	5 , 	21 , 	61 , 	5 , 	6 , 	136 , 	11 ," 	1,962 ",,,OAK," 	8,812 ", 	606 ,,,,,,
