Fast Pass OD,,,,,,Apr 09,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,75,43,200,203,634,"1,078",830,"1,316","4,378"
MT,51,57,119,208,874,"1,490","1,223","2,443","6,465"
PL,270,169,88,166,818,"1,136",769,"2,170","5,585"
CC,172,192,182,58,572,794,554,"1,481","4,005"
16,583,703,"1,010",619,31,252,257,724,"4,178"
24,876,"1,151","1,404",819,259,41,198,695,"5,443"
GP,738,919,998,507,262,216,26,169,"3,834"
BP,"1,158","1,347","3,108","1,353",725,743,187,48,"8,669"
Entries,"3,923","4,579","7,108","3,932","4,174","5,751","4,043","9,046","42,557"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,35,14,64,47,239,316,168,381,"1,265"
MT,8,20,28,31,318,373,336,"1,153","2,266"
PL,88,32,85,81,702,959,574,"1,497","4,018"
CC,37,34,83,50,380,478,220,526,"1,808"
16,215,182,850,432,32,211,195,413,"2,529"
24,248,229,"1,094",500,198,37,150,382,"2,838"
GP,152,157,737,197,157,162,26,86,"1,674"
BP,329,338,"2,244",491,405,361,89,48,"4,304"
Entries,"1,110","1,007","5,186","1,827","2,431","2,898","1,758","4,485","20,701"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,4,42,32,152,200,97,242,795
MT,4,16,16,22,189,219,207,779,"1,452"
PL,53,14,76,51,484,652,377,985,"2,690"
CC,29,18,58,57,327,342,167,447,"1,444"
16,152,106,599,360,43,130,126,312,"1,828"
24,183,149,757,378,125,53,101,258,"2,002"
GP,95,85,536,148,124,98,24,47,"1,156"
BP,239,213,"1,615",405,294,247,53,49,"3,116"
Entries,782,604,"3,698","1,452","1,737","1,940","1,153","3,118","14,483"
