Fast Pass Adjusted OD,,,,,,Nov 04,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,42,32,127,119,482,840,728,"1,065","3,436"
MT,36,41,71,129,725,"1,254","1,057","2,203","5,517"
PL,175,90,64,110,635,"1,016",647,"1,667","4,404"
CC,118,122,126,60,562,765,532,"1,427","3,711"
16,404,574,763,527,24,204,166,542,"3,204"
24,702,951,"1,186",748,229,35,155,547,"4,551"
GP,669,811,864,455,174,167,20,120,"3,280"
BP,938,"1,279","2,525","1,247",549,573,125,32,"7,268"
Entries,"3,084","3,900","5,725","3,396","3,379","4,855","3,430","7,603","35,371"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,6,39,32,181,243,117,229,862
MT,10,15,25,27,291,352,301,989,"2,010"
PL,52,20,64,54,528,872,474,"1,062","3,125"
CC,27,20,56,42,382,427,195,490,"1,637"
16,147,192,594,385,23,155,98,260,"1,854"
24,181,223,875,424,168,36,106,256,"2,268"
GP,102,129,619,166,88,104,21,58,"1,286"
BP,189,313,"1,707",435,284,244,63,25,"3,259"
Entries,723,917,"3,977","1,565","1,944","2,432","1,374","3,368","16,300"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,6,22,20,120,159,71,121,538
MT,5,17,19,21,175,205,172,642,"1,255"
PL,30,11,61,36,422,610,324,694,"2,186"
CC,19,13,50,50,329,299,137,332,"1,229"
16,106,128,446,331,24,105,61,168,"1,368"
24,135,150,676,326,115,32,76,172,"1,681"
GP,69,73,445,125,66,73,17,31,900
BP,132,193,"1,242",314,169,170,37,26,"2,282"
Entries,514,590,"2,960","1,224","1,418","1,654",892,"2,187","11,437"
