Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Nov 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	77 , 	139 , 	59 , 	69 , 	388 , 	109 , 	182 , 	190 , 	356 , 	173 , 	204 , 	12 , 	113 , 	152 , 	194 , 	93 , 	87 , 	152 , 	55 , 	70 , 	58 , 	30 , 	25 , 	65 , 	103 , 	533 , 	484 , 	541 , 	479 , 	132 , 	136 , 	65 , 	67 , 	109 , 	18 , 	36 , 	188 , 	14 , 	72 , 	18 , 	20 , 	37 , 	21 ," 	6,127 ",,,CM line,"29,704","3,044","8,330","2,646","1,920","2,817","1,918","48,461"
SL, 	47 , 	60 , 	23 , 	29 , 	158 , 	44 , 	105 , 	217 , 	382 , 	242 , 	294 , 	123 , 	8 , 	99 , 	192 , 	83 , 	89 , 	119 , 	31 , 	26 , 	23 , 	6 , 	9 , 	21 , 	36 , 	541 , 	593 , 	395 , 	360 , 	68 , 	74 , 	22 , 	52 , 	86 , 	13 , 	37 , 	107 , 	7 , 	31 , 	10 , 	12 , 	24 , 	11 ," 	4,910 ",,,RM line,"11,680","5,619","2,861","7,209","1,434","3,861",627,"32,664"
BF, 	30 , 	39 , 	15 , 	17 , 	140 , 	37 , 	104 , 	169 , 	324 , 	207 , 	287 , 	150 , 	105 , 	8 , 	174 , 	130 , 	140 , 	222 , 	31 , 	16 , 	17 , 	4 , 	5 , 	14 , 	41 , 	454 , 	516 , 	354 , 	280 , 	57 , 	52 , 	19 , 	31 , 	77 , 	11 , 	49 , 	273 , 	5 , 	22 , 	9 , 	8 , 	16 , 	5 ," 	4,665 ",,,WP line,"17,435","4,218","1,990","1,457","6,231","1,569",786,"32,901"
HY, 	44 , 	68 , 	36 , 	25 , 	153 , 	57 , 	107 , 	190 , 	289 , 	151 , 	288 , 	184 , 	201 , 	168 , 	8 , 	157 , 	201 , 	361 , 	31 , 	29 , 	24 , 	8 , 	7 , 	16 , 	37 , 	384 , 	341 , 	268 , 	221 , 	58 , 	52 , 	21 , 	28 , 	53 , 	9 , 	25 , 	109 , 	12 , 	37 , 	10 , 	8 , 	10 , 	5 ," 	4,490 ",,,FT/ED line,"19,065","7,649","2,924","4,036","1,586","12,318",603,"47,579"
SH, 	24 , 	27 , 	9 , 	9 , 	89 , 	24 , 	56 , 	144 , 	213 , 	104 , 	111 , 	86 , 	82 , 	125 , 	150 , 	5 , 	75 , 	168 , 	16 , 	11 , 	13 , 	4 , 	3 , 	8 , 	13 , 	271 , 	282 , 	221 , 	197 , 	42 , 	44 , 	9 , 	18 , 	45 , 	4 , 	11 , 	55 , 	4 , 	14 , 	3 , 	4 , 	9 , 	4 ," 	2,802 ",,,SFIA,"5,626",690,"1,982",637,807,586,802,"10,329"
UC, 	21 , 	43 , 	13 , 	10 , 	171 , 	26 , 	67 , 	167 , 	235 , 	115 , 	106 , 	95 , 	92 , 	145 , 	207 , 	89 , 	10 , 	190 , 	21 , 	20 , 	17 , 	4 , 	5 , 	12 , 	22 , 	508 , 	525 , 	285 , 	261 , 	36 , 	26 , 	14 , 	24 , 	53 , 	7 , 	13 , 	58 , 	5 , 	17 , 	5 , 	4 , 	18 , 	3 ," 	3,763 ",,,Entries,"100,365","35,927","52,112","32,219","33,517","48,479","11,356","302,620"
FM, 	39 , 	78 , 	36 , 	31 , 	349 , 	53 , 	117 , 	344 , 	394 , 	172 , 	135 , 	153 , 	118 , 	244 , 	367 , 	177 , 	192 , 	19 , 	34 , 	32 , 	24 , 	5 , 	6 , 	19 , 	21 , 	855 , 	806 , 	471 , 	405 , 	56 , 	41 , 	17 , 	27 , 	68 , 	6 , 	25 , 	77 , 	10 , 	30 , 	12 , 	6 , 	40 , 	8 ," 	6,122 ",,,,,,,,,,,
CN, 	32 , 	46 , 	32 , 	20 , 	120 , 	26 , 	104 , 	234 , 	312 , 	20 , 	58 , 	61 , 	33 , 	29 , 	31 , 	16 , 	22 , 	36 , 	11 , 	143 , 	469 , 	119 , 	64 , 	103 , 	13 , 	670 , 	667 , 	348 , 	359 , 	55 , 	67 , 	35 , 	39 , 	97 , 	20 , 	7 , 	17 , 	83 , 	495 , 	23 , 	13 , 	44 , 	21 ," 	5,213 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	24 , 	26 , 	21 , 	14 , 	165 , 	22 , 	97 , 	298 , 	380 , 	36 , 	38 , 	69 , 	25 , 	15 , 	29 , 	13 , 	20 , 	33 , 	138 , 	9 , 	141 , 	55 , 	37 , 	117 , 	11 ," 	1,287 "," 	1,233 ", 	499 , 	462 , 	63 , 	53 , 	35 , 	41 , 	118 , 	27 , 	3 , 	7 , 	45 , 	159 , 	29 , 	18 , 	79 , 	24 ," 	6,013 ",,,Dtwn SF,"4,086",,,,,,,
WC, 	25 , 	40 , 	24 , 	18 , 	142 , 	25 , 	100 , 	203 , 	310 , 	26 , 	44 , 	62 , 	23 , 	17 , 	23 , 	16 , 	19 , 	25 , 	518 , 	138 , 	10 , 	80 , 	58 , 	148 , 	15 ," 	1,023 ", 	900 , 	446 , 	339 , 	50 , 	60 , 	36 , 	34 , 	86 , 	15 , 	6 , 	7 , 	86 , 	236 , 	22 , 	17 , 	80 , 	23 ," 	5,577 ",,,OAK,"25,836","1,639",,,,,,
