Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Nov 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	5 , 	105 , 	89 , 	71 , 	322 , 	105 , 	89 , 	53 , 	87 , 	27 , 	98 , 	67 , 	22 , 	19 , 	26 , 	9 , 	12 , 	18 , 	19 , 	7 , 	10 , 	7 , 	7 , 	21 , 	23 , 	63 , 	78 , 	244 , 	118 , 	93 , 	151 , 	19 , 	45 , 	22 , 	27 , 	4 , 	6 , 	4 , 	19 ," 	2,210 ",,,Eastbay," 	33,252 ",,SF CBD," 	77,796 ",60.8%,,
EN, 	102 , 	23 , 	63 , 	85 , 	524 , 	103 , 	106 , 	87 , 	151 , 	40 , 	75 , 	78 , 	27 , 	28 , 	28 , 	14 , 	20 , 	40 , 	26 , 	11 , 	18 , 	4 , 	6 , 	11 , 	24 , 	117 , 	162 , 	481 , 	157 , 	59 , 	99 , 	26 , 	44 , 	43 , 	38 , 	5 , 	15 , 	5 , 	20 ," 	2,957 ",,,Westbay," 	38,108 ",,non-CBD," 	50,261 ",39.2%,,
EP, 	90 , 	49 , 	5 , 	21 , 	372 , 	40 , 	39 , 	35 , 	68 , 	22 , 	31 , 	24 , 	10 , 	10 , 	11 , 	4 , 	10 , 	20 , 	7 , 	8 , 	10 , 	5 , 	6 , 	14 , 	6 , 	72 , 	106 , 	264 , 	98 , 	35 , 	26 , 	11 , 	12 , 	14 , 	17 , 	2 , 	9 , 	1 , 	7 ," 	1,586 ",,,Transbay," 	56,698 ",,,,,,
NB, 	69 , 	56 , 	25 , 	3 , 	154 , 	44 , 	34 , 	39 , 	80 , 	29 , 	45 , 	43 , 	15 , 	8 , 	12 , 	6 , 	9 , 	24 , 	7 , 	6 , 	16 , 	5 , 	7 , 	7 , 	15 , 	121 , 	149 , 	342 , 	160 , 	71 , 	54 , 	18 , 	13 , 	13 , 	14 , 	5 , 	6 , 	3 , 	9 ," 	1,731 ",,,,,,,,,,
BK, 	301 , 	511 , 	382 , 	154 , 	16 , 	272 , 	216 , 	197 , 	302 , 	114 , 	203 , 	180 , 	89 , 	93 , 	96 , 	42 , 	84 , 	192 , 	40 , 	78 , 	87 , 	58 , 	44 , 	31 , 	61 , 	438 , 	314 ," 	1,017 ", 	417 , 	155 , 	138 , 	87 , 	35 , 	115 , 	60 , 	20 , 	101 , 	10 , 	35 ," 	6,776 ",,,Extensions," 	14,647 ",,,,,,
AS, 	88 , 	95 , 	43 , 	36 , 	223 , 	7 , 	61 , 	71 , 	99 , 	45 , 	69 , 	60 , 	25 , 	26 , 	22 , 	8 , 	10 , 	21 , 	10 , 	11 , 	11 , 	2 , 	4 , 	11 , 	27 , 	103 , 	119 , 	291 , 	163 , 	79 , 	65 , 	16 , 	16 , 	14 , 	14 , 	5 , 	12 , 	2 , 	11 ," 	1,988 ",,,,,,,,,,
MA, 	72 , 	102 , 	41 , 	32 , 	207 , 	64 , 	7 , 	43 , 	71 , 	31 , 	76 , 	85 , 	33 , 	42 , 	31 , 	10 , 	18 , 	35 , 	40 , 	21 , 	29 , 	11 , 	9 , 	25 , 	39 , 	151 , 	193 , 	492 , 	249 , 	108 , 	90 , 	27 , 	31 , 	21 , 	28 , 	4 , 	17 , 	4 , 	35 ," 	2,618 ",,,,,,,,,,
19, 	48 , 	88 , 	37 , 	39 , 	154 , 	65 , 	40 , 	5 , 	28 , 	15 , 	61 , 	64 , 	38 , 	37 , 	36 , 	17 , 	24 , 	41 , 	27 , 	19 , 	32 , 	18 , 	11 , 	31 , 	23 , 	89 , 	120 , 	276 , 	160 , 	53 , 	56 , 	20 , 	23 , 	24 , 	21 , 	5 , 	16 , 	9 , 	32 ," 	1,900 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	80 , 	134 , 	78 , 	70 , 	267 , 	104 , 	70 , 	30 , 	16 , 	25 , 	111 , 	131 , 	83 , 	103 , 	69 , 	31 , 	54 , 	87 , 	58 , 	41 , 	58 , 	28 , 	23 , 	47 , 	61 , 	185 , 	220 , 	594 , 	236 , 	75 , 	83 , 	31 , 	57 , 	48 , 	51 , 	10 , 	24 , 	10 , 	51 ," 	3,530 ",,,Dtwn SF," 	2,829 "," 	5,285 "," 	15,076 "," 	6,099 "," 	4,931 "," 	7,119 "," 	41,338 "
LM, 	23 , 	33 , 	20 , 	30 , 	107 , 	36 , 	30 , 	15 , 	30 , 	7 , 	93 , 	78 , 	97 , 	93 , 	42 , 	23 , 	45 , 	51 , 	9 , 	5 , 	12 , 	4 , 	4 , 	13 , 	21 , 	110 , 	142 , 	395 , 	150 , 	58 , 	67 , 	20 , 	24 , 	29 , 	14 , 	32 , 	37 , 	2 , 	7 ," 	2,003 ",,,OAK," 	4,888 ", 	733 ," 	1,257 "," 	2,101 ", 	783 ," 	2,241 "," 	12,003 "
