Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Nov 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
SL, 	139 , 	127 , 	23 , 	25 , 	157 , 	55 , 	105 , 	183 , 	269 , 	165 , 	274 , 	170 , 	10 , 	111 , 	192 , 	96 , 	80 , 	135 , 	32 , 	23 , 	27 , 	5 , 	10 , 	13 , 	27 , 	576 , 	606 , 	425 , 	340 , 	54 , 	73 , 	33 , 	50 , 	57 , 	24 , 	43 , 	94 , 	8 , 	25 ," 	4,864 ",,,WP line," 	18,684 "," 	4,041 "," 	2,229 "," 	1,588 "," 	6,473 "," 	1,624 "," 	34,638 ",
BF, 	41 , 	40 , 	13 , 	14 , 	153 , 	39 , 	88 , 	195 , 	360 , 	176 , 	249 , 	207 , 	104 , 	10 , 	160 , 	126 , 	138 , 	278 , 	30 , 	19 , 	17 , 	7 , 	4 , 	14 , 	39 , 	535 , 	607 , 	398 , 	280 , 	57 , 	66 , 	27 , 	29 , 	72 , 	27 , 	46 , 	234 , 	5 , 	13 ," 	4,916 ",,,FT/ED line," 	19,262 "," 	6,897 "," 	3,062 "," 	4,672 "," 	1,587 "," 	13,885 "," 	49,364 ",
HY, 	146 , 	118 , 	32 , 	29 , 	167 , 	59 , 	93 , 	192 , 	225 , 	100 , 	323 , 	227 , 	216 , 	170 , 	12 , 	155 , 	244 , 	411 , 	34 , 	21 , 	22 , 	7 , 	10 , 	13 , 	27 , 	407 , 	370 , 	290 , 	231 , 	56 , 	45 , 	31 , 	35 , 	35 , 	20 , 	23 , 	96 , 	10 , 	26 ," 	4,726 ",,,Entries," 	104,529 "," 	35,869 "," 	57,896 "," 	35,700 "," 	34,003 "," 	49,827 "," 	317,825 ",
SH, 	23 , 	26 , 	8 , 	8 , 	104 , 	20 , 	41 , 	144 , 	198 , 	89 , 	110 , 	106 , 	86 , 	120 , 	136 , 	9 , 	106 , 	192 , 	14 , 	10 , 	15 , 	4 , 	6 , 	6 , 	21 , 	292 , 	308 , 	230 , 	193 , 	40 , 	39 , 	14 , 	21 , 	36 , 	14 , 	16 , 	65 , 	3 , 	17 ," 	2,887 ",,,,,,,,,,,
UC, 	20 , 	45 , 	15 , 	21 , 	167 , 	36 , 	56 , 	160 , 	244 , 	121 , 	143 , 	140 , 	89 , 	151 , 	270 , 	114 , 	13 , 	231 , 	23 , 	22 , 	19 , 	4 , 	6 , 	11 , 	19 , 	489 , 	485 , 	306 , 	216 , 	38 , 	32 , 	19 , 	23 , 	46 , 	15 , 	17 , 	56 , 	4 , 	22 ," 	3,907 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,,
FM, 	37 , 	95 , 	41 , 	41 , 	331 , 	57 , 	101 , 	266 , 	352 , 	162 , 	167 , 	226 , 	137 , 	286 , 	418 , 	206 , 	222 , 	28 , 	30 , 	25 , 	29 , 	10 , 	12 , 	25 , 	20 , 	668 , 	719 , 	436 , 	298 , 	38 , 	43 , 	25 , 	25 , 	80 , 	21 , 	25 , 	91 , 	8 , 	38 ," 	5,838 ",,,Dtwn SF," 	6,742 ",,,,,,,
CN, 	40 , 	58 , 	31 , 	20 , 	125 , 	24 , 	112 , 	219 , 	335 , 	33 , 	50 , 	73 , 	30 , 	33 , 	35 , 	13 , 	25 , 	29 , 	57 , 	175 , 	532 , 	129 , 	69 , 	118 , 	17 , 	770 , 	789 , 	439 , 	386 , 	70 , 	91 , 	47 , 	45 , 	89 , 	58 , 	3 , 	18 , 	70 , 	465 ," 	5,722 ",,,OAK," 	27,398 "," 	1,725 ",,,,,,
PH, 	24 , 	34 , 	18 , 	17 , 	169 , 	22 , 	79 , 	288 , 	398 , 	30 , 	31 , 	78 , 	20 , 	18 , 	19 , 	12 , 	21 , 	21 , 	182 , 	14 , 	132 , 	68 , 	40 , 	121 , 	13 ," 	1,379 "," 	1,362 ", 	512 , 	455 , 	53 , 	59 , 	51 , 	37 , 	100 , 	52 , 	3 , 	7 , 	39 , 	162 ," 	6,139 ",,,CM line," 	68,995 "," 	6,579 "," 	11,107 ",,,,,
WC, 	25 , 	44 , 	21 , 	25 , 	146 , 	23 , 	96 , 	198 , 	302 , 	22 , 	43 , 	75 , 	25 , 	18 , 	24 , 	16 , 	19 , 	28 , 	629 , 	157 , 	13 , 	73 , 	53 , 	153 , 	18 ," 	1,039 "," 	1,059 ", 	474 , 	349 , 	53 , 	67 , 	45 , 	34 , 	71 , 	64 , 	3 , 	7 , 	76 , 	228 ," 	5,819 ",,,RM line," 	24,959 "," 	12,141 "," 	5,910 "," 	8,004 ",,,,
LF, 	13 , 	12 , 	8 , 	5 , 	69 , 	6 , 	30 , 	108 , 	172 , 	6 , 	27 , 	41 , 	5 , 	5 , 	7 , 	5 , 	5 , 	9 , 	150 , 	81 , 	91 , 	7 , 	17 , 	64 , 	3 , 	728 , 	691 , 	255 , 	198 , 	23 , 	26 , 	21 , 	10 , 	33 , 	17 , 	2 , 	3 , 	17 , 	38 ," 	3,010 ",,,WP line," 	36,915 "," 	8,089 "," 	4,415 "," 	3,065 "," 	6,473 ",,,
OR, 	13 , 	15 , 	11 , 	13 , 	60 , 	12 , 	33 , 	87 , 	154 , 	11 , 	35 , 	40 , 	7 , 	3 , 	7 , 	5 , 	5 , 	12 , 	75 , 	50 , 	52 , 	19 , 	6 , 	69 , 	6 , 	666 , 	641 , 	235 , 	180 , 	24 , 	29 , 	20 , 	15 , 	29 , 	18 , 	2 , 	3 , 	12 , 	17 ," 	2,691 ",,,FT/ED line," 	39,048 "," 	14,201 "," 	6,208 "," 	8,755 "," 	3,210 "," 	13,885 "," 	317,825 ",
RR, 	38 , 	35 , 	44 , 	62 , 	42 , 	10 , 	33 , 	71 , 	197 , 	32 , 	73 , 	99 , 	24 , 	22 , 	12 , 	4 , 	7 , 	15 , 	148 , 	59 , 	81 , 	34 , 	40 , 	6 , 	23 , 	960 ," 	1,036 ", 	540 , 	515 , 	64 , 	48 , 	26 , 	35 , 	70 , 	27 , 	5 , 	9 , 	25 , 	42 ," 	4,612 ",,,,,,,,,,,
OW, 	45 , 	54 , 	7 , 	18 , 	81 , 	40 , 	65 , 	45 , 	79 , 	22 , 	122 , 	106 , 	32 , 	42 , 	35 , 	22 , 	19 , 	21 , 	14 , 	13 , 	14 , 	4 , 	6 , 	15 , 	4 ," 	1,208 "," 	1,206 ", 	583 , 	406 , 	101 , 	106 , 	29 , 	49 , 	44 , 	26 , 	6 , 	27 , 	5 , 	30 ," 	4,750 ",,,,,,,,,,,
EM, 	330 , 	935 , 	516 , 	554 , 	806 , 	511 , 	739 , 	866 ," 	1,193 ", 	506 , 	871 , 	708 , 	723 , 	709 , 	442 , 	329 , 	538 , 	726 , 	866 ," 	1,634 "," 	1,168 ", 	746 , 	660 , 	874 ," 	1,218 ", 	347 , 	298 , 	574 , 	473 , 	803 ," 	1,408 "," 	1,136 "," 	1,564 "," 	1,135 "," 	1,321 ", 	438 ," 	1,242 ", 	398 , 	667 ," 	30,971 ",,,,,,,,,,,
MT, 	564 ," 	1,082 ", 	563 , 	571 , 	570 , 	510 , 	714 , 	612 , 	802 , 	444 , 	880 , 	524 , 	674 , 	701 , 	358 , 	310 , 	448 , 	680 , 	794 ," 	1,300 ", 	929 , 	566 , 	530 , 	736 ," 	1,079 ", 	537 , 	349 , 	440 , 	916 ," 	1,100 "," 	1,986 "," 	1,608 "," 	2,544 "," 	1,493 "," 	1,496 ", 	375 ," 	1,019 ", 	368 , 	631 ," 	31,803 ",,,,,,,,,,,
PL, 	318 , 	694 , 	320 , 	319 , 	799 , 	342 , 	607 , 	586 , 	923 , 	434 , 	755 , 	553 , 	417 , 	390 , 	289 , 	224 , 	291 , 	432 , 	449 , 	557 , 	481 , 	245 , 	234 , 	462 , 	622 , 	703 , 	380 , 	161 , 	378 ," 	1,547 "," 	2,232 "," 	1,427 "," 	2,994 "," 	1,210 ", 	999 , 	203 , 	648 , 	193 , 	392 ," 	25,211 ",,,,,,,,,,,
