Muni Fast Pass Adult/Clipper OD,,,,,,Feb 12,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,41,23,86,112,421,779,646,949,"3,057"
MT,31,46,58,111,503,"1,023",928,"1,735","4,436"
PL,134,86,45,67,420,687,498,"1,437","3,374"
CC,90,92,75,29,256,458,349,916,"2,263"
16,365,418,503,291,16,133,156,441,"2,322"
24,626,760,827,469,134,24,132,481,"3,452"
GP,566,685,599,333,152,145,17,105,"2,601"
BP,824,"1,006","1,942",881,420,493,111,55,"5,733"
Entries,"2,678","3,116","4,135","2,291","2,320","3,742","2,837","6,119","27,238"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,6,34,29,143,202,125,266,824
MT,8,17,20,20,165,273,229,788,"1,518"
PL,49,14,42,36,370,585,370,"1,054","2,517"
CC,20,18,38,26,177,251,137,310,976
16,132,100,430,190,18,127,104,234,"1,334"
24,181,160,666,262,104,32,105,259,"1,768"
GP,101,139,465,121,92,102,14,40,"1,074"
BP,229,283,"1,372",260,228,229,45,39,"2,683"
Entries,738,735,"3,066",943,"1,295","1,800","1,127","2,990","12,693"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,14,1,19,21,79,101,62,150,446
MT,5,12,9,12,92,150,131,481,892
PL,23,8,45,25,242,397,268,670,"1,677"
CC,8,7,23,26,130,172,99,211,676
16,76,49,300,138,24,79,69,156,890
24,120,85,471,188,72,32,68,166,"1,201"
GP,62,79,356,100,66,60,17,25,764
BP,160,160,"1,024",187,148,146,23,28,"1,875"
Entries,468,401,"2,245",696,851,"1,135",736,"1,887","8,419"
