Exit stations,Entry stations->,,SUNDAY,,,Feb 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	49 , 	70 , 	27 , 	35 , 	114 , 	51 , 	78 , 	63 , 	117 , 	71 , 	100 , 	9 , 	66 , 	118 , 	95 , 	44 , 	49 , 	90 , 	30 , 	29 , 	27 , 	14 , 	6 , 	25 , 	49 , 	184 , 	110 , 	393 , 	166 , 	57 , 	83 , 	34 , 	35 , 	44 , 	15 , 	29 , 	85 , 	9 , 	79 , 	10 , 	10 , 	38 , 	19 , 	31 ," 	2,848 ",,,CM line," 	10,733 "," 	2,269 "," 	4,090 "," 	1,901 "," 	1,265 "," 	1,566 "," 	1,932 "," 	23,755 "
SL, 	19 , 	31 , 	10 , 	15 , 	53 , 	25 , 	36 , 	38 , 	60 , 	97 , 	103 , 	74 , 	5 , 	79 , 	65 , 	29 , 	23 , 	35 , 	9 , 	7 , 	10 , 	1 , 	1 , 	9 , 	19 , 	109 , 	89 , 	258 , 	88 , 	37 , 	39 , 	17 , 	19 , 	18 , 	7 , 	21 , 	24 , 	1 , 	14 , 	4 , 	8 , 	26 , 	9 , 	22 ," 	1,662 ",,,RM line," 	5,750 "," 	1,967 "," 	1,993 "," 	2,824 ", 	684 ," 	1,937 ", 	708 ," 	15,862 "
BF, 	22 , 	27 , 	12 , 	16 , 	51 , 	25 , 	54 , 	57 , 	93 , 	93 , 	200 , 	131 , 	82 , 	9 , 	99 , 	66 , 	53 , 	86 , 	17 , 	6 , 	7 , 	2 , 	2 , 	11 , 	30 , 	113 , 	94 , 	348 , 	89 , 	35 , 	47 , 	15 , 	30 , 	24 , 	6 , 	44 , 	72 , 	4 , 	24 , 	5 , 	7 , 	15 , 	5 , 	59 ," 	2,285 ",,,WP line," 	5,378 ", 	928 ," 	1,322 ", 	726 ," 	2,236 ", 	911 , 	813 ," 	12,314 "
HY, 	25 , 	28 , 	10 , 	16 , 	48 , 	19 , 	46 , 	36 , 	56 , 	49 , 	97 , 	103 , 	61 , 	131 , 	6 , 	45 , 	72 , 	101 , 	11 , 	8 , 	8 , 	0 , 	3 , 	2 , 	13 , 	63 , 	43 , 	141 , 	54 , 	20 , 	19 , 	9 , 	13 , 	17 , 	5 , 	17 , 	15 , 	1 , 	21 , 	3 , 	7 , 	10 , 	6 , 	18 ," 	1,472 ",,,FT/ED line," 	6,428 "," 	2,171 "," 	1,589 "," 	1,806 ", 	816 ," 	5,419 ", 	492 ," 	18,719 "
SH, 	13 , 	10 , 	6 , 	7 , 	23 , 	11 , 	19 , 	20 , 	27 , 	27 , 	52 , 	53 , 	30 , 	76 , 	49 , 	5 , 	30 , 	58 , 	9 , 	2 , 	5 , 	2 , 	1 , 	6 , 	6 , 	43 , 	32 , 	99 , 	36 , 	15 , 	17 , 	8 , 	8 , 	10 , 	2 , 	9 , 	17 , 	2 , 	13 , 	3 , 	4 , 	7 , 	5 , 	9 , 	874 ,,,SFIA," 	3,679 ", 	399 ," 	1,648 ", 	557 , 	664 , 	382 , 	814 ," 	8,141 "
UC, 	8 , 	15 , 	4 , 	9 , 	45 , 	15 , 	16 , 	22 , 	34 , 	33 , 	44 , 	57 , 	27 , 	51 , 	72 , 	29 , 	7 , 	58 , 	9 , 	7 , 	10 , 	1 , 	1 , 	10 , 	6 , 	67 , 	40 , 	158 , 	43 , 	19 , 	15 , 	8 , 	13 , 	15 , 	2 , 	7 , 	18 , 	3 , 	16 , 	6 , 	3 , 	19 , 	4 , 	12 ," 	1,052 ",,,Entries," 	39,618 "," 	14,776 "," 	23,154 "," 	15,063 "," 	11,317 "," 	18,096 "," 	8,706 "," 	130,729 "
FM, 	22 , 	39 , 	23 , 	30 , 	142 , 	28 , 	41 , 	33 , 	50 , 	52 , 	79 , 	100 , 	47 , 	90 , 	103 , 	68 , 	61 , 	18 , 	18 , 	16 , 	14 , 	7 , 	5 , 	17 , 	10 , 	165 , 	96 , 	363 , 	109 , 	41 , 	28 , 	18 , 	22 , 	34 , 	6 , 	19 , 	40 , 	5 , 	32 , 	4 , 	3 , 	41 , 	3 , 	19 ," 	2,158 ",,,,,,,,,,,
CN, 	19 , 	21 , 	10 , 	9 , 	35 , 	10 , 	40 , 	32 , 	36 , 	7 , 	26 , 	41 , 	8 , 	15 , 	13 , 	7 , 	11 , 	16 , 	10 , 	43 , 	149 , 	54 , 	20 , 	37 , 	7 , 	155 , 	70 , 	253 , 	91 , 	38 , 	49 , 	18 , 	20 , 	37 , 	10 , 	8 , 	6 , 	13 , 	150 , 	9 , 	7 , 	67 , 	13 , 	7 ," 	1,692 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	7 , 	6 , 	13 , 	44 , 	7 , 	26 , 	27 , 	30 , 	6 , 	15 , 	44 , 	5 , 	7 , 	7 , 	4 , 	8 , 	12 , 	47 , 	7 , 	74 , 	16 , 	14 , 	43 , 	4 , 	171 , 	102 , 	251 , 	127 , 	34 , 	33 , 	15 , 	12 , 	32 , 	8 , 	3 , 	3 , 	7 , 	36 , 	7 , 	7 , 	108 , 	12 , 	2 ," 	1,440 ",,,Dtwn SF," 	1,305 ",,,,,,,
WC, 	9 , 	16 , 	12 , 	23 , 	66 , 	14 , 	37 , 	35 , 	49 , 	8 , 	24 , 	44 , 	9 , 	7 , 	9 , 	4 , 	9 , 	12 , 	168 , 	74 , 	8 , 	36 , 	31 , 	66 , 	7 , 	273 , 	148 , 	405 , 	203 , 	42 , 	48 , 	31 , 	20 , 	29 , 	13 , 	3 , 	3 , 	17 , 	75 , 	5 , 	11 , 	104 , 	17 , 	3 ," 	2,222 ",,,OAK," 	12,622 ", 	766 ,,,,,,
LF, 	5 , 	7 , 	7 , 	8 , 	39 , 	9 , 	13 , 	13 , 	25 , 	5 , 	13 , 	23 , 	3 , 	3 , 	3 , 	2 , 	3 , 	7 , 	61 , 	18 , 	35 , 	4 , 	9 , 	46 , 	2 , 	155 , 	86 , 	202 , 	127 , 	29 , 	24 , 	13 , 	8 , 	12 , 	3 , 	2 , 	3 , 	4 , 	14 , 	3 , 	3 , 	70 , 	9 , 	-   ," 	1,120 ",,,CM line," 	21,016 "," 	4,499 "," 	4,090 ",,,,,
