Fast Pass Adjusted OD,,,,,,May 07,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,57,54,210,232,631,"1,020",802,"1,242","4,248"
MT,50,55,125,204,882,"1,453","1,212","2,437","6,418"
PL,277,161,85,162,823,"1,193",766,"2,110","5,577"
CC,178,179,186,55,567,734,565,"1,405","3,868"
16,549,673,"1,061",559,26,246,234,660,"4,009"
24,843,"1,093","1,471",734,270,36,168,573,"5,187"
GP,747,908,"1,028",490,238,182,21,134,"3,749"
BP,"1,162","1,373","3,060","1,279",656,642,154,41,"8,368"
Entries,"3,862","4,496","7,226","3,715","4,093","5,506","3,922","8,603","41,424"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,28,10,70,57,251,300,157,291,"1,162"
MT,7,17,32,36,354,393,340,"1,094","2,272"
PL,78,28,83,73,729,"1,002",588,"1,441","4,021"
CC,41,25,73,38,402,460,219,545,"1,801"
16,209,174,895,420,29,200,150,392,"2,469"
24,242,214,"1,143",443,187,36,132,353,"2,749"
GP,147,136,748,184,128,127,17,75,"1,562"
BP,302,316,"2,160",470,380,339,91,35,"4,090"
Entries,"1,053",920,"5,202","1,719","2,459","2,855","1,693","4,224","20,125"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,5,37,42,176,187,94,201,769
MT,8,16,22,33,218,255,229,740,"1,519"
PL,49,13,88,57,553,725,396,946,"2,827"
CC,29,13,65,56,358,399,159,373,"1,452"
16,167,107,668,409,35,144,102,259,"1,891"
24,169,139,825,405,164,50,119,288,"2,159"
GP,94,90,574,147,110,107,17,37,"1,174"
BP,227,201,"1,558",330,257,287,41,35,"2,935"
Entries,769,584,"3,835","1,480","1,870","2,154","1,156","2,879","14,725"
