Exit stations,Entry stations->,,SATURDAY,,,Mar 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	8 , 	70 , 	68 , 	35 , 	239 , 	50 , 	63 , 	42 , 	58 , 	15 , 	62 , 	43 , 	17 , 	17 , 	10 , 	12 , 	11 , 	15 , 	14 , 	6 , 	11 , 	4 , 	6 , 	12 , 	19 , 	129 , 	100 , 	306 , 	113 , 	101 , 	109 , 	16 , 	36 , 	28 , 	10 , 	3 , 	7 , 	6 , 	16 , 	9 , 	16 , 	34 , 	9 , 	4 , 	9 , 	-   ," 	1,962 ",,,,,,,,,,
EN, 	73 , 	16 , 	61 , 	52 , 	404 , 	91 , 	106 , 	98 , 	144 , 	38 , 	88 , 	86 , 	31 , 	26 , 	29 , 	15 , 	17 , 	45 , 	25 , 	10 , 	21 , 	12 , 	6 , 	26 , 	32 , 	265 , 	235 , 	661 , 	217 , 	113 , 	113 , 	37 , 	45 , 	50 , 	19 , 	8 , 	11 , 	8 , 	17 , 	8 , 	20 , 	73 , 	24 , 	6 , 	23 , 	-   ," 	3,497 ",,,,,,,,,,
EP, 	75 , 	67 , 	16 , 	44 , 	402 , 	60 , 	58 , 	79 , 	97 , 	24 , 	47 , 	33 , 	18 , 	11 , 	6 , 	4 , 	9 , 	23 , 	9 , 	9 , 	15 , 	5 , 	7 , 	21 , 	14 , 	143 , 	125 , 	315 , 	167 , 	68 , 	55 , 	19 , 	14 , 	20 , 	7 , 	5 , 	6 , 	4 , 	6 , 	3 , 	4 , 	49 , 	17 , 	5 , 	24 , 	-   ," 	2,202 ",,,,,,,,,,
NB, 	44 , 	49 , 	52 , 	17 , 	141 , 	50 , 	47 , 	79 , 	79 , 	22 , 	54 , 	23 , 	14 , 	13 , 	11 , 	5 , 	9 , 	27 , 	11 , 	12 , 	16 , 	6 , 	3 , 	12 , 	15 , 	247 , 	169 , 	349 , 	252 , 	121 , 	91 , 	30 , 	22 , 	17 , 	6 , 	4 , 	11 , 	5 , 	3 , 	4 , 	4 , 	72 , 	19 , 	3 , 	32 , 	-   ," 	2,265 ",,,,,,,,,,
BK, 	237 , 	417 , 	395 , 	152 , 	49 , 	227 , 	230 , 	263 , 	329 , 	86 , 	182 , 	92 , 	88 , 	87 , 	59 , 	25 , 	58 , 	191 , 	46 , 	53 , 	85 , 	50 , 	37 , 	40 , 	82 , 	530 , 	345 , 	876 , 	454 , 	272 , 	223 , 	90 , 	61 , 	81 , 	17 , 	20 , 	70 , 	22 , 	27 , 	14 , 	23 , 	285 , 	116 , 	16 , 	196 , 	-   ," 	7,291 ",,,,,,,,,,
AS, 	59 , 	91 , 	63 , 	49 , 	220 , 	25 , 	70 , 	115 , 	103 , 	29 , 	80 , 	55 , 	27 , 	17 , 	16 , 	10 , 	11 , 	35 , 	14 , 	8 , 	15 , 	9 , 	5 , 	7 , 	30 , 	206 , 	151 , 	326 , 	235 , 	172 , 	117 , 	27 , 	25 , 	18 , 	5 , 	5 , 	6 , 	6 , 	10 , 	5 , 	5 , 	51 , 	17 , 	6 , 	25 , 	-   ," 	2,575 ",,,,,,,,,,
MA, 	75 , 	104 , 	56 , 	46 , 	215 , 	81 , 	19 , 	91 , 	116 , 	28 , 	111 , 	89 , 	45 , 	34 , 	32 , 	19 , 	16 , 	49 , 	41 , 	39 , 	48 , 	26 , 	15 , 	49 , 	53 , 	318 , 	280 , 	587 , 	428 , 	266 , 	188 , 	44 , 	36 , 	34 , 	7 , 	9 , 	15 , 	26 , 	43 , 	7 , 	12 , 	77 , 	25 , 	7 , 	26 , 	-   ," 	3,928 ",,,,,,,,,,
19, 	48 , 	99 , 	77 , 	81 , 	262 , 	116 , 	88 , 	24 , 	24 , 	18 , 	92 , 	77 , 	62 , 	45 , 	39 , 	15 , 	40 , 	55 , 	39 , 	49 , 	61 , 	36 , 	25 , 	83 , 	53 , 	349 , 	265 , 	526 , 	408 , 	291 , 	209 , 	64 , 	53 , 	46 , 	13 , 	12 , 	21 , 	21 , 	24 , 	10 , 	9 , 	52 , 	37 , 	9 , 	18 , 	-   ," 	4,038 ",,,,,,,,,,
12, 	62 , 	141 , 	97 , 	79 , 	297 , 	109 , 	98 , 	25 , 	25 , 	16 , 	95 , 	120 , 	82 , 	69 , 	52 , 	29 , 	42 , 	71 , 	59 , 	56 , 	60 , 	32 , 	23 , 	65 , 	87 , 	347 , 	294 , 	696 , 	394 , 	192 , 	154 , 	57 , 	76 , 	51 , 	17 , 	10 , 	22 , 	23 , 	40 , 	17 , 	20 , 	67 , 	46 , 	6 , 	18 , 	-   ," 	4,433 ",,,,,,,,,,
LM, 	13 , 	47 , 	24 , 	25 , 	98 , 	34 , 	29 , 	20 , 	17 , 	15 , 	110 , 	108 , 	156 , 	108 , 	53 , 	27 , 	36 , 	77 , 	13 , 	11 , 	10 , 	5 , 	7 , 	14 , 	30 , 	260 , 	238 , 	545 , 	269 , 	155 , 	123 , 	40 , 	43 , 	36 , 	6 , 	59 , 	81 , 	7 , 	9 , 	3 , 	4 , 	24 , 	12 , 	34 , 	18 , 	-   ," 	3,046 ",,,,,,,,,,
FV, 	57 , 	86 , 	51 , 	52 , 	181 , 	81 , 	102 , 	93 , 	92 , 	81 , 	25 , 	151 , 	122 , 	142 , 	95 , 	54 , 	44 , 	98 , 	25 , 	18 , 	26 , 	14 , 	12 , 	38 , 	77 , 	331 , 	284 , 	691 , 	365 , 	188 , 	167 , 	43 , 	55 , 	52 , 	8 , 	45 , 	67 , 	19 , 	30 , 	9 , 	17 , 	45 , 	18 , 	48 , 	8 , 	-   ," 	4,298 ",,,,,,,,,,
CL, 	49 , 	95 , 	34 , 	24 , 	112 , 	57 , 	88 , 	100 , 	138 , 	90 , 	154 , 	15 , 	117 , 	116 , 	94 , 	42 , 	66 , 	204 , 	30 , 	32 , 	32 , 	26 , 	15 , 	36 , 	64 , 	211 , 	160 , 	385 , 	195 , 	83 , 	95 , 	41 , 	45 , 	70 , 	11 , 	35 , 	119 , 	27 , 	48 , 	15 , 	21 , 	26 , 	22 , 	51 , 	22 , 	-   ," 	3,502 ",,,,,,,,,,
SL, 	20 , 	37 , 	16 , 	16 , 	101 , 	26 , 	53 , 	64 , 	90 , 	129 , 	143 , 	111 , 	17 , 	64 , 	60 , 	21 , 	27 , 	44 , 	17 , 	10 , 	8 , 	4 , 	5 , 	24 , 	35 , 	244 , 	221 , 	500 , 	197 , 	88 , 	74 , 	19 , 	34 , 	34 , 	9 , 	21 , 	31 , 	5 , 	15 , 	6 , 	9 , 	42 , 	8 , 	33 , 	9 , 	-   ," 	2,736 ",,,,,,,,,,
BF, 	13 , 	24 , 	7 , 	13 , 	79 , 	18 , 	33 , 	54 , 	75 , 	104 , 	132 , 	108 , 	72 , 	11 , 	110 , 	48 , 	70 , 	164 , 	13 , 	6 , 	11 , 	3 , 	2 , 	11 , 	22 , 	136 , 	129 , 	330 , 	115 , 	43 , 	31 , 	15 , 	31 , 	26 , 	6 , 	58 , 	108 , 	4 , 	10 , 	6 , 	13 , 	15 , 	5 , 	100 , 	5 , 	-   ," 	2,382 ",,,,,,,,,,
HY, 	11 , 	34 , 	9 , 	11 , 	57 , 	13 , 	32 , 	42 , 	54 , 	43 , 	89 , 	99 , 	56 , 	116 , 	19 , 	57 , 	76 , 	149 , 	9 , 	6 , 	11 , 	5 , 	1 , 	6 , 	19 , 	100 , 	76 , 	200 , 	75 , 	27 , 	29 , 	9 , 	12 , 	16 , 	3 , 	15 , 	38 , 	6 , 	14 , 	5 , 	5 , 	16 , 	6 , 	35 , 	8 , 	-   ," 	1,717 ",,,,,,,,,,
SH, 	13 , 	13 , 	3 , 	6 , 	28 , 	8 , 	19 , 	16 , 	25 , 	27 , 	44 , 	48 , 	20 , 	53 , 	54 , 	9 , 	45 , 	96 , 	6 , 	2 , 	6 , 	0 , 	-   , 	6 , 	4 , 	53 , 	45 , 	120 , 	45 , 	20 , 	24 , 	7 , 	13 , 	14 , 	4 , 	14 , 	18 , 	2 , 	5 , 	3 , 	4 , 	7 , 	3 , 	20 , 	4 , 	-   , 	972 ,,,,,,,,,,
UC, 	12 , 	16 , 	8 , 	7 , 	66 , 	15 , 	18 , 	37 , 	43 , 	35 , 	39 , 	69 , 	27 , 	83 , 	73 , 	37 , 	18 , 	94 , 	8 , 	5 , 	4 , 	1 , 	1 , 	9 , 	7 , 	118 , 	81 , 	209 , 	78 , 	31 , 	22 , 	8 , 	13 , 	23 , 	3 , 	15 , 	24 , 	3 , 	5 , 	2 , 	5 , 	17 , 	4 , 	15 , 	10 , 	-   ," 	1,411 ",,,,,,,,,,
FM, 	18 , 	36 , 	23 , 	27 , 	256 , 	43 , 	42 , 	63 , 	72 , 	63 , 	94 , 	207 , 	47 , 	134 , 	160 , 	82 , 	93 , 	46 , 	16 , 	13 , 	18 , 	7 , 	8 , 	22 , 	13 , 	243 , 	185 , 	427 , 	201 , 	69 , 	47 , 	14 , 	27 , 	37 , 	5 , 	22 , 	61 , 	8 , 	15 , 	5 , 	9 , 	30 , 	7 , 	23 , 	22 , 	-   ," 	3,054 ",,,,,,,,,,
CN, 	19 , 	29 , 	9 , 	14 , 	45 , 	14 , 	42 , 	48 , 	61 , 	12 , 	26 , 	24 , 	14 , 	11 , 	9 , 	8 , 	7 , 	14 , 	20 , 	63 , 	163 , 	45 , 	24 , 	48 , 	12 , 	189 , 	132 , 	341 , 	150 , 	50 , 	44 , 	26 , 	23 , 	31 , 	9 , 	4 , 	8 , 	63 , 	141 , 	6 , 	10 , 	79 , 	14 , 	4 , 	18 , 	-   ," 	2,117 ",,,,,,,,,,
PH, 	7 , 	6 , 	9 , 	8 , 	47 , 	10 , 	44 , 	42 , 	49 , 	8 , 	17 , 	28 , 	10 , 	4 , 	4 , 	2 , 	4 , 	13 , 	60 , 	15 , 	78 , 	25 , 	13 , 	51 , 	10 , 	246 , 	166 , 	359 , 	200 , 	63 , 	38 , 	13 , 	14 , 	24 , 	6 , 	3 , 	3 , 	25 , 	42 , 	4 , 	7 , 	94 , 	13 , 	3 , 	24 , 	-   ," 	1,905 ",,,,,,,,,,
