Exit stations,Entry stations->,,WEEKDAY,,,Mar 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
RM, 	11 , 	140 , 	107 , 	88 , 	441 , 	105 , 	160 , 	146 , 	205 , 	50 , 	98 , 	80 , 	39 , 	35 , 	35 , 	24 , 	23 , 	38 , 	30 , 	14 , 	24 , 	8 , 	9 , 	22 , 	24 , 	364 , 	388 , 	467 , 	357 , 	195 , 	192 , 	44 , 	74 , 	83 , 	18 , 	4 , 	13 , 	11 , 	30 , 	19 , 	28 , 	50 , 	29 , 	4 , 	10 , 	-   ," 	4,337 ",,,,,,,,,
EN, 	160 , 	21 , 	116 , 	100 , 	971 , 	173 , 	291 , 	486 , 	647 , 	137 , 	146 , 	154 , 	73 , 	54 , 	80 , 	28 , 	42 , 	84 , 	38 , 	21 , 	36 , 	8 , 	10 , 	36 , 	43 , 	951 ," 	1,143 "," 	1,043 ", 	835 , 	271 , 	215 , 	65 , 	115 , 	148 , 	28 , 	9 , 	32 , 	12 , 	25 , 	46 , 	56 , 	106 , 	73 , 	13 , 	36 , 	-   ," 	9,176 ",,,,,,,,,
EP, 	116 , 	117 , 	13 , 	60 , 	756 , 	88 , 	137 , 	307 , 	359 , 	94 , 	61 , 	61 , 	28 , 	18 , 	28 , 	11 , 	12 , 	51 , 	20 , 	21 , 	26 , 	10 , 	11 , 	38 , 	16 , 	574 , 	682 , 	477 , 	469 , 	128 , 	67 , 	26 , 	39 , 	58 , 	7 , 	4 , 	25 , 	6 , 	11 , 	24 , 	12 , 	64 , 	33 , 	7 , 	25 , 	-   ," 	5,195 ",,,,,,,,,
NB, 	85 , 	96 , 	58 , 	18 , 	230 , 	85 , 	96 , 	261 , 	249 , 	73 , 	69 , 	61 , 	26 , 	19 , 	25 , 	7 , 	18 , 	39 , 	19 , 	19 , 	26 , 	9 , 	10 , 	24 , 	23 , 	713 , 	801 , 	475 , 	551 , 	176 , 	102 , 	25 , 	31 , 	44 , 	6 , 	10 , 	22 , 	8 , 	15 , 	23 , 	10 , 	89 , 	41 , 	8 , 	39 , 	-   ," 	4,834 ",,,,,,,,,
BK, 	478 ," 	1,026 ", 	774 , 	239 , 	43 , 	426 , 	467 , 	597 , 	666 , 	298 , 	339 , 	201 , 	192 , 	154 , 	165 , 	82 , 	164 , 	280 , 	148 , 	177 , 	155 , 	88 , 	60 , 	60 , 	110 ," 	1,082 "," 	1,077 "," 	1,042 ", 	884 , 	405 , 	296 , 	128 , 	140 , 	149 , 	37 , 	56 , 	120 , 	55 , 	90 , 	45 , 	52 , 	218 , 	181 , 	65 , 	109 , 	-   ," 	13,617 ",,,,,,,,,
AS, 	106 , 	149 , 	84 , 	77 , 	397 , 	17 , 	101 , 	260 , 	292 , 	75 , 	110 , 	84 , 	49 , 	39 , 	36 , 	21 , 	33 , 	57 , 	29 , 	22 , 	28 , 	11 , 	7 , 	19 , 	40 , 	730 , 	841 , 	565 , 	568 , 	287 , 	154 , 	33 , 	49 , 	44 , 	13 , 	9 , 	18 , 	11 , 	22 , 	17 , 	19 , 	65 , 	52 , 	11 , 	30 , 	-   ," 	5,678 ",,,,,,,,,
MA, 	171 , 	294 , 	127 , 	93 , 	434 , 	102 , 	30 , 	206 , 	260 , 	82 , 	188 , 	189 , 	121 , 	100 , 	115 , 	68 , 	82 , 	148 , 	161 , 	164 , 	136 , 	57 , 	39 , 	71 , 	61 ," 	1,098 "," 	1,300 ", 	946 , 	979 , 	428 , 	258 , 	67 , 	86 , 	100 , 	28 , 	32 , 	71 , 	79 , 	172 , 	40 , 	40 , 	110 , 	67 , 	23 , 	36 , 	-   ," 	9,457 ",,,,,,,,,
19, 	163 , 	499 , 	314 , 	273 , 	554 , 	255 , 	204 , 	31 , 	57 , 	42 , 	181 , 	212 , 	200 , 	182 , 	197 , 	153 , 	214 , 	382 , 	320 , 	372 , 	304 , 	153 , 	103 , 	184 , 	78 ," 	1,301 "," 	1,505 "," 	1,006 "," 	1,077 ", 	474 , 	352 , 	166 , 	136 , 	158 , 	76 , 	78 , 	202 , 	179 , 	199 , 	83 , 	66 , 	84 , 	141 , 	95 , 	40 , 	-   ," 	13,045 ",,,,,,,,,
12, 	215 , 	672 , 	349 , 	261 , 	589 , 	272 , 	245 , 	53 , 	41 , 	57 , 	232 , 	335 , 	345 , 	350 , 	305 , 	174 , 	251 , 	414 , 	374 , 	383 , 	298 , 	158 , 	122 , 	179 , 	106 ," 	1,319 "," 	1,356 "," 	1,066 "," 	1,064 ", 	381 , 	330 , 	179 , 	182 , 	207 , 	135 , 	123 , 	247 , 	216 , 	297 , 	98 , 	92 , 	119 , 	166 , 	138 , 	78 , 	-   ," 	14,576 ",,,,,,,,,
LM, 	55 , 	131 , 	92 , 	75 , 	293 , 	78 , 	80 , 	45 , 	56 , 	18 , 	194 , 	287 , 	305 , 	270 , 	162 , 	91 , 	126 , 	179 , 	40 , 	29 , 	31 , 	8 , 	9 , 	30 , 	49 , 	895 ," 	1,025 ", 	806 , 	664 , 	288 , 	158 , 	61 , 	91 , 	124 , 	11 , 	124 , 	197 , 	21 , 	40 , 	16 , 	17 , 	36 , 	27 , 	78 , 	26 , 	-   ," 	7,443 ",,,,,,,,,
FV, 	91 , 	140 , 	64 , 	70 , 	337 , 	111 , 	193 , 	195 , 	252 , 	187 , 	25 , 	286 , 	233 , 	250 , 	233 , 	97 , 	89 , 	174 , 	49 , 	29 , 	41 , 	20 , 	25 , 	50 , 	117 , 	919 ," 	1,049 ", 	983 , 	913 , 	344 , 	240 , 	65 , 	100 , 	136 , 	13 , 	61 , 	122 , 	17 , 	40 , 	23 , 	32 , 	69 , 	31 , 	58 , 	14 , 	-   ," 	8,587 ",,,,,,,,,
CL, 	81 , 	161 , 	59 , 	63 , 	199 , 	91 , 	187 , 	249 , 	379 , 	264 , 	290 , 	23 , 	173 , 	209 , 	187 , 	89 , 	151 , 	318 , 	63 , 	60 , 	64 , 	44 , 	33 , 	67 , 	110 , 	733 , 	703 , 	679 , 	542 , 	193 , 	164 , 	93 , 	97 , 	177 , 	25 , 	81 , 	215 , 	36 , 	77 , 	32 , 	45 , 	43 , 	49 , 	99 , 	28 , 	-   ," 	7,727 ",,,,,,,,,
SL, 	47 , 	82 , 	32 , 	32 , 	188 , 	53 , 	137 , 	220 , 	363 , 	292 , 	235 , 	184 , 	15 , 	122 , 	193 , 	80 , 	84 , 	154 , 	30 , 	23 , 	24 , 	8 , 	10 , 	30 , 	45 , 	691 , 	775 , 	615 , 	502 , 	143 , 	99 , 	36 , 	72 , 	104 , 	13 , 	49 , 	94 , 	15 , 	38 , 	19 , 	17 , 	41 , 	14 , 	51 , 	8 , 	-   ," 	6,077 ",,,,,,,,,
BF, 	29 , 	50 , 	17 , 	21 , 	147 , 	39 , 	102 , 	194 , 	352 , 	260 , 	250 , 	207 , 	121 , 	18 , 	169 , 	89 , 	127 , 	292 , 	24 , 	12 , 	16 , 	6 , 	3 , 	11 , 	47 , 	688 , 	742 , 	589 , 	469 , 	140 , 	82 , 	31 , 	61 , 	83 , 	10 , 	66 , 	190 , 	11 , 	17 , 	16 , 	18 , 	28 , 	7 , 	96 , 	7 , 	-   ," 	5,953 ",,,,,,,,,
HY, 	37 , 	82 , 	28 , 	26 , 	160 , 	41 , 	121 , 	208 , 	293 , 	156 , 	228 , 	207 , 	184 , 	173 , 	24 , 	110 , 	221 , 	396 , 	29 , 	29 , 	21 , 	7 , 	7 , 	19 , 	32 , 	501 , 	564 , 	407 , 	311 , 	100 , 	62 , 	24 , 	41 , 	60 , 	7 , 	28 , 	75 , 	13 , 	38 , 	10 , 	15 , 	24 , 	9 , 	44 , 	13 , 	-   ," 	5,184 ",,,,,,,,,
SH, 	24 , 	30 , 	11 , 	9 , 	79 , 	23 , 	62 , 	154 , 	161 , 	85 , 	92 , 	92 , 	77 , 	82 , 	96 , 	11 , 	94 , 	190 , 	12 , 	5 , 	11 , 	2 , 	1 , 	8 , 	15 , 	408 , 	384 , 	261 , 	242 , 	76 , 	44 , 	11 , 	24 , 	43 , 	7 , 	16 , 	33 , 	4 , 	12 , 	7 , 	6 , 	14 , 	7 , 	23 , 	7 , 	-   ," 	3,053 ",,,,,,,,,
UC, 	24 , 	43 , 	16 , 	18 , 	163 , 	38 , 	80 , 	219 , 	246 , 	123 , 	92 , 	145 , 	90 , 	142 , 	217 , 	90 , 	23 , 	224 , 	14 , 	13 , 	16 , 	5 , 	6 , 	12 , 	12 , 	981 , 	912 , 	431 , 	343 , 	85 , 	37 , 	13 , 	24 , 	65 , 	5 , 	20 , 	65 , 	7 , 	16 , 	7 , 	6 , 	25 , 	7 , 	31 , 	18 , 	-   ," 	5,169 ",,,,,,,,,
