Muni Fast Pass Adult/Translink OD,,,,,,Dec 10,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,40,28,115,110,386,709,585,868,"2,843"
MT,31,42,66,95,445,896,818,"1,469","3,862"
PL,181,99,59,99,455,736,508,"1,341","3,477"
CC,83,83,93,31,253,421,313,764,"2,042"
16,331,345,539,286,18,133,134,350,"2,136"
24,547,636,901,425,134,26,117,344,"3,131"
GP,506,578,670,294,134,122,19,72,"2,393"
BP,711,810,"1,840",689,324,348,74,29,"4,825"
Entries,"2,430","2,620","4,283","2,030","2,148","3,392","2,568","5,238","24,710"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,14,6,39,28,161,197,114,241,800
MT,6,15,21,21,149,256,204,691,"1,363"
PL,43,20,52,39,437,677,454,"1,067","2,789"
CC,16,9,49,27,166,255,129,312,963
16,132,86,480,199,24,128,112,210,"1,370"
24,166,146,760,262,107,32,99,239,"1,811"
GP,103,112,547,118,99,94,24,44,"1,142"
BP,185,238,"1,375",250,200,207,44,20,"2,519"
Entries,665,633,"3,323",945,"1,342","1,846","1,180","2,823","12,757"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,4,21,14,74,109,52,144,435
MT,2,10,18,12,86,152,113,399,790
PL,26,9,60,26,297,478,303,757,"1,954"
CC,11,6,30,34,128,161,79,216,664
16,87,45,366,138,21,69,67,148,940
24,105,87,545,184,65,27,56,153,"1,221"
GP,54,64,429,78,61,58,12,22,776
BP,143,125,"1,086",180,143,119,21,20,"1,836"
Entries,446,348,"2,552",665,873,"1,171",702,"1,858","8,615"
