Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jul 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	11 , 	126 , 	63 , 	64 , 	300 , 	105 , 	91 , 	53 , 	104 , 	35 , 	124 , 	116 , 	21 , 	27 , 	27 , 	15 , 	7 , 	28 , 	23 , 	13 , 	13 , 	6 , 	8 , 	15 , 	26 , 	89 , 	102 , 	290 , 	117 , 	116 , 	163 , 	19 , 	46 , 	29 , 	23 , 	5 , 	12 , 	5 , 	22 ," 	2,462 ",,,Eastbay," 	40,893 ",,SF CBD," 	85,788 ",59.6%,,
EN, 	113 , 	12 , 	47 , 	63 , 	438 , 	120 , 	109 , 	78 , 	181 , 	48 , 	84 , 	225 , 	31 , 	30 , 	31 , 	16 , 	21 , 	52 , 	27 , 	13 , 	15 , 	5 , 	8 , 	15 , 	21 , 	251 , 	207 , 	613 , 	185 , 	77 , 	123 , 	32 , 	52 , 	44 , 	41 , 	8 , 	10 , 	5 , 	19 ," 	3,465 ",,,Westbay," 	39,148 ",,non-CBD," 	58,058 ",40.4%,,
EP, 	62 , 	41 , 	9 , 	26 , 	293 , 	56 , 	36 , 	31 , 	74 , 	18 , 	36 , 	90 , 	10 , 	11 , 	9 , 	5 , 	8 , 	25 , 	8 , 	9 , 	10 , 	6 , 	7 , 	12 , 	5 , 	116 , 	134 , 	267 , 	87 , 	29 , 	32 , 	11 , 	8 , 	18 , 	14 , 	2 , 	7 , 	2 , 	5 ," 	1,622 ",,,Transbay," 	63,805 ",,,,,,
NB, 	64 , 	55 , 	26 , 	6 , 	101 , 	44 , 	39 , 	41 , 	70 , 	18 , 	43 , 	90 , 	9 , 	9 , 	6 , 	5 , 	7 , 	21 , 	8 , 	8 , 	14 , 	2 , 	8 , 	9 , 	8 , 	167 , 	167 , 	322 , 	160 , 	56 , 	43 , 	15 , 	8 , 	16 , 	13 , 	5 , 	9 , 	2 , 	7 ," 	1,696 ",,,,,,,,,,
BK, 	248 , 	405 , 	272 , 	98 , 	15 , 	247 , 	188 , 	169 , 	338 , 	82 , 	184 , 	198 , 	60 , 	58 , 	55 , 	27 , 	46 , 	149 , 	41 , 	53 , 	64 , 	26 , 	25 , 	39 , 	41 , 	423 , 	383 ," 	1,038 ", 	451 , 	142 , 	130 , 	52 , 	28 , 	68 , 	67 , 	21 , 	68 , 	11 , 	20 ," 	6,029 ",,,Extensions," 	18,287 ",,,,,,
AS, 	92 , 	111 , 	51 , 	48 , 	212 , 	5 , 	67 , 	72 , 	105 , 	45 , 	96 , 	113 , 	26 , 	24 , 	27 , 	6 , 	12 , 	27 , 	15 , 	11 , 	13 , 	3 , 	8 , 	10 , 	26 , 	123 , 	146 , 	315 , 	165 , 	68 , 	74 , 	15 , 	12 , 	11 , 	15 , 	4 , 	14 , 	2 , 	12 ," 	2,201 ",,,,,,,,,,
MA, 	69 , 	101 , 	33 , 	37 , 	166 , 	84 , 	7 , 	41 , 	98 , 	33 , 	87 , 	158 , 	37 , 	47 , 	36 , 	13 , 	16 , 	30 , 	52 , 	23 , 	35 , 	10 , 	8 , 	28 , 	38 , 	234 , 	232 , 	497 , 	231 , 	107 , 	82 , 	22 , 	26 , 	21 , 	26 , 	3 , 	17 , 	8 , 	44 ," 	2,832 ",,,,,,,,,,
19, 	52 , 	78 , 	32 , 	44 , 	165 , 	71 , 	37 , 	7 , 	25 , 	17 , 	63 , 	81 , 	33 , 	32 , 	37 , 	16 , 	25 , 	46 , 	29 , 	29 , 	33 , 	13 , 	13 , 	30 , 	20 , 	111 , 	123 , 	260 , 	163 , 	55 , 	55 , 	15 , 	20 , 	19 , 	19 , 	5 , 	15 , 	4 , 	38 ," 	1,930 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	80 , 	162 , 	91 , 	91 , 	281 , 	106 , 	92 , 	26 , 	15 , 	28 , 	148 , 	195 , 	112 , 	117 , 	81 , 	39 , 	58 , 	112 , 	66 , 	50 , 	57 , 	35 , 	31 , 	52 , 	52 , 	243 , 	256 , 	673 , 	269 , 	82 , 	80 , 	38 , 	57 , 	58 , 	53 , 	7 , 	31 , 	9 , 	60 ," 	4,095 ",,,Dtwn SF," 	2,285 "," 	5,675 "," 	16,467 "," 	6,453 "," 	5,620 "," 	8,294 "," 	44,795 "
LM, 	28 , 	38 , 	20 , 	19 , 	81 , 	38 , 	29 , 	16 , 	30 , 	5 , 	103 , 	159 , 	119 , 	102 , 	41 , 	35 , 	49 , 	75 , 	7 , 	5 , 	8 , 	3 , 	2 , 	16 , 	26 , 	150 , 	162 , 	421 , 	156 , 	62 , 	61 , 	14 , 	28 , 	19 , 	12 , 	33 , 	55 , 	2 , 	11 ," 	2,233 ",,,OAK," 	5,374 ", 	761 ," 	1,191 "," 	2,102 ", 	846 ," 	2,733 "," 	13,007 "
