Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jul 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	8 , 	68 , 	45 , 	34 , 	181 , 	87 , 	58 , 	40 , 	65 , 	25 , 	80 , 	102 , 	16 , 	18 , 	20 , 	6 , 	6 , 	14 , 	19 , 	1 , 	7 , 	4 , 	3 , 	8 , 	16 , 	78 , 	53 , 	171 , 	73 , 	75 , 	95 , 	14 , 	35 , 	16 , 	22 , 	3 , 	9 , 	2 , 	20 ," 	1,597 ",,,Eastbay," 	27,711 ",,SF CBD," 	59,868 ",59.8%,,
EN, 	74 , 	7 , 	28 , 	46 , 	279 , 	95 , 	82 , 	42 , 	116 , 	34 , 	51 , 	127 , 	22 , 	13 , 	14 , 	8 , 	14 , 	30 , 	17 , 	4 , 	12 , 	5 , 	4 , 	10 , 	9 , 	181 , 	121 , 	328 , 	108 , 	41 , 	65 , 	23 , 	35 , 	25 , 	26 , 	5 , 	10 , 	1 , 	16 ," 	2,130 ",,,Westbay," 	27,396 ",,non-CBD," 	40,176 ",40.2%,,
EP, 	44 , 	27 , 	5 , 	17 , 	214 , 	52 , 	24 , 	18 , 	46 , 	18 , 	19 , 	72 , 	10 , 	5 , 	10 , 	5 , 	8 , 	17 , 	9 , 	4 , 	8 , 	4 , 	5 , 	9 , 	3 , 	84 , 	60 , 	158 , 	68 , 	22 , 	20 , 	7 , 	5 , 	10 , 	13 , 	1 , 	6 , 	1 , 	6 ," 	1,113 ",,,Transbay," 	44,937 ",,,,,,
NB, 	38 , 	41 , 	19 , 	6 , 	75 , 	39 , 	29 , 	28 , 	48 , 	20 , 	29 , 	73 , 	7 , 	7 , 	10 , 	3 , 	6 , 	19 , 	6 , 	6 , 	8 , 	3 , 	4 , 	6 , 	6 , 	152 , 	101 , 	216 , 	117 , 	44 , 	34 , 	12 , 	5 , 	10 , 	13 , 	4 , 	8 , 	1 , 	6 ," 	1,257 ",,,,,,,,,,
BK, 	169 , 	244 , 	196 , 	71 , 	10 , 	180 , 	119 , 	143 , 	219 , 	61 , 	118 , 	194 , 	41 , 	42 , 	48 , 	15 , 	38 , 	125 , 	31 , 	29 , 	38 , 	16 , 	21 , 	15 , 	26 , 	301 , 	237 , 	737 , 	323 , 	94 , 	87 , 	40 , 	25 , 	48 , 	62 , 	13 , 	37 , 	6 , 	15 ," 	4,232 ",,,Extensions," 	13,290 ",,,,,,
AS, 	73 , 	79 , 	43 , 	31 , 	143 , 	5 , 	57 , 	53 , 	81 , 	35 , 	79 , 	85 , 	17 , 	24 , 	15 , 	8 , 	11 , 	25 , 	6 , 	6 , 	8 , 	4 , 	5 , 	10 , 	20 , 	101 , 	84 , 	209 , 	126 , 	69 , 	54 , 	11 , 	12 , 	15 , 	19 , 	4 , 	15 , 	2 , 	11 ," 	1,657 ",,,,,,,,,,
MA, 	50 , 	68 , 	25 , 	27 , 	117 , 	56 , 	6 , 	19 , 	53 , 	19 , 	64 , 	117 , 	26 , 	22 , 	25 , 	11 , 	12 , 	27 , 	30 , 	16 , 	22 , 	6 , 	7 , 	21 , 	31 , 	144 , 	124 , 	320 , 	183 , 	75 , 	66 , 	14 , 	17 , 	14 , 	23 , 	5 , 	17 , 	3 , 	25 ," 	1,908 ",,,,,,,,,,
19, 	35 , 	33 , 	17 , 	28 , 	123 , 	50 , 	22 , 	6 , 	19 , 	13 , 	38 , 	56 , 	17 , 	21 , 	18 , 	7 , 	11 , 	18 , 	19 , 	6 , 	24 , 	9 , 	5 , 	24 , 	10 , 	80 , 	81 , 	190 , 	126 , 	37 , 	44 , 	14 , 	10 , 	14 , 	15 , 	3 , 	7 , 	3 , 	17 ," 	1,275 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	54 , 	80 , 	49 , 	56 , 	171 , 	73 , 	52 , 	18 , 	12 , 	20 , 	111 , 	135 , 	69 , 	72 , 	47 , 	23 , 	40 , 	73 , 	42 , 	30 , 	41 , 	17 , 	16 , 	42 , 	32 , 	190 , 	183 , 	511 , 	208 , 	59 , 	60 , 	23 , 	44 , 	37 , 	54 , 	5 , 	18 , 	9 , 	38 ," 	2,815 ",,,Dtwn SF," 	1,542 "," 	4,092 "," 	11,325 "," 	4,276 "," 	4,036 "," 	6,000 "," 	31,270 "
LM, 	22 , 	31 , 	24 , 	18 , 	62 , 	36 , 	19 , 	10 , 	23 , 	4 , 	75 , 	87 , 	69 , 	63 , 	25 , 	17 , 	37 , 	51 , 	6 , 	5 , 	6 , 	2 , 	1 , 	9 , 	22 , 	108 , 	97 , 	277 , 	121 , 	44 , 	47 , 	19 , 	20 , 	14 , 	11 , 	16 , 	36 , 	2 , 	7 ," 	1,542 ",,,OAK," 	3,665 ", 	501 , 	892 ," 	1,401 ", 	539 ," 	1,770 "," 	8,768 "
