Fast Pass Adjusted OD,,,,,,Jul 01,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,66,43,145,151,538,976,771,"1,124","3,814"
MT,38,73,85,134,731,"1,289","1,062","1,958","5,368"
PL,246,147,112,121,887,"1,160",756,"1,711","5,140"
CC,151,148,119,70,480,761,557,"1,236","3,522"
16,477,654,887,452,44,218,192,512,"3,436"
24,808,"1,078","1,182",677,212,59,158,401,"4,575"
GP,726,895,862,450,191,164,28,96,"3,411"
BP,977,"1,387","2,225","1,044",480,450,97,54,"6,713"
Entries,"3,489","4,424","5,616","3,098","3,562","5,078","3,620","7,091","35,979"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,10,41,36,215,265,88,198,876
MT,8,34,30,28,268,354,215,786,"1,721"
PL,48,37,125,59,792,"1,006",470,"1,258","3,795"
CC,31,30,60,76,322,466,162,453,"1,600"
16,166,221,705,308,57,155,107,299,"2,016"
24,203,277,938,410,157,68,91,275,"2,418"
GP,95,144,582,159,87,88,20,36,"1,211"
BP,187,319,"1,620",378,262,281,40,45,"3,130"
Entries,763,"1,071","4,100","1,454","2,158","2,681","1,191","3,347","16,766"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,6,25,20,128,149,63,126,537
MT,5,24,17,19,144,180,162,489,"1,039"
PL,26,19,108,38,541,647,364,778,"2,520"
CC,20,15,45,48,247,343,128,295,"1,140"
16,109,133,489,238,38,99,62,167,"1,334"
24,144,158,654,305,105,52,72,171,"1,661"
GP,68,81,453,114,59,58,18,26,878
BP,141,179,"1,250",269,149,190,25,38,"2,240"
Entries,534,614,"3,041","1,051","1,409","1,718",893,"2,090","11,350"
