Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Jul-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	10 , 	160 , 	129 , 	109 , 	477 , 	132 , 	172 , 	177 , 	280 , 	47 , 	134 , 	142 , 	45 , 	38 , 	51 , 	30 , 	17 , 	44 , 	35 , 	26 , 	31 , 	14 , 	13 , 	23 , 	37 , 	279 , 	330 , 	390 , 	290 , 	143 , 	177 , 	34 , 	50 , 	35 , 	30 , 	8 , 	32 , 	8 , 	32 ," 	4,212 ",,,Eastbay," 	79,966 ",,SF CBD," 	215,546 ",66.4%,,,
EN, 	180 , 	14 , 	83 , 	101 ," 	1,057 ", 	186 , 	238 , 	470 , 	733 , 	95 , 	125 , 	182 , 	67 , 	42 , 	63 , 	23 , 	34 , 	88 , 	61 , 	27 , 	43 , 	13 , 	14 , 	23 , 	34 ," 	1,102 "," 	1,245 ", 	914 , 	701 , 	141 , 	198 , 	68 , 	82 , 	82 , 	67 , 	8 , 	44 , 	7 , 	26 ," 	8,680 ",,,Westbay," 	85,013 ",,non-CBD," 	109,020 ",33.6%,,,
EP, 	116 , 	74 , 	6 , 	37 , 	650 , 	73 , 	76 , 	173 , 	297 , 	45 , 	48 , 	77 , 	23 , 	16 , 	23 , 	11 , 	14 , 	33 , 	25 , 	20 , 	26 , 	8 , 	7 , 	18 , 	10 , 	493 , 	552 , 	377 , 	261 , 	50 , 	45 , 	25 , 	20 , 	34 , 	21 , 	5 , 	21 , 	4 , 	8 ," 	3,820 ",,,Transbay," 	159,587 ",,,,,,,
NB, 	112 , 	90 , 	38 , 	6 , 	197 , 	52 , 	77 , 	174 , 	256 , 	47 , 	59 , 	92 , 	19 , 	16 , 	23 , 	6 , 	18 , 	40 , 	17 , 	17 , 	27 , 	7 , 	10 , 	13 , 	13 , 	587 , 	625 , 	402 , 	351 , 	85 , 	66 , 	25 , 	16 , 	34 , 	21 , 	5 , 	16 , 	5 , 	6 ," 	3,669 ",,,,,,,,,,,
BK, 	438 ," 	1,025 ", 	646 , 	197 , 	17 , 	391 , 	380 , 	488 , 	681 , 	205 , 	326 , 	292 , 	161 , 	142 , 	158 , 	103 , 	163 , 	313 , 	121 , 	162 , 	146 , 	67 , 	66 , 	42 , 	68 , 	841 , 	858 ," 	1,003 ", 	727 , 	218 , 	204 , 	145 , 	109 , 	144 , 	119 , 	45 , 	160 , 	35 , 	94 ," 	11,500 ",,,Extensions," 	43,361 ",,,,,,,
AS, 	119 , 	156 , 	68 , 	49 , 	331 , 	8 , 	74 , 	176 , 	250 , 	56 , 	108 , 	123 , 	50 , 	46 , 	44 , 	19 , 	28 , 	53 , 	29 , 	27 , 	26 , 	8 , 	10 , 	13 , 	35 , 	555 , 	584 , 	406 , 	363 , 	107 , 	84 , 	29 , 	27 , 	36 , 	23 , 	9 , 	31 , 	8 , 	23 ," 	4,191 ",,,,,,,,,,,
MA, 	154 , 	225 , 	71 , 	69 , 	378 , 	82 , 	9 , 	137 , 	226 , 	46 , 	154 , 	197 , 	99 , 	83 , 	85 , 	43 , 	54 , 	101 , 	106 , 	89 , 	98 , 	31 , 	28 , 	47 , 	56 , 	728 , 	844 , 	652 , 	555 , 	180 , 	132 , 	65 , 	52 , 	56 , 	51 , 	18 , 	52 , 	31 , 	107 ," 	6,190 ",,,,,,,,,,,
19, 	174 , 	490 , 	185 , 	188 , 	455 , 	186 , 	128 , 	10 , 	80 , 	31 , 	138 , 	187 , 	172 , 	170 , 	174 , 	132 , 	166 , 	267 , 	219 , 	314 , 	222 , 	108 , 	83 , 	97 , 	43 , 	711 , 	721 , 	527 , 	550 , 	151 , 	160 , 	111 , 	104 , 	131 , 	161 , 	48 , 	150 , 	115 , 	223 ," 	8,281 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	282 , 	751 , 	410 , 	298 , 	613 , 	247 , 	221 , 	82 , 	25 , 	51 , 	357 , 	436 , 	358 , 	338 , 	322 , 	213 , 	258 , 	344 , 	350 , 	425 , 	310 , 	181 , 	148 , 	176 , 	83 , 	913 , 	919 , 	987 , 	767 , 	178 , 	207 , 	140 , 	129 , 	171 , 	197 , 	75 , 	230 , 	102 , 	232 ," 	12,526 ",,,Dtwn SF," 	6,089 "," 	14,705 "," 	36,863 "," 	13,754 "," 	19,616 "," 	21,243 "," 	112,270 ",
LM, 	35 , 	83 , 	43 , 	50 , 	194 , 	54 , 	44 , 	28 , 	50 , 	7 , 	111 , 	183 , 	189 , 	172 , 	107 , 	78 , 	104 , 	122 , 	24 , 	24 , 	20 , 	9 , 	9 , 	19 , 	19 , 	519 , 	552 , 	487 , 	344 , 	82 , 	88 , 	37 , 	43 , 	53 , 	20 , 	57 , 	159 , 	6 , 	23 ," 	4,248 ",,,OAK," 	14,278 "," 	1,570 "," 	2,999 "," 	5,930 "," 	4,068 "," 	7,111 "," 	35,955 ",
