Exit stations,Entry stations->,,SATURDAY,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	7 , 	13 , 	16 , 	9 , 	33 , 	10 , 	11 , 	7 , 	14 , 	5 , 	14 , 	12 , 	4 , 	5 , 	4 , 	3 , 	3 , 	1 , 	4 , 	2 , 	5 , 	1 , 	1 , 	3 , 	4 , 	30 , 	25 , 	59 , 	25 , 	28 , 	36 , 	8 , 	7 , 	5 , 	4 , 	-   , 	3 , 	1 , 	3 , 	2 , 	3 , 	6 , 	4 , 	1 , 	2 , 	2 , 	1 , 	2 , 	1 , 	3 , 	446 ,,,,,,,,,,
CL, 	10 , 	16 , 	9 , 	8 , 	30 , 	14 , 	19 , 	19 , 	23 , 	31 , 	43 , 	13 , 	21 , 	39 , 	25 , 	17 , 	12 , 	13 , 	6 , 	5 , 	5 , 	2 , 	0 , 	3 , 	20 , 	38 , 	30 , 	78 , 	48 , 	36 , 	36 , 	9 , 	12 , 	12 , 	1 , 	6 , 	15 , 	2 , 	6 , 	1 , 	6 , 	6 , 	1 , 	9 , 	8 , 	6 , 	4 , 	9 , 	3 , 	6 , 	787 ,,,,,,,,,,
SL, 	6 , 	12 , 	6 , 	4 , 	16 , 	10 , 	12 , 	15 , 	21 , 	36 , 	55 , 	33 , 	9 , 	35 , 	26 , 	14 , 	13 , 	13 , 	5 , 	2 , 	4 , 	1 , 	1 , 	7 , 	8 , 	34 , 	41 , 	102 , 	33 , 	22 , 	22 , 	5 , 	9 , 	7 , 	2 , 	9 , 	20 , 	0 , 	2 , 	1 , 	1 , 	6 , 	1 , 	13 , 	2 , 	7 , 	5 , 	10 , 	1 , 	4 , 	718 ,,,,,,,,,,
BF, 	5 , 	14 , 	4 , 	4 , 	13 , 	6 , 	12 , 	17 , 	20 , 	39 , 	74 , 	43 , 	35 , 	7 , 	32 , 	15 , 	14 , 	17 , 	6 , 	1 , 	2 , 	1 , 	1 , 	3 , 	11 , 	30 , 	36 , 	94 , 	34 , 	17 , 	19 , 	6 , 	9 , 	6 , 	3 , 	9 , 	22 , 	1 , 	2 , 	1 , 	3 , 	3 , 	2 , 	15 , 	3 , 	4 , 	4 , 	7 , 	2 , 	2 , 	724 ,,,,,,,,,,
HY, 	3 , 	12 , 	3 , 	2 , 	6 , 	6 , 	11 , 	10 , 	13 , 	17 , 	32 , 	28 , 	30 , 	31 , 	7 , 	28 , 	21 , 	26 , 	5 , 	1 , 	1 , 	1 , 	0 , 	2 , 	6 , 	19 , 	12 , 	44 , 	20 , 	11 , 	8 , 	3 , 	4 , 	4 , 	3 , 	2 , 	10 , 	0 , 	2 , 	1 , 	2 , 	1 , 	1 , 	7 , 	1 , 	11 , 	13 , 	14 , 	1 , 	4 , 	493 ,,,,,,,,,,
SH, 	3 , 	4 , 	4 , 	1 , 	6 , 	3 , 	3 , 	5 , 	4 , 	7 , 	24 , 	10 , 	14 , 	16 , 	24 , 	3 , 	8 , 	12 , 	1 , 	1 , 	1 , 	0 , 	0 , 	2 , 	1 , 	9 , 	12 , 	20 , 	10 , 	5 , 	9 , 	4 , 	2 , 	3 , 	0 , 	3 , 	5 , 	1 , 	1 , 	1 , 	1 , 	2 , 	0 , 	5 , 	1 , 	2 , 	8 , 	6 , 	1 , 	1 , 	267 ,,,,,,,,,,
UC, 	2 , 	5 , 	3 , 	2 , 	11 , 	5 , 	6 , 	6 , 	9 , 	8 , 	19 , 	14 , 	11 , 	15 , 	20 , 	8 , 	6 , 	16 , 	2 , 	1 , 	0 , 	1 , 	-   , 	1 , 	2 , 	19 , 	16 , 	30 , 	9 , 	10 , 	5 , 	1 , 	3 , 	4 , 	0 , 	2 , 	4 , 	-   , 	1 , 	1 , 	0 , 	2 , 	0 , 	1 , 	2 , 	10 , 	8 , 	15 , 	0 , 	1 , 	314 ,,,,,,,,,,
FM, 	1 , 	4 , 	1 , 	1 , 	6 , 	3 , 	5 , 	5 , 	6 , 	7 , 	20 , 	12 , 	10 , 	16 , 	25 , 	12 , 	12 , 	10 , 	3 , 	3 , 	1 , 	-   , 	-   , 	1 , 	1 , 	17 , 	9 , 	22 , 	13 , 	10 , 	5 , 	3 , 	5 , 	3 , 	2 , 	4 , 	8 , 	-   , 	2 , 	1 , 	1 , 	3 , 	-   , 	3 , 	2 , 	11 , 	17 , 	19 , 	0 , 	2 , 	320 ,,,,,,,,,,
CN, 	6 , 	8 , 	2 , 	3 , 	5 , 	4 , 	11 , 	9 , 	13 , 	3 , 	7 , 	7 , 	4 , 	5 , 	3 , 	1 , 	2 , 	2 , 	12 , 	20 , 	44 , 	27 , 	8 , 	10 , 	6 , 	38 , 	20 , 	60 , 	19 , 	19 , 	18 , 	4 , 	4 , 	4 , 	2 , 	1 , 	2 , 	6 , 	39 , 	2 , 	2 , 	14 , 	5 , 	1 , 	3 , 	1 , 	2 , 	2 , 	23 , 	19 , 	525 ,,,,,,,,,,
PH, 	2 , 	3 , 	3 , 	2 , 	5 , 	2 , 	12 , 	9 , 	10 , 	2 , 	4 , 	5 , 	3 , 	2 , 	1 , 	1 , 	2 , 	2 , 	18 , 	10 , 	22 , 	11 , 	4 , 	14 , 	2 , 	32 , 	26 , 	49 , 	17 , 	11 , 	6 , 	3 , 	2 , 	2 , 	3 , 	0 , 	0 , 	1 , 	13 , 	1 , 	2 , 	10 , 	3 , 	-   , 	5 , 	-   , 	-   , 	3 , 	6 , 	7 , 	346 ,,,,,,,,,,
WC, 	4 , 	7 , 	4 , 	6 , 	4 , 	4 , 	12 , 	11 , 	9 , 	1 , 	4 , 	5 , 	3 , 	2 , 	2 , 	1 , 	1 , 	2 , 	63 , 	27 , 	6 , 	10 , 	8 , 	14 , 	5 , 	33 , 	32 , 	43 , 	17 , 	15 , 	9 , 	3 , 	6 , 	4 , 	3 , 	-   , 	1 , 	4 , 	28 , 	3 , 	2 , 	16 , 	1 , 	1 , 	4 , 	-   , 	1 , 	1 , 	9 , 	13 , 	457 ,,,,,,,,,,
LF, 	2 , 	2 , 	2 , 	2 , 	3 , 	1 , 	5 , 	2 , 	6 , 	0 , 	6 , 	1 , 	1 , 	1 , 	1 , 	0 , 	1 , 	1 , 	35 , 	13 , 	11 , 	3 , 	2 , 	7 , 	1 , 	14 , 	13 , 	16 , 	10 , 	7 , 	7 , 	2 , 	0 , 	0 , 	-   , 	-   , 	0 , 	4 , 	7 , 	-   , 	-   , 	4 , 	1 , 	-   , 	2 , 	1 , 	0 , 	1 , 	4 , 	4 , 	201 ,,,,,,,,,,
