Exit stations,Entry stations->,,WEEKDAY,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	8 , 	29 , 	26 , 	20 , 	72 , 	22 , 	41 , 	29 , 	38 , 	10 , 	31 , 	26 , 	11 , 	10 , 	7 , 	8 , 	4 , 	5 , 	8 , 	2 , 	8 , 	2 , 	2 , 	6 , 	13 , 	82 , 	87 , 	131 , 	89 , 	69 , 	69 , 	21 , 	23 , 	12 , 	7 , 	1 , 	3 , 	1 , 	5 , 	5 , 	8 , 	8 , 	8 , 	1 , 	3 , 	4 , 	2 , 	3 , 	4 , 	2 ," 	1,086 ",,,,,,,,,,,,,
EN, 	21 , 	6 , 	9 , 	12 , 	61 , 	20 , 	33 , 	27 , 	41 , 	11 , 	23 , 	18 , 	10 , 	7 , 	8 , 	4 , 	6 , 	6 , 	4 , 	3 , 	6 , 	2 , 	2 , 	4 , 	5 , 	93 , 	84 , 	112 , 	86 , 	44 , 	44 , 	12 , 	17 , 	10 , 	5 , 	1 , 	4 , 	1 , 	4 , 	4 , 	6 , 	10 , 	6 , 	2 , 	4 , 	4 , 	2 , 	3 , 	3 , 	2 , 	910 ,,,,,,,,,,,,,
EP, 	33 , 	19 , 	3 , 	16 , 	80 , 	18 , 	25 , 	24 , 	36 , 	9 , 	14 , 	10 , 	8 , 	6 , 	4 , 	4 , 	5 , 	4 , 	4 , 	2 , 	3 , 	2 , 	1 , 	5 , 	3 , 	55 , 	51 , 	65 , 	54 , 	21 , 	17 , 	5 , 	6 , 	3 , 	1 , 	1 , 	1 , 	1 , 	3 , 	2 , 	1 , 	7 , 	4 , 	1 , 	2 , 	2 , 	2 , 	2 , 	1 , 	1 , 	644 ,,,,,,,,,,,,,
NB, 	24 , 	20 , 	16 , 	2 , 	14 , 	8 , 	15 , 	16 , 	16 , 	6 , 	20 , 	13 , 	7 , 	4 , 	6 , 	2 , 	1 , 	2 , 	2 , 	4 , 	3 , 	1 , 	1 , 	1 , 	3 , 	29 , 	29 , 	33 , 	33 , 	17 , 	15 , 	3 , 	6 , 	4 , 	1 , 	1 , 	2 , 	1 , 	3 , 	1 , 	1 , 	6 , 	1 , 	0 , 	2 , 	3 , 	1 , 	1 , 	0 , 	1 , 	402 ,,,,,,,,,,,,,
BK, 	86 , 	110 , 	81 , 	16 , 	10 , 	39 , 	42 , 	44 , 	56 , 	15 , 	50 , 	45 , 	22 , 	22 , 	16 , 	11 , 	11 , 	10 , 	9 , 	6 , 	9 , 	3 , 	2 , 	2 , 	13 , 	61 , 	52 , 	77 , 	66 , 	38 , 	28 , 	9 , 	12 , 	11 , 	3 , 	3 , 	7 , 	3 , 	12 , 	3 , 	4 , 	10 , 	10 , 	2 , 	7 , 	5 , 	4 , 	8 , 	2 , 	8 ," 	1,176 ",,,,,,,,,,,,,
AS, 	24 , 	37 , 	17 , 	7 , 	31 , 	4 , 	17 , 	22 , 	33 , 	7 , 	35 , 	21 , 	13 , 	7 , 	6 , 	4 , 	5 , 	3 , 	7 , 	4 , 	3 , 	1 , 	1 , 	1 , 	8 , 	38 , 	39 , 	57 , 	48 , 	25 , 	12 , 	3 , 	7 , 	4 , 	1 , 	1 , 	3 , 	0 , 	3 , 	2 , 	5 , 	3 , 	2 , 	1 , 	2 , 	4 , 	1 , 	3 , 	1 , 	3 , 	586 ,,,,,,,,,,,,,
MA, 	48 , 	53 , 	24 , 	16 , 	36 , 	20 , 	7 , 	18 , 	30 , 	7 , 	49 , 	39 , 	29 , 	18 , 	13 , 	9 , 	13 , 	12 , 	19 , 	23 , 	28 , 	7 , 	7 , 	6 , 	15 , 	77 , 	78 , 	121 , 	100 , 	54 , 	35 , 	13 , 	16 , 	11 , 	8 , 	2 , 	11 , 	3 , 	27 , 	4 , 	4 , 	11 , 	5 , 	3 , 	3 , 	4 , 	4 , 	5 , 	17 , 	25 ," 	1,185 ",,,,,,,,,,,,,
19, 	28 , 	46 , 	18 , 	17 , 	38 , 	20 , 	17 , 	5 , 	5 , 	5 , 	25 , 	31 , 	25 , 	24 , 	21 , 	9 , 	13 , 	8 , 	26 , 	22 , 	19 , 	6 , 	6 , 	10 , 	11 , 	93 , 	87 , 	108 , 	101 , 	55 , 	35 , 	12 , 	17 , 	15 , 	6 , 	3 , 	5 , 	9 , 	25 , 	5 , 	6 , 	8 , 	3 , 	4 , 	4 , 	5 , 	5 , 	6 , 	8 , 	23 ," 	1,103 ",,,,,,,,,,,,,
12, 	39 , 	73 , 	36 , 	15 , 	43 , 	30 , 	26 , 	5 , 	10 , 	5 , 	31 , 	44 , 	47 , 	38 , 	30 , 	13 , 	22 , 	18 , 	29 , 	33 , 	25 , 	7 , 	8 , 	14 , 	15 , 	85 , 	88 , 	149 , 	101 , 	52 , 	38 , 	16 , 	30 , 	26 , 	15 , 	3 , 	7 , 	8 , 	27 , 	10 , 	9 , 	13 , 	11 , 	2 , 	3 , 	8 , 	3 , 	7 , 	8 , 	31 ," 	1,406 ",,,,,,,,,,,,,
LM, 	11 , 	18 , 	8 , 	7 , 	11 , 	8 , 	9 , 	3 , 	5 , 	5 , 	43 , 	59 , 	69 , 	57 , 	36 , 	24 , 	20 , 	19 , 	4 , 	4 , 	5 , 	2 , 	1 , 	3 , 	7 , 	89 , 	89 , 	116 , 	92 , 	44 , 	31 , 	14 , 	19 , 	11 , 	2 , 	23 , 	32 , 	2 , 	3 , 	2 , 	2 , 	3 , 	1 , 	15 , 	5 , 	11 , 	7 , 	10 , 	2 , 	6 ," 	1,069 ",,,,,,,,,,,,,
FV, 	29 , 	40 , 	15 , 	17 , 	50 , 	36 , 	48 , 	25 , 	34 , 	36 , 	13 , 	87 , 	91 , 	90 , 	67 , 	39 , 	29 , 	34 , 	12 , 	6 , 	12 , 	7 , 	13 , 	16 , 	36 , 	123 , 	123 , 	223 , 	187 , 	81 , 	83 , 	15 , 	21 , 	18 , 	5 , 	22 , 	57 , 	1 , 	9 , 	3 , 	10 , 	10 , 	5 , 	24 , 	5 , 	22 , 	8 , 	12 , 	4 , 	13 ," 	1,962 ",,,,,,,,,,,,,
