Exit stations,Entry stations->,,TOTAL,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV, 	792 ," 	1,147 ", 	438 , 	470 ," 	1,375 ", 	952 ," 	1,318 ", 	676 , 	876 ," 	1,052 ", 	404 ," 	2,364 "," 	2,432 "," 	2,583 "," 	1,775 "," 	1,033 ", 	772 , 	924 , 	349 , 	165 , 	312 , 	206 , 	321 , 	445 , 	975 ," 	3,260 "," 	3,182 "," 	6,254 "," 	4,924 "," 	2,243 "," 	2,290 ", 	404 , 	585 , 	507 , 	141 , 	602 ," 	1,559 ", 	48 , 	247 , 	83 , 	252 , 	279 , 	143 , 	692 , 	136 , 	599 , 	246 , 	393 , 	94 , 	339 ," 	53,658 ",,,,,,,,,,,,,
CL, 	726 , 	718 , 	262 , 	352 ," 	1,058 ", 	571 ," 	1,107 ", 	852 ," 	1,414 "," 	1,283 "," 	2,153 ", 	346 ," 	1,248 "," 	1,445 "," 	1,247 ", 	643 , 	457 , 	456 , 	319 , 	227 , 	209 , 	68 , 	47 , 	168 , 	722 ," 	2,032 "," 	1,879 "," 	3,337 "," 	2,540 "," 	1,307 "," 	1,244 ", 	452 , 	520 , 	524 , 	79 , 	279 , 	754 , 	48 , 	230 , 	92 , 	188 , 	211 , 	90 , 	339 , 	249 , 	308 , 	147 , 	238 , 	133 , 	332 ," 	35,650 ",,,,,,,,,,,,,
SL, 	344 , 	470 , 	211 , 	146 , 	608 , 	441 , 	784 , 	682 ," 	1,278 "," 	1,906 "," 	2,580 "," 	1,479 ", 	233 ," 	1,084 "," 	1,289 ", 	847 , 	591 , 	516 , 	140 , 	146 , 	152 , 	62 , 	49 , 	224 , 	452 ," 	2,548 "," 	2,984 "," 	3,626 "," 	2,320 "," 	1,121 ", 	891 , 	310 , 	333 , 	335 , 	78 , 	435 , 	903 , 	19 , 	126 , 	88 , 	87 , 	238 , 	64 , 	509 , 	94 , 	408 , 	150 , 	220 , 	120 , 	147 ," 	34,868 ",,,,,,,,,,,,,
BF, 	235 , 	346 , 	157 , 	139 , 	554 , 	198 , 	612 , 	756 ," 	1,162 "," 	1,612 "," 	2,579 "," 	1,525 "," 	1,151 ", 	197 , 	970 , 	664 , 	578 , 	875 , 	163 , 	75 , 	96 , 	17 , 	69 , 	103 , 	458 ," 	2,250 "," 	2,412 "," 	3,339 "," 	2,288 ", 	982 , 	741 , 	197 , 	386 , 	276 , 	107 , 	302 ," 	1,106 ", 	52 , 	58 , 	100 , 	141 , 	150 , 	71 , 	596 , 	43 , 	469 , 	186 , 	202 , 	59 , 	63 ," 	31,867 ",,,,,,,,,,,,,
HY, 	205 , 	398 , 	107 , 	127 , 	388 , 	197 , 	432 , 	623 , 	846 , 	796 ," 	1,704 "," 	1,117 "," 	1,380 ", 	983 , 	227 , 	864 ," 	1,059 "," 	1,164 ", 	142 , 	56 , 	86 , 	63 , 	32 , 	101 , 	289 ," 	1,421 "," 	1,132 "," 	1,846 "," 	1,438 ", 	574 , 	434 , 	237 , 	261 , 	249 , 	52 , 	128 , 	532 , 	39 , 	81 , 	88 , 	114 , 	86 , 	83 , 	266 , 	58 , 	583 , 	428 , 	413 , 	63 , 	108 ," 	24,100 ",,,,,,,,,,,,,
SH, 	194 , 	155 , 	114 , 	62 , 	246 , 	115 , 	278 , 	265 , 	415 , 	500 ," 	1,004 ", 	538 , 	853 , 	710 , 	847 , 	111 , 	393 , 	614 , 	77 , 	47 , 	86 , 	16 , 	12 , 	69 , 	174 ," 	1,061 "," 	1,070 "," 	1,346 "," 	1,047 ", 	423 , 	406 , 	151 , 	95 , 	121 , 	46 , 	167 , 	205 , 	31 , 	92 , 	48 , 	67 , 	91 , 	40 , 	251 , 	63 , 	426 , 	300 , 	297 , 	50 , 	121 ," 	15,910 ",,,,,,,,,,,,,
UC, 	105 , 	210 , 	115 , 	53 , 	329 , 	137 , 	346 , 	369 , 	544 , 	443 , 	829 , 	603 , 	616 , 	633 , 	927 , 	406 , 	116 , 	758 , 	88 , 	22 , 	51 , 	17 , 	12 , 	70 , 	107 , 	936 , 	951 , 	959 ," 	1,026 ", 	382 , 	247 , 	74 , 	94 , 	98 , 	39 , 	114 , 	264 , 	10 , 	83 , 	46 , 	18 , 	104 , 	20 , 	157 , 	60 , 	589 , 	333 , 	268 , 	57 , 	66 ," 	14,901 ",,,,,,,,,,,,,
FM, 	140 , 	258 , 	90 , 	53 , 	290 , 	74 , 	318 , 	228 , 	472 , 	499 , 	989 , 	481 , 	623 , 	792 ," 	1,233 ", 	648 , 	784 , 	205 , 	93 , 	104 , 	24 , 	6 , 	29 , 	36 , 	107 , 	776 , 	812 , 	882 , 	702 , 	365 , 	235 , 	88 , 	119 , 	153 , 	43 , 	173 , 	292 , 	8 , 	81 , 	33 , 	48 , 	108 , 	22 , 	61 , 	92 , 	441 , 	511 , 	491 , 	23 , 	75 ," 	15,210 ",,,,,,,,,,,,,
CN, 	233 , 	218 , 	100 , 	76 , 	250 , 	137 , 	625 , 	608 , 	841 , 	125 , 	259 , 	303 , 	170 , 	163 , 	141 , 	64 , 	71 , 	87 , 	258 , 	703 ," 	1,568 "," 	1,020 ", 	329 , 	470 , 	177 ," 	1,901 "," 	1,828 "," 	3,144 "," 	2,460 ", 	917 , 	782 , 	355 , 	328 , 	202 , 	89 , 	21 , 	77 , 	339 ," 	1,317 ", 	129 , 	195 , 	696 , 	174 , 	22 , 	176 , 	69 , 	66 , 	49 , 	904 , 	955 ," 	26,191 ",,,,,,,,,,,,,
PH, 	50 , 	132 , 	74 , 	63 , 	210 , 	134 , 	650 , 	577 , 	737 , 	142 , 	158 , 	204 , 	138 , 	47 , 	60 , 	23 , 	18 , 	99 , 	828 , 	188 , 	659 , 	336 , 	168 , 	440 , 	97 ," 	2,166 "," 	2,016 "," 	2,370 "," 	1,762 ", 	698 , 	383 , 	264 , 	86 , 	112 , 	63 , 	5 , 	69 , 	125 , 	559 , 	64 , 	177 , 	467 , 	59 , 	20 , 	149 , 	33 , 	18 , 	44 , 	421 , 	353 ," 	18,715 ",,,,,,,,,,,,,
