Exit stations,Entry stations->,,SUNDAY,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	4 , 	12 , 	8 , 	6 , 	26 , 	9 , 	10 , 	10 , 	10 , 	12 , 	15 , 	8 , 	4 , 	3 , 	4 , 	1 , 	1 , 	2 , 	6 , 	2 , 	4 , 	1 , 	1 , 	3 , 	2 , 	22 , 	17 , 	41 , 	20 , 	21 , 	22 , 	3 , 	6 , 	5 , 	4 , 	1 , 	1 , 	1 , 	3 , 	4 , 	5 , 	5 , 	1 , 	-   , 	3 , 	1 , 	2 , 	4 , 	2 , 	2 , 	352 ,,,,,,,,,,,
CL, 	7 , 	13 , 	4 , 	4 , 	25 , 	10 , 	16 , 	13 , 	17 , 	28 , 	28 , 	10 , 	19 , 	18 , 	24 , 	15 , 	7 , 	5 , 	4 , 	3 , 	2 , 	1 , 	1 , 	2 , 	14 , 	26 , 	19 , 	65 , 	37 , 	23 , 	19 , 	5 , 	10 , 	5 , 	1 , 	5 , 	13 , 	1 , 	3 , 	2 , 	3 , 	3 , 	1 , 	7 , 	11 , 	4 , 	3 , 	7 , 	3 , 	7 , 	568 ,,,,,,,,,,,
SL, 	4 , 	11 , 	4 , 	1 , 	7 , 	6 , 	9 , 	15 , 	16 , 	29 , 	34 , 	22 , 	9 , 	24 , 	20 , 	9 , 	12 , 	9 , 	3 , 	2 , 	5 , 	1 , 	0 , 	5 , 	6 , 	34 , 	28 , 	57 , 	24 , 	14 , 	11 , 	2 , 	6 , 	6 , 	1 , 	8 , 	15 , 	1 , 	1 , 	1 , 	1 , 	6 , 	1 , 	10 , 	4 , 	4 , 	3 , 	7 , 	1 , 	2 , 	505 ,,,,,,,,,,,
BF, 	5 , 	8 , 	3 , 	3 , 	8 , 	8 , 	9 , 	16 , 	16 , 	26 , 	54 , 	25 , 	26 , 	8 , 	24 , 	11 , 	13 , 	14 , 	5 , 	1 , 	3 , 	1 , 	1 , 	2 , 	7 , 	25 , 	23 , 	62 , 	25 , 	13 , 	11 , 	3 , 	6 , 	4 , 	1 , 	9 , 	20 , 	1 , 	3 , 	1 , 	3 , 	3 , 	2 , 	15 , 	1 , 	6 , 	5 , 	7 , 	2 , 	2 , 	544 ,,,,,,,,,,,
HY, 	2 , 	10 , 	3 , 	2 , 	6 , 	4 , 	7 , 	10 , 	9 , 	10 , 	29 , 	24 , 	22 , 	20 , 	5 , 	13 , 	12 , 	24 , 	3 , 	3 , 	2 , 	1 , 	1 , 	2 , 	4 , 	13 , 	4 , 	25 , 	11 , 	10 , 	5 , 	1 , 	3 , 	3 , 	1 , 	4 , 	6 , 	-   , 	1 , 	1 , 	1 , 	3 , 	-   , 	4 , 	3 , 	5 , 	9 , 	17 , 	1 , 	2 , 	356 ,,,,,,,,,,,
SH, 	1 , 	3 , 	3 , 	1 , 	2 , 	2 , 	4 , 	4 , 	4 , 	9 , 	18 , 	12 , 	10 , 	12 , 	16 , 	4 , 	5 , 	9 , 	2 , 	1 , 	2 , 	1 , 	-   , 	0 , 	3 , 	10 , 	5 , 	21 , 	8 , 	5 , 	3 , 	2 , 	2 , 	3 , 	2 , 	3 , 	3 , 	0 , 	1 , 	-   , 	1 , 	2 , 	1 , 	3 , 	4 , 	6 , 	7 , 	13 , 	1 , 	1 , 	224 ,,,,,,,,,,,
UC, 	1 , 	4 , 	1 , 	1 , 	4 , 	2 , 	3 , 	3 , 	5 , 	6 , 	8 , 	11 , 	11 , 	13 , 	9 , 	5 , 	4 , 	16 , 	1 , 	0 , 	1 , 	1 , 	1 , 	0 , 	1 , 	11 , 	11 , 	20 , 	8 , 	7 , 	3 , 	2 , 	0 , 	3 , 	-   , 	1 , 	4 , 	-   , 	2 , 	1 , 	1 , 	4 , 	2 , 	1 , 	2 , 	9 , 	8 , 	9 , 	0 , 	3 , 	216 ,,,,,,,,,,,
FM, 	4 , 	3 , 	4 , 	1 , 	3 , 	1 , 	5 , 	4 , 	4 , 	4 , 	14 , 	6 , 	11 , 	12 , 	20 , 	11 , 	8 , 	6 , 	3 , 	2 , 	1 , 	-   , 	-   , 	1 , 	1 , 	14 , 	7 , 	16 , 	9 , 	7 , 	3 , 	1 , 	2 , 	3 , 	1 , 	4 , 	6 , 	-   , 	1 , 	0 , 	1 , 	5 , 	0 , 	3 , 	3 , 	7 , 	8 , 	15 , 	1 , 	2 , 	246 ,,,,,,,,,,,
CN, 	4 , 	6 , 	2 , 	1 , 	5 , 	3 , 	15 , 	8 , 	7 , 	3 , 	9 , 	5 , 	2 , 	4 , 	3 , 	1 , 	1 , 	3 , 	9 , 	13 , 	39 , 	27 , 	7 , 	9 , 	3 , 	30 , 	13 , 	43 , 	17 , 	12 , 	9 , 	3 , 	5 , 	4 , 	2 , 	2 , 	1 , 	6 , 	30 , 	1 , 	2 , 	17 , 	1 , 	0 , 	6 , 	2 , 	2 , 	5 , 	17 , 	15 , 	425 ,,,,,,,,,,,
PH, 	1 , 	2 , 	4 , 	-   , 	3 , 	2 , 	7 , 	7 , 	8 , 	1 , 	1 , 	2 , 	2 , 	0 , 	3 , 	1 , 	0 , 	2 , 	15 , 	5 , 	19 , 	10 , 	4 , 	7 , 	1 , 	19 , 	17 , 	24 , 	15 , 	4 , 	5 , 	3 , 	2 , 	3 , 	1 , 	-   , 	1 , 	2 , 	9 , 	0 , 	3 , 	16 , 	1 , 	-   , 	5 , 	0 , 	1 , 	1 , 	6 , 	8 , 	249 ,,,,,,,,,,,
WC, 	3 , 	3 , 	4 , 	3 , 	3 , 	2 , 	7 , 	11 , 	8 , 	2 , 	5 , 	2 , 	6 , 	2 , 	1 , 	1 , 	1 , 	1 , 	47 , 	20 , 	6 , 	5 , 	5 , 	10 , 	3 , 	24 , 	16 , 	31 , 	19 , 	11 , 	10 , 	2 , 	4 , 	5 , 	1 , 	1 , 	1 , 	4 , 	22 , 	1 , 	3 , 	20 , 	1 , 	-   , 	7 , 	-   , 	2 , 	2 , 	9 , 	10 , 	359 ,,,,,,,,,,,
