Muni Fast Pass Adult/Clipper OD,,,,,,Apr 13,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,55,25,91,119,403,773,676,"1,008","3,150"
MT,29,44,50,99,523,989,911,"1,780","4,425"
PL,132,80,46,66,397,663,493,"1,364","3,241"
CC,89,91,62,29,207,416,357,853,"2,105"
16,362,402,492,231,15,127,150,393,"2,172"
24,605,725,774,432,127,19,119,410,"3,211"
GP,580,662,629,323,156,128,15,89,"2,583"
BP,857,"1,088","1,846",794,379,429,89,53,"5,534"
Entries,"2,709","3,118","3,991","2,094","2,205","3,544","2,810","5,951","26,422"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,9,35,37,151,201,118,305,872
MT,8,15,17,14,177,245,212,732,"1,419"
PL,43,18,65,34,360,552,409,"1,064","2,542"
CC,22,8,31,26,151,249,132,297,915
16,120,103,387,170,20,114,120,270,"1,303"
24,163,137,579,239,104,24,91,243,"1,578"
GP,100,111,472,130,102,84,19,42,"1,060"
BP,254,288,"1,350",258,221,218,36,39,"2,663"
Entries,725,688,"2,933",906,"1,287","1,685","1,137","2,992","12,353"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,6,23,16,77,117,77,202,535
MT,3,15,13,10,107,162,146,506,961
PL,27,12,48,20,242,379,261,699,"1,686"
CC,17,8,25,30,106,164,103,246,699
16,84,64,297,125,19,75,86,178,927
24,119,110,451,188,80,33,71,160,"1,211"
GP,87,90,371,95,83,74,22,31,852
BP,202,216,"1,062",213,159,148,28,34,"2,062"
Entries,556,520,"2,289",696,873,"1,152",792,"2,055","8,932"
