Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Aug 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	100 , 	189 , 	93 , 	102 , 	279 , 	122 , 	207 , 	195 , 	393 , 	195 , 	246 , 	10 , 	174 , 	212 , 	203 , 	116 , 	135 , 	265 , 	95 , 	105 , 	103 , 	63 , 	48 , 	69 , 	97 , 	622 , 	512 , 	638 , 	465 , 	129 , 	137 , 	66 , 	70 , 	86 , 	18 , 	105 , 	431 , 	37 , 	97 , 	23 , 	20 , 	49 , 	29 ," 	7,349 ",,,CM line,"28,418","2,739","7,139","2,271","1,688","2,524","1,794","44,779"
SL, 	54 , 	63 , 	23 , 	28 , 	140 , 	45 , 	104 , 	187 , 	354 , 	218 , 	291 , 	177 , 	11 , 	116 , 	174 , 	83 , 	71 , 	119 , 	33 , 	31 , 	25 , 	6 , 	9 , 	23 , 	37 , 	542 , 	585 , 	405 , 	323 , 	62 , 	62 , 	20 , 	46 , 	52 , 	14 , 	31 , 	108 , 	7 , 	31 , 	9 , 	12 , 	26 , 	9 ," 	4,769 ",,,RM line,"11,589","5,086","2,438","6,400","1,337","3,709",633,"30,561"
BF, 	31 , 	46 , 	16 , 	17 , 	118 , 	39 , 	96 , 	175 , 	336 , 	194 , 	251 , 	215 , 	115 , 	9 , 	146 , 	118 , 	124 , 	222 , 	32 , 	19 , 	15 , 	6 , 	5 , 	13 , 	47 , 	506 , 	518 , 	359 , 	268 , 	53 , 	57 , 	22 , 	27 , 	47 , 	13 , 	48 , 	285 , 	7 , 	20 , 	9 , 	7 , 	17 , 	8 ," 	4,673 ",,,WP line,"17,478","3,994","1,753","1,386","5,855","1,767",804,"32,233"
HY, 	41 , 	56 , 	23 , 	23 , 	116 , 	52 , 	93 , 	173 , 	273 , 	134 , 	263 , 	199 , 	196 , 	158 , 	11 , 	143 , 	192 , 	319 , 	26 , 	21 , 	21 , 	5 , 	4 , 	19 , 	31 , 	369 , 	317 , 	267 , 	219 , 	54 , 	46 , 	21 , 	21 , 	33 , 	9 , 	18 , 	84 , 	8 , 	27 , 	6 , 	6 , 	13 , 	4 ," 	4,112 ",,,FT/ED line,"19,385","7,257","2,582","3,758","1,780","13,077",632,"47,840"
SH, 	25 , 	29 , 	10 , 	10 , 	72 , 	23 , 	50 , 	129 , 	205 , 	83 , 	107 , 	111 , 	81 , 	121 , 	127 , 	7 , 	68 , 	150 , 	16 , 	13 , 	12 , 	3 , 	3 , 	6 , 	15 , 	279 , 	276 , 	208 , 	191 , 	45 , 	42 , 	9 , 	18 , 	25 , 	7 , 	13 , 	56 , 	3 , 	15 , 	3 , 	3 , 	7 , 	3 ," 	2,674 ",,,SFIA,"5,821",639,"1,813",600,795,599,802,"10,267"
UC, 	20 , 	42 , 	16 , 	9 , 	153 , 	29 , 	71 , 	155 , 	237 , 	107 , 	101 , 	141 , 	80 , 	126 , 	199 , 	75 , 	10 , 	182 , 	21 , 	24 , 	17 , 	5 , 	4 , 	13 , 	17 , 	550 , 	478 , 	299 , 	237 , 	31 , 	28 , 	13 , 	25 , 	38 , 	7 , 	14 , 	58 , 	4 , 	17 , 	4 , 	3 , 	19 , 	3 ," 	3,684 ",,,Entries,"99,174","34,036","47,965","30,264","32,841","48,871","11,574","293,150"
FM, 	38 , 	77 , 	34 , 	30 , 	289 , 	56 , 	105 , 	304 , 	375 , 	149 , 	123 , 	271 , 	117 , 	242 , 	338 , 	151 , 	178 , 	27 , 	37 , 	31 , 	27 , 	6 , 	8 , 	23 , 	20 , 	909 , 	760 , 	499 , 	377 , 	48 , 	38 , 	20 , 	27 , 	51 , 	8 , 	22 , 	72 , 	8 , 	29 , 	9 , 	6 , 	45 , 	9 ," 	5,992 ",,,,,,,,,,,
CN, 	33 , 	44 , 	29 , 	22 , 	98 , 	27 , 	103 , 	217 , 	307 , 	21 , 	54 , 	100 , 	35 , 	33 , 	24 , 	16 , 	21 , 	38 , 	13 , 	137 , 	450 , 	107 , 	55 , 	98 , 	17 , 	697 , 	628 , 	381 , 	338 , 	61 , 	76 , 	35 , 	43 , 	64 , 	27 , 	9 , 	16 , 	72 , 	426 , 	22 , 	15 , 	56 , 	23 ," 	5,087 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	19 , 	30 , 	24 , 	14 , 	147 , 	21 , 	85 , 	276 , 	381 , 	18 , 	36 , 	109 , 	30 , 	17 , 	23 , 	13 , 	22 , 	29 , 	135 , 	10 , 	148 , 	59 , 	39 , 	106 , 	11 ," 	1,362 "," 	1,207 ", 	521 , 	436 , 	59 , 	55 , 	35 , 	36 , 	76 , 	26 , 	3 , 	9 , 	44 , 	158 , 	27 , 	17 , 	83 , 	22 ," 	5,978 ",,,Dtwn SF,"3,947",,,,,,,
WC, 	26 , 	42 , 	25 , 	23 , 	133 , 	29 , 	103 , 	200 , 	295 , 	21 , 	47 , 	108 , 	25 , 	17 , 	17 , 	15 , 	16 , 	26 , 	515 , 	138 , 	12 , 	72 , 	57 , 	138 , 	13 ," 	1,112 ", 	916 , 	469 , 	340 , 	52 , 	51 , 	35 , 	36 , 	61 , 	16 , 	4 , 	8 , 	86 , 	227 , 	23 , 	17 , 	85 , 	22 ," 	5,673 ",,,OAK,"25,380","1,477",,,,,,
LF, 	14 , 	9 , 	10 , 	13 , 	68 , 	13 , 	35 , 	114 , 	180 , 	9 , 	24 , 	60 , 	6 , 	7 , 	4 , 	4 , 	5 , 	6 , 	132 , 	84 , 	94 , 	6 , 	17 , 	66 , 	4 , 	765 , 	616 , 	255 , 	187 , 	24 , 	27 , 	10 , 	8 , 	15 , 	3 , 	1 , 	4 , 	13 , 	34 , 	6 , 	5 , 	44 , 	5 ," 	3,004 ",,,CM line,"57,874","5,523","7,139",,,,,
OR, 	9 , 	9 , 	6 , 	7 , 	49 , 	10 , 	32 , 	76 , 	147 , 	8 , 	30 , 	47 , 	8 , 	3 , 	6 , 	3 , 	2 , 	7 , 	58 , 	44 , 	58 , 	21 , 	3 , 	55 , 	6 , 	688 , 	574 , 	238 , 	170 , 	23 , 	28 , 	8 , 	11 , 	12 , 	4 , 	1 , 	3 , 	11 , 	20 , 	7 , 	4 , 	37 , 	8 ," 	2,553 ",,,RM line,"22,479","10,044","4,709","6,400",,,,
RR, 	24 , 	22 , 	19 , 	18 , 	57 , 	12 , 	41 , 	97 , 	199 , 	33 , 	41 , 	75 , 	22 , 	12 , 	18 , 	6 , 	11 , 	21 , 	88 , 	104 , 	138 , 	65 , 	49 , 	6 , 	12 , 	935 , 	877 , 	517 , 	388 , 	116 , 	66 , 	23 , 	26 , 	37 , 	6 , 	5 , 	17 , 	16 , 	49 , 	14 , 	6 , 	73 , 	18 ," 	4,377 ",,,WP line,"34,883","7,974","3,441","2,724","5,855",,,
OW, 	26 , 	32 , 	10 , 	11 , 	47 , 	30 , 	45 , 	45 , 	91 , 	26 , 	106 , 	95 , 	33 , 	48 , 	29 , 	16 , 	16 , 	19 , 	15 , 	10 , 	14 , 	4 , 	6 , 	11 , 	5 ," 	1,052 ", 	928 , 	540 , 	383 , 	88 , 	93 , 	21 , 	40 , 	40 , 	9 , 	9 , 	28 , 	3 , 	25 , 	10 , 	5 , 	22 , 	7 ," 	4,091 ",,,FT/ED line,"39,440","14,395","5,107","7,467","3,547","13,077",,
EM, 	239 , 	789 , 	455 , 	483 , 	814 , 	491 , 	724 , 	796 ," 	1,142 ", 	523 , 	688 , 	664 , 	621 , 	577 , 	413 , 	322 , 	603 , 	992 , 	804 ," 	1,588 "," 	1,256 ", 	813 , 	702 , 	903 ," 	1,135 ", 	83 , 	100 , 	404 , 	337 , 	784 ," 	1,351 "," 	1,075 "," 	1,430 ", 	961 , 	567 , 	463 ," 	1,656 ", 	346 , 	750 , 	442 , 	278 , 	283 , 	547 ," 	30,394 ",,,SFIA,"12,088","2,433","2,447","1,405","1,426",599,802,"303,280"
MT, 	221 , 	764 , 	442 , 	410 , 	614 , 	452 , 	692 , 	582 , 	853 , 	481 , 	673 , 	493 , 	611 , 	553 , 	351 , 	293 , 	500 , 	798 , 	609 ," 	1,162 ", 	877 , 	542 , 	492 , 	738 , 	973 , 	102 , 	68 , 	168 , 	329 ," 	1,141 "," 	1,887 "," 	1,577 "," 	2,711 "," 	1,322 ", 	685 , 	408 ," 	1,103 ", 	260 , 	580 , 	501 , 	311 , 	250 , 	627 ," 	29,206 ",,,,,,,,,,,
PL, 	253 , 	589 , 	287 , 	316 , 	845 , 	301 , 	562 , 	481 , 	779 , 	414 , 	557 , 	686 , 	370 , 	318 , 	247 , 	198 , 	266 , 	462 , 	354 , 	465 , 	448 , 	239 , 	201 , 	456 , 	535 , 	542 , 	237 , 	97 , 	368 ," 	1,263 "," 	1,862 "," 	1,152 "," 	2,271 ", 	974 , 	522 , 	214 , 	756 , 	145 , 	397 , 	338 , 	231 , 	845 , 	441 ," 	23,284 ",,,,,,,,,,,
CC, 	195 , 	517 , 	267 , 	287 , 	553 , 	307 , 	501 , 	390 , 	560 , 	328 , 	459 , 	421 , 	304 , 	268 , 	221 , 	205 , 	250 , 	391 , 	333 , 	417 , 	310 , 	186 , 	158 , 	356 , 	394 , 	349 , 	337 , 	345 , 	81 , 	963 ," 	1,248 ", 	786 ," 	1,778 ", 	716 , 	430 , 	166 , 	513 , 	128 , 	391 , 	305 , 	189 , 	395 , 	286 ," 	17,981 ",,,,,,,,,,,
16, 	92 , 	94 , 	43 , 	80 , 	227 , 	107 , 	178 , 	132 , 	190 , 	84 , 	140 , 	121 , 	63 , 	47 , 	52 , 	41 , 	24 , 	48 , 	56 , 	57 , 	51 , 	25 , 	19 , 	111 , 	88 , 	699 , 	972 ," 	1,376 ", 	938 , 	27 , 	291 , 	276 , 	696 , 	197 , 	121 , 	24 , 	72 , 	16 , 	74 , 	66 , 	66 , 	108 , 	82 ," 	8,272 ",,,,,,,,,,,
24, 	122 , 	128 , 	44 , 	63 , 	241 , 	91 , 	145 , 	157 , 	228 , 	70 , 	164 , 	135 , 	62 , 	57 , 	43 , 	42 , 	28 , 	38 , 	75 , 	53 , 	51 , 	28 , 	28 , 	70 , 	103 ," 	1,196 "," 	1,542 "," 	2,125 "," 	1,229 ", 	308 , 	46 , 	246 , 	682 , 	268 , 	162 , 	20 , 	68 , 	15 , 	111 , 	82 , 	74 , 	128 , 	116 ," 	10,685 ",,,,,,,,,,,
GP, 	25 , 	35 , 	18 , 	15 , 	111 , 	22 , 	49 , 	99 , 	138 , 	26 , 	39 , 	67 , 	19 , 	21 , 	19 , 	11 , 	13 , 	19 , 	33 , 	31 , 	32 , 	10 , 	8 , 	21 , 	22 ," 	1,034 "," 	1,273 "," 	1,459 ", 	691 , 	264 , 	250 , 	26 , 	118 , 	67 , 	54 , 	8 , 	44 , 	10 , 	31 , 	37 , 	28 , 	70 , 	55 ," 	6,421 ",,,,,,,,,,,
BP, 	44 , 	72 , 	29 , 	24 , 	80 , 	31 , 	56 , 	91 , 	133 , 	46 , 	74 , 	68 , 	49 , 	29 , 	23 , 	17 , 	24 , 	29 , 	36 , 	36 , 	31 , 	7 , 	11 , 	27 , 	51 ," 	1,280 "," 	1,666 "," 	3,269 "," 	1,591 ", 	696 , 	688 , 	133 , 	35 , 	123 , 	119 , 	12 , 	34 , 	16 , 	55 , 	76 , 	56 , 	73 , 	77 ," 	11,113 ",,,,,,,,,,,
DC, 	36 , 	98 , 	38 , 	39 , 	122 , 	39 , 	75 , 	117 , 	170 , 	73 , 	80 , 	94 , 	53 , 	50 , 	34 , 	28 , 	36 , 	43 , 	64 , 	77 , 	62 , 	17 , 	13 , 	33 , 	43 , 	942 ," 	1,209 "," 	1,107 ", 	671 , 	205 , 	280 , 	65 , 	150 , 	17 , 	41 , 	24 , 	79 , 	21 , 	56 , 	55 , 	58 , 	133 , 	132 ," 	6,778 ",,,,,,,,,,,
CM, 	7 , 	17 , 	4 , 	5 , 	20 , 	7 , 	16 , 	55 , 	85 , 	8 , 	13 , 	20 , 	11 , 	11 , 	7 , 	5 , 	6 , 	6 , 	24 , 	24 , 	16 , 	3 , 	5 , 	6 , 	11 , 	561 , 	604 , 	588 , 	398 , 	114 , 	156 , 	54 , 	123 , 	32 , 	9 , 	2 , 	14 , 	6 , 	29 , 	13 , 	28 , 	125 , 	56 ," 	3,304 ",,,,,,,,,,,
CV, 	5 , 	11 , 	4 , 	7 , 	36 , 	10 , 	18 , 	47 , 	89 , 	79 , 	57 , 	106 , 	35 , 	54 , 	18 , 	12 , 	13 , 	21 , 	8 , 	3 , 	4 , 	1 , 	2 , 	5 , 	9 , 	404 , 	406 , 	221 , 	157 , 	21 , 	24 , 	6 , 	13 , 	23 , 	2 , 	5 , 	147 , 	1 , 	4 , 	3 , 	3 , 	17 , 	2 ," 	2,111 ",,,,,,,,,,,
