Fast Pass Adjusted OD,,,,,,Aug 04,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,45,31,110,114,447,816,670,"1,013","3,244"
MT,31,44,60,114,660,"1,130",987,"1,958","4,984"
PL,144,80,58,101,599,916,602,"1,431","3,931"
CC,109,118,113,56,475,668,481,"1,202","3,223"
16,376,520,697,456,19,169,164,442,"2,842"
24,683,871,"1,055",629,186,35,134,375,"3,969"
GP,629,764,802,425,161,146,20,84,"3,032"
BP,892,"1,187","2,170","1,066",458,390,94,29,"6,287"
Entries,"2,909","3,616","5,065","2,961","3,006","4,269","3,152","6,533","31,511"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,9,33,32,189,247,121,230,883
MT,7,17,18,27,273,342,304,990,"1,976"
PL,36,18,60,37,475,710,408,"1,008","2,752"
CC,31,18,44,37,311,370,187,484,"1,481"
16,141,183,527,308,20,110,94,242,"1,624"
24,181,218,756,366,116,33,93,227,"1,989"
GP,103,134,550,163,91,95,19,52,"1,206"
BP,197,352,"1,661",408,258,243,64,29,"3,212"
Entries,719,949,"3,647","1,379","1,733","2,149","1,288","3,261","15,123"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,5,24,17,106,142,68,129,507
MT,4,19,13,18,159,180,187,607,"1,187"
PL,22,10,47,24,321,469,260,643,"1,797"
CC,16,11,35,44,239,256,112,303,"1,015"
16,82,113,347,233,19,75,56,138,"1,063"
24,125,135,537,252,76,25,57,146,"1,352"
GP,75,83,417,109,57,54,12,30,836
BP,132,197,"1,203",288,125,139,30,23,"2,138"
Entries,470,573,"2,624",985,"1,102","1,340",781,"2,020","9,895"
