Exit stations,Entry stations->,,SATURDAY,,,May 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
CL, 	24 , 	37 , 	15 , 	19 , 	32 , 	23 , 	39 , 	47 , 	42 , 	47 , 	79 , 	12 , 	63 , 	60 , 	45 , 	28 , 	28 , 	32 , 	12 , 	11 , 	8 , 	4 , 	1 , 	20 , 	26 , 	100 , 	52 , 	144 , 	72 , 	41 , 	39 , 	15 , 	11 , 	23 , 	3 , 	24 , 	92 , 	5 , 	10 , 	4 , 	5 , 	15 , 	8 , 	25 , 	19 , 	32 , 	27 , 	39 , 	2 , 	12 ," 	1,564 ",,,,,,,,,,
SL, 	12 , 	16 , 	7 , 	9 , 	39 , 	10 , 	23 , 	39 , 	42 , 	63 , 	68 , 	68 , 	15 , 	46 , 	53 , 	28 , 	23 , 	23 , 	5 , 	3 , 	6 , 	2 , 	0 , 	8 , 	16 , 	111 , 	88 , 	201 , 	78 , 	40 , 	39 , 	8 , 	18 , 	18 , 	2 , 	15 , 	28 , 	1 , 	3 , 	1 , 	5 , 	16 , 	2 , 	27 , 	7 , 	18 , 	13 , 	20 , 	2 , 	5 ," 	1,387 ",,,,,,,,,,
BF, 	9 , 	14 , 	7 , 	8 , 	26 , 	11 , 	25 , 	36 , 	32 , 	56 , 	83 , 	57 , 	52 , 	16 , 	49 , 	27 , 	22 , 	30 , 	9 , 	3 , 	3 , 	1 , 	1 , 	6 , 	17 , 	91 , 	72 , 	215 , 	66 , 	30 , 	29 , 	9 , 	16 , 	14 , 	6 , 	16 , 	46 , 	0 , 	4 , 	2 , 	3 , 	9 , 	3 , 	27 , 	4 , 	24 , 	17 , 	19 , 	1 , 	3 ," 	1,318 ",,,,,,,,,,
HY, 	11 , 	17 , 	7 , 	9 , 	30 , 	8 , 	25 , 	31 , 	30 , 	30 , 	57 , 	43 , 	54 , 	47 , 	12 , 	38 , 	38 , 	50 , 	6 , 	2 , 	3 , 	2 , 	-   , 	3 , 	16 , 	60 , 	33 , 	79 , 	37 , 	18 , 	17 , 	4 , 	6 , 	8 , 	4 , 	6 , 	16 , 	1 , 	4 , 	2 , 	2 , 	2 , 	3 , 	9 , 	5 , 	28 , 	33 , 	34 , 	2 , 	6 , 	981 ,,,,,,,,,,
SH, 	4 , 	6 , 	3 , 	4 , 	13 , 	6 , 	9 , 	7 , 	13 , 	16 , 	31 , 	25 , 	32 , 	30 , 	37 , 	10 , 	21 , 	26 , 	1 , 	2 , 	4 , 	-   , 	1 , 	1 , 	2 , 	40 , 	22 , 	57 , 	32 , 	17 , 	18 , 	3 , 	6 , 	8 , 	0 , 	5 , 	11 , 	1 , 	1 , 	1 , 	2 , 	6 , 	2 , 	11 , 	5 , 	29 , 	16 , 	22 , 	-   , 	2 , 	615 ,,,,,,,,,,
UC, 	3 , 	15 , 	4 , 	5 , 	40 , 	6 , 	11 , 	18 , 	15 , 	17 , 	24 , 	27 , 	25 , 	27 , 	43 , 	20 , 	14 , 	29 , 	2 , 	1 , 	3 , 	1 , 	1 , 	2 , 	6 , 	76 , 	41 , 	78 , 	31 , 	24 , 	13 , 	3 , 	5 , 	6 , 	0 , 	3 , 	10 , 	1 , 	4 , 	1 , 	1 , 	13 , 	3 , 	5 , 	6 , 	32 , 	34 , 	40 , 	1 , 	2 , 	786 ,,,,,,,,,,
FM, 	6 , 	10 , 	4 , 	5 , 	43 , 	6 , 	13 , 	23 , 	18 , 	19 , 	25 , 	29 , 	26 , 	29 , 	51 , 	37 , 	32 , 	18 , 	3 , 	2 , 	3 , 	0 , 	1 , 	2 , 	4 , 	94 , 	45 , 	99 , 	42 , 	25 , 	15 , 	5 , 	6 , 	8 , 	2 , 	5 , 	14 , 	-   , 	1 , 	1 , 	1 , 	15 , 	2 , 	4 , 	9 , 	28 , 	49 , 	53 , 	0 , 	3 , 	929 ,,,,,,,,,,
CN, 	8 , 	9 , 	3 , 	5 , 	13 , 	4 , 	21 , 	19 , 	19 , 	3 , 	7 , 	8 , 	6 , 	6 , 	6 , 	1 , 	1 , 	2 , 	19 , 	29 , 	102 , 	57 , 	17 , 	14 , 	7 , 	81 , 	46 , 	101 , 	41 , 	22 , 	19 , 	5 , 	8 , 	10 , 	3 , 	1 , 	3 , 	9 , 	62 , 	5 , 	5 , 	34 , 	3 , 	1 , 	6 , 	4 , 	4 , 	9 , 	31 , 	35 , 	928 ,,,,,,,,,,
PH, 	5 , 	4 , 	4 , 	3 , 	10 , 	4 , 	19 , 	23 , 	16 , 	1 , 	5 , 	11 , 	3 , 	2 , 	1 , 	2 , 	2 , 	3 , 	30 , 	21 , 	45 , 	18 , 	11 , 	22 , 	2 , 	92 , 	49 , 	84 , 	37 , 	14 , 	12 , 	3 , 	4 , 	11 , 	3 , 	1 , 	2 , 	5 , 	23 , 	2 , 	4 , 	44 , 	2 , 	1 , 	11 , 	1 , 	2 , 	3 , 	10 , 	22 , 	707 ,,,,,,,,,,
WC, 	7 , 	10 , 	5 , 	6 , 	18 , 	5 , 	25 , 	27 , 	21 , 	6 , 	9 , 	7 , 	6 , 	3 , 	3 , 	3 , 	3 , 	2 , 	126 , 	53 , 	17 , 	29 , 	19 , 	21 , 	8 , 	109 , 	62 , 	95 , 	54 , 	30 , 	18 , 	7 , 	10 , 	9 , 	3 , 	1 , 	1 , 	8 , 	43 , 	4 , 	3 , 	54 , 	2 , 	1 , 	9 , 	1 , 	2 , 	4 , 	16 , 	28 ," 	1,009 ",,,,,,,,,,
