Exit stations,Entry stations->,,SUNDAY,,,May 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	13 , 	36 , 	38 , 	17 , 	115 , 	24 , 	34 , 	28 , 	20 , 	16 , 	30 , 	24 , 	10 , 	8 , 	6 , 	2 , 	3 , 	4 , 	8 , 	3 , 	5 , 	2 , 	1 , 	5 , 	11 , 	80 , 	38 , 	103 , 	52 , 	49 , 	42 , 	11 , 	13 , 	10 , 	3 , 	1 , 	4 , 	1 , 	2 , 	2 , 	5 , 	27 , 	6 , 	1 , 	7 , 	3 , 	3 , 	8 , 	3 , 	3 , 	932 ,,,,,,,,,,,
EN, 	38 , 	17 , 	26 , 	20 , 	123 , 	31 , 	43 , 	38 , 	51 , 	18 , 	36 , 	30 , 	12 , 	10 , 	8 , 	4 , 	8 , 	7 , 	9 , 	3 , 	5 , 	5 , 	2 , 	8 , 	9 , 	125 , 	74 , 	207 , 	79 , 	82 , 	53 , 	14 , 	18 , 	12 , 	7 , 	1 , 	4 , 	1 , 	7 , 	6 , 	3 , 	46 , 	9 , 	3 , 	23 , 	6 , 	8 , 	15 , 	1 , 	5 ," 	1,364 ",,,,,,,,,,,
EP, 	45 , 	25 , 	9 , 	13 , 	119 , 	24 , 	28 , 	31 , 	28 , 	15 , 	13 , 	14 , 	7 , 	4 , 	8 , 	4 , 	2 , 	4 , 	2 , 	3 , 	7 , 	3 , 	2 , 	6 , 	3 , 	58 , 	40 , 	75 , 	48 , 	36 , 	28 , 	6 , 	6 , 	8 , 	2 , 	1 , 	2 , 	0 , 	1 , 	1 , 	3 , 	34 , 	5 , 	1 , 	14 , 	1 , 	3 , 	6 , 	-   , 	2 , 	796 ,,,,,,,,,,,
NB, 	19 , 	20 , 	16 , 	8 , 	30 , 	14 , 	23 , 	34 , 	18 , 	9 , 	17 , 	11 , 	9 , 	4 , 	3 , 	3 , 	3 , 	7 , 	5 , 	2 , 	5 , 	1 , 	2 , 	4 , 	2 , 	92 , 	55 , 	103 , 	72 , 	60 , 	44 , 	10 , 	3 , 	6 , 	1 , 	1 , 	5 , 	1 , 	1 , 	1 , 	2 , 	44 , 	8 , 	2 , 	13 , 	3 , 	5 , 	8 , 	-   , 	0 , 	802 ,,,,,,,,,,,
BK, 	119 , 	135 , 	115 , 	37 , 	25 , 	54 , 	68 , 	86 , 	88 , 	38 , 	46 , 	30 , 	24 , 	19 , 	25 , 	11 , 	22 , 	24 , 	12 , 	8 , 	11 , 	9 , 	7 , 	11 , 	18 , 	183 , 	136 , 	256 , 	140 , 	98 , 	77 , 	38 , 	19 , 	29 , 	9 , 	3 , 	13 , 	1 , 	3 , 	5 , 	6 , 	80 , 	29 , 	7 , 	26 , 	11 , 	34 , 	49 , 	1 , 	3 ," 	2,289 ",,,,,,,,,,,
AS, 	25 , 	27 , 	20 , 	14 , 	47 , 	11 , 	24 , 	43 , 	28 , 	15 , 	27 , 	20 , 	7 , 	8 , 	7 , 	1 , 	8 , 	4 , 	2 , 	1 , 	5 , 	2 , 	0 , 	3 , 	8 , 	80 , 	53 , 	89 , 	75 , 	70 , 	43 , 	8 , 	7 , 	11 , 	3 , 	1 , 	6 , 	-   , 	1 , 	1 , 	4 , 	31 , 	5 , 	0 , 	16 , 	3 , 	8 , 	8 , 	1 , 	2 , 	879 ,,,,,,,,,,,
MA, 	41 , 	42 , 	27 , 	24 , 	67 , 	22 , 	15 , 	32 , 	30 , 	13 , 	41 , 	35 , 	17 , 	20 , 	14 , 	8 , 	8 , 	7 , 	17 , 	14 , 	17 , 	9 , 	4 , 	18 , 	16 , 	153 , 	92 , 	163 , 	133 , 	120 , 	87 , 	18 , 	11 , 	14 , 	4 , 	2 , 	8 , 	2 , 	8 , 	4 , 	5 , 	80 , 	10 , 	4 , 	18 , 	5 , 	8 , 	17 , 	5 , 	13 ," 	1,532 ",,,,,,,,,,,
19, 	24 , 	38 , 	28 , 	36 , 	81 , 	39 , 	28 , 	19 , 	6 , 	6 , 	24 , 	30 , 	24 , 	21 , 	20 , 	8 , 	8 , 	15 , 	12 , 	14 , 	18 , 	8 , 	9 , 	34 , 	19 , 	159 , 	115 , 	195 , 	158 , 	149 , 	99 , 	25 , 	16 , 	16 , 	5 , 	1 , 	6 , 	3 , 	7 , 	6 , 	8 , 	74 , 	10 , 	2 , 	14 , 	7 , 	10 , 	19 , 	3 , 	5 ," 	1,674 ",,,,,,,,,,,
12, 	26 , 	36 , 	22 , 	20 , 	82 , 	29 , 	30 , 	6 , 	17 , 	5 , 	16 , 	20 , 	19 , 	23 , 	16 , 	10 , 	7 , 	7 , 	13 , 	12 , 	13 , 	7 , 	4 , 	21 , 	18 , 	151 , 	94 , 	220 , 	128 , 	89 , 	55 , 	17 , 	19 , 	16 , 	10 , 	1 , 	4 , 	1 , 	6 , 	5 , 	16 , 	72 , 	12 , 	1 , 	13 , 	3 , 	8 , 	15 , 	3 , 	6 ," 	1,440 ",,,,,,,,,,,
LM, 	17 , 	16 , 	13 , 	5 , 	29 , 	13 , 	14 , 	4 , 	6 , 	12 , 	53 , 	60 , 	56 , 	70 , 	26 , 	16 , 	16 , 	17 , 	6 , 	3 , 	3 , 	0 , 	3 , 	5 , 	17 , 	115 , 	80 , 	174 , 	112 , 	90 , 	69 , 	16 , 	19 , 	12 , 	3 , 	22 , 	37 , 	1 , 	4 , 	3 , 	1 , 	13 , 	3 , 	10 , 	21 , 	18 , 	13 , 	24 , 	2 , 	3 ," 	1,340 ",,,,,,,,,,,
FV, 	28 , 	35 , 	13 , 	13 , 	50 , 	23 , 	39 , 	32 , 	19 , 	50 , 	15 , 	69 , 	54 , 	80 , 	43 , 	29 , 	16 , 	16 , 	6 , 	5 , 	6 , 	1 , 	2 , 	14 , 	37 , 	101 , 	64 , 	186 , 	112 , 	92 , 	82 , 	18 , 	11 , 	16 , 	4 , 	13 , 	37 , 	1 , 	3 , 	5 , 	4 , 	19 , 	4 , 	21 , 	10 , 	13 , 	17 , 	32 , 	2 , 	3 ," 	1,560 ",,,,,,,,,,,
CL, 	25 , 	31 , 	17 , 	13 , 	24 , 	25 , 	35 , 	23 , 	25 , 	47 , 	63 , 	14 , 	54 , 	57 , 	37 , 	35 , 	23 , 	31 , 	11 , 	7 , 	9 , 	4 , 	1 , 	23 , 	22 , 	63 , 	52 , 	123 , 	61 , 	36 , 	39 , 	12 , 	14 , 	14 , 	2 , 	25 , 	79 , 	3 , 	5 , 	1 , 	4 , 	15 , 	7 , 	29 , 	25 , 	17 , 	15 , 	37 , 	3 , 	11 ," 	1,344 ",,,,,,,,,,,
SL, 	12 , 	10 , 	7 , 	10 , 	21 , 	13 , 	18 , 	29 , 	28 , 	57 , 	51 , 	56 , 	10 , 	38 , 	40 , 	17 , 	14 , 	15 , 	5 , 	1 , 	5 , 	1 , 	0 , 	5 , 	10 , 	92 , 	57 , 	131 , 	61 , 	44 , 	43 , 	7 , 	12 , 	6 , 	1 , 	12 , 	20 , 	0 , 	3 , 	2 , 	3 , 	16 , 	3 , 	12 , 	5 , 	13 , 	9 , 	14 , 	1 , 	6 ," 	1,040 ",,,,,,,,,,,
BF, 	10 , 	10 , 	3 , 	7 , 	23 , 	6 , 	20 , 	22 , 	28 , 	60 , 	81 , 	55 , 	37 , 	10 , 	36 , 	18 , 	22 , 	22 , 	5 , 	1 , 	4 , 	1 , 	-   , 	3 , 	10 , 	104 , 	66 , 	165 , 	51 , 	33 , 	24 , 	8 , 	12 , 	11 , 	3 , 	14 , 	36 , 	-   , 	3 , 	1 , 	2 , 	10 , 	1 , 	21 , 	6 , 	13 , 	10 , 	20 , 	1 , 	4 ," 	1,106 ",,,,,,,,,,,
HY, 	9 , 	10 , 	4 , 	5 , 	21 , 	6 , 	11 , 	19 , 	21 , 	25 , 	48 , 	36 , 	34 , 	35 , 	9 , 	23 , 	28 , 	38 , 	4 , 	4 , 	2 , 	3 , 	1 , 	2 , 	7 , 	37 , 	21 , 	59 , 	25 , 	23 , 	23 , 	4 , 	5 , 	6 , 	4 , 	3 , 	18 , 	1 , 	3 , 	1 , 	2 , 	6 , 	3 , 	9 , 	5 , 	19 , 	28 , 	29 , 	1 , 	2 , 	737 ,,,,,,,,,,,
