Exit stations,Entry stations->,,TOTAL,,,May 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	427 ," 	1,861 "," 	1,788 "," 	1,123 "," 	6,451 "," 	1,467 "," 	2,081 "," 	1,486 "," 	1,815 ", 	638 ," 	1,401 "," 	1,220 ", 	575 , 	211 , 	469 , 	249 , 	187 , 	242 , 	384 , 	152 , 	354 , 	185 , 	119 , 	391 , 	479 ," 	4,910 "," 	4,070 "," 	6,649 "," 	3,451 "," 	2,731 "," 	3,007 ", 	772 , 	782 , 	947 , 	284 , 	78 , 	140 , 	68 , 	210 , 	194 , 	331 ," 	1,009 ", 	327 , 	80 , 	234 , 	285 , 	169 , 	227 , 	167 , 	205 ," 	57,082 ",,,,,,,,,,,,,
CL," 	1,292 "," 	1,652 ", 	835 , 	847 ," 	1,898 "," 	1,166 "," 	2,393 "," 	2,184 "," 	2,433 "," 	2,477 "," 	3,600 ", 	555 ," 	2,673 "," 	2,445 "," 	2,209 "," 	1,342 "," 	1,393 "," 	1,351 ", 	571 , 	443 , 	416 , 	298 , 	212 , 	665 ," 	1,123 "," 	5,032 "," 	3,726 "," 	6,085 "," 	3,832 "," 	1,737 "," 	1,874 ", 	662 , 	810 ," 	1,317 ", 	111 , 	905 ," 	2,629 ", 	197 , 	467 , 	237 , 	274 , 	553 , 	340 , 	978 , 	754 ," 	1,101 ", 	779 ," 	1,253 ", 	205 , 	702 ," 	73,033 ",,,,,,,,,,,,,
SL, 	654 , 	693 , 	410 , 	517 ," 	1,829 ", 	626 ," 	1,629 "," 	2,311 "," 	2,846 "," 	4,219 "," 	3,730 "," 	2,655 ", 	462 ," 	2,097 "," 	2,597 "," 	1,551 "," 	1,375 "," 	1,383 ", 	425 , 	263 , 	298 , 	53 , 	107 , 	313 , 	702 ," 	8,159 "," 	7,550 "," 	7,923 "," 	6,205 "," 	2,143 "," 	1,731 ", 	546 ," 	1,007 "," 	1,126 ", 	125 , 	675 ," 	1,773 ", 	70 , 	240 , 	168 , 	124 , 	515 , 	89 , 	896 , 	179 ," 	1,143 ", 	568 , 	654 , 	136 , 	377 ," 	77,867 ",,,,,,,,,,,,,
BF, 	258 , 	535 , 	193 , 	306 ," 	1,315 ", 	371 ," 	1,045 "," 	1,715 "," 	2,426 "," 	2,937 "," 	3,732 "," 	2,379 "," 	2,035 ", 	471 ," 	1,667 "," 	1,195 "," 	1,161 "," 	1,460 ", 	326 , 	116 , 	188 , 	35 , 	66 , 	244 , 	601 ," 	6,702 "," 	5,949 "," 	8,028 "," 	4,825 "," 	1,750 "," 	1,006 ", 	499 , 	589 , 	777 , 	118 , 	693 ," 	1,827 ", 	29 , 	126 , 	182 , 	149 , 	331 , 	159 ," 	1,075 ", 	183 ," 	1,221 ", 	572 , 	715 , 	65 , 	111 ," 	64,458 ",,,,,,,,,,,,,
HY, 	464 , 	645 , 	207 , 	342 ," 	1,422 ", 	316 ," 	1,092 "," 	1,672 "," 	2,069 "," 	1,667 "," 	2,829 "," 	2,188 "," 	2,775 "," 	1,722 ", 	415 ," 	1,498 "," 	2,431 "," 	3,000 ", 	272 , 	170 , 	203 , 	89 , 	40 , 	166 , 	523 ," 	4,229 "," 	3,062 "," 	3,438 "," 	2,639 "," 	1,068 ", 	676 , 	188 , 	362 , 	502 , 	126 , 	248 , 	922 , 	46 , 	300 , 	84 , 	176 , 	214 , 	122 , 	535 , 	179 ," 	1,771 "," 	1,188 "," 	1,170 ", 	98 , 	234 ," 	51,794 ",,,,,,,,,,,,,
SH, 	239 , 	198 , 	106 , 	172 , 	726 , 	243 , 	552 , 	928 ," 	1,194 "," 	1,338 "," 	1,471 "," 	1,309 "," 	1,427 "," 	1,159 "," 	1,465 ", 	295 , 	955 ," 	1,408 ", 	87 , 	109 , 	153 , 	14 , 	11 , 	92 , 	254 ," 	3,403 "," 	2,762 "," 	2,501 "," 	2,213 ", 	714 , 	755 , 	127 , 	205 , 	350 , 	44 , 	199 , 	478 , 	31 , 	70 , 	46 , 	64 , 	156 , 	66 , 	376 , 	164 ," 	1,418 ", 	639 , 	774 , 	30 , 	85 ," 	33,575 ",,,,,,,,,,,,,
UC, 	199 , 	507 , 	181 , 	182 ," 	1,433 ", 	249 , 	778 ," 	1,157 "," 	1,872 "," 	1,106 "," 	1,263 "," 	1,424 "," 	1,355 "," 	1,286 "," 	2,389 "," 	1,051 ", 	425 ," 	1,594 ", 	135 , 	129 , 	146 , 	40 , 	21 , 	160 , 	302 ," 	5,561 "," 	3,819 "," 	3,144 "," 	2,399 "," 	1,008 ", 	483 , 	194 , 	230 , 	471 , 	81 , 	226 , 	880 , 	23 , 	108 , 	69 , 	41 , 	390 , 	37 , 	400 , 	264 ," 	1,889 "," 	1,503 "," 	1,510 ", 	27 , 	114 ," 	44,255 ",,,,,,,,,,,,,
FM, 	243 , 	528 , 	203 , 	263 ," 	1,324 ", 	288 , 	764 ," 	1,423 "," 	1,707 "," 	1,256 "," 	1,434 "," 	1,268 "," 	1,513 "," 	1,430 "," 	3,000 "," 	1,536 "," 	1,681 ", 	557 , 	225 , 	87 , 	145 , 	40 , 	58 , 	158 , 	158 ," 	7,022 "," 	4,581 "," 	3,172 "," 	2,365 ", 	917 , 	399 , 	184 , 	237 , 	428 , 	95 , 	308 , 	701 , 	18 , 	101 , 	25 , 	51 , 	583 , 	48 , 	288 , 	329 ," 	1,865 "," 	2,035 "," 	1,967 ", 	31 , 	169 ," 	49,208 ",,,,,,,,,,,,,
CN, 	371 , 	389 , 	273 , 	209 , 	949 , 	196 ," 	1,637 "," 	1,782 "," 	1,956 ", 	305 , 	431 , 	544 , 	402 , 	291 , 	308 , 	85 , 	136 , 	215 , 	786 ," 	1,336 "," 	4,133 "," 	2,040 ", 	664 ," 	1,021 ", 	294 ," 	7,100 "," 	6,031 "," 	5,511 "," 	4,588 "," 	1,497 "," 	1,173 ", 	601 , 	511 , 	808 , 	139 , 	45 , 	158 , 	678 ," 	2,586 ", 	237 , 	301 ," 	1,726 ", 	189 , 	79 , 	442 , 	137 , 	139 , 	233 ," 	1,594 "," 	1,899 "," 	59,155 ",,,,,,,,,,,,,
PH, 	200 , 	223 , 	189 , 	210 , 	809 , 	248 ," 	1,379 "," 	2,076 "," 	2,355 ", 	181 , 	316 , 	441 , 	198 , 	145 , 	129 , 	161 , 	92 , 	98 ," 	1,297 ", 	473 ," 	1,533 ", 	648 , 	422 ," 	1,271 ", 	181 ," 	10,588 "," 	8,608 "," 	5,001 "," 	4,060 "," 	1,302 ", 	754 , 	567 , 	484 , 	618 , 	104 , 	33 , 	90 , 	315 , 	956 , 	168 , 	214 ," 	2,230 ", 	156 , 	45 , 	530 , 	101 , 	117 , 	122 , 	522 ," 	1,060 "," 	54,020 ",,,,,,,,,,,,,
WC, 	341 , 	441 , 	295 , 	273 , 	956 , 	232 ," 	1,610 "," 	2,149 "," 	2,434 ", 	365 , 	441 , 	441 , 	298 , 	165 , 	166 , 	127 , 	114 , 	155 ," 	4,168 "," 	1,495 ", 	430 , 	989 , 	649 ," 	1,602 ", 	286 ," 	11,153 "," 	8,027 "," 	4,638 "," 	3,873 "," 	1,422 ", 	675 , 	416 , 	337 , 	557 , 	161 , 	68 , 	86 , 	485 ," 	1,794 ", 	253 , 	202 ," 	2,535 ", 	214 , 	47 , 	511 , 	63 , 	89 , 	131 , 	856 ," 	1,456 "," 	60,671 ",,,,,,,,,,,,,
