Exit stations,Entry stations->,,TOTAL,,,May 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	427 ," 	1,861 "," 	1,788 "," 	1,123 "," 	6,451 "," 	1,467 "," 	2,081 "," 	1,486 "," 	1,815 ", 	638 ," 	1,401 "," 	1,220 ", 	575 , 	211 , 	469 , 	249 , 	187 , 	242 , 	384 , 	152 , 	354 , 	185 , 	119 , 	391 , 	479 ," 	4,910 "," 	4,070 "," 	6,649 "," 	3,451 "," 	2,731 "," 	3,007 ", 	772 , 	782 , 	947 , 	284 , 	78 , 	140 , 	68 , 	210 , 	194 , 	331 ," 	1,009 ", 	327 , 	80 , 	234 , 	285 , 	169 , 	227 , 	167 , 	205 ," 	57,082 ",,,,,,,,,,,,,
DC," 	1,054 "," 	1,776 ", 	626 , 	414 ," 	1,071 ", 	329 , 	834 ," 	1,600 "," 	1,661 ", 	876 ," 	1,675 "," 	1,456 "," 	1,165 ", 	753 , 	486 , 	383 , 	488 , 	425 , 	775 , 	596 , 	550 , 	188 , 	236 , 	459 , 	868 ," 	13,198 "," 	14,230 "," 	17,594 "," 	10,315 "," 	6,779 "," 	5,924 "," 	1,452 "," 	1,749 ", 	623 , 	629 , 	344 ," 	1,113 ", 	260 , 	782 ," 	1,292 "," 	1,987 "," 	4,119 "," 	3,260 ", 	377 , 	223 , 	196 , 	312 , 	379 , 	227 , 	833 ," 	108,941 ",,,,,,,,,,,,,
CM, 	271 , 	288 , 	99 , 	81 , 	356 , 	111 , 	226 , 	408 , 	760 , 	130 , 	212 , 	92 , 	140 , 	107 , 	113 , 	41 , 	54 , 	90 , 	181 , 	107 , 	184 , 	69 , 	32 , 	89 , 	215 ," 	5,364 "," 	4,883 "," 	6,013 "," 	3,934 "," 	2,497 "," 	2,448 ", 	910 ," 	1,287 ", 	497 , 	226 , 	35 , 	108 , 	66 , 	195 , 	292 , 	674 ," 	1,902 "," 	1,191 ", 	9 , 	16 , 	9 , 	39 , 	11 , 	78 , 	270 ," 	37,410 ",,,,,,,,,,,,,
CV, 	88 , 	108 , 	88 , 	73 , 	483 , 	87 , 	165 , 	423 , 	386 ," 	1,408 ", 	882 , 	955 , 	868 , 	698 , 	257 , 	229 , 	271 , 	246 , 	63 , 	36 , 	83 , 	15 , 	38 , 	96 , 	218 ," 	4,850 "," 	3,882 "," 	3,070 "," 	2,601 ", 	899 , 	457 , 	147 , 	236 , 	304 , 	36 , 	193 ," 	1,640 ", 	11 , 	30 , 	65 , 	59 , 	256 , 	85 ," 	1,036 ", 	143 , 	158 , 	106 , 	89 , 	7 , 	30 ," 	28,654 ",,,,,,,,,,,,,
ED, 	158 , 	288 , 	101 , 	188 ," 	1,045 ", 	206 , 	628 ," 	1,247 "," 	1,510 "," 	2,106 "," 	2,030 "," 	2,551 "," 	1,818 "," 	1,737 ", 	842 , 	549 , 	788 , 	691 , 	149 , 	69 , 	122 , 	16 , 	14 , 	82 , 	464 ," 	17,630 "," 	10,080 "," 	7,408 "," 	5,285 "," 	1,593 ", 	991 , 	527 , 	482 ," 	1,055 ", 	114 ," 	1,543 ", 	879 , 	30 , 	84 , 	149 , 	94 ," 	2,063 ", 	194 , 	535 ," 	1,120 ", 	365 , 	516 , 	522 , 	42 , 	43 ," 	72,743 ",,,,,,,,,,,,,
NC, 	63 , 	66 , 	60 , 	51 , 	147 , 	35 , 	298 , 	391 , 	526 , 	125 , 	95 , 	176 , 	106 , 	16 , 	33 , 	26 , 	24 , 	22 , 	594 , 	312 , 	334 , 	110 , 	85 , 	193 , 	81 ," 	2,030 "," 	1,451 "," 	1,492 "," 	1,461 ", 	481 , 	410 , 	89 , 	190 , 	268 , 	56 , 	9 , 	31 , 	137 , 	554 , 	120 , 	46 , 	595 , 	31 , 	2 , 	126 , 	32 , 	18 , 	38 , 	502 , 	464 ," 	14,602 ",,,,,,,,,,,,,
WP, 	233 , 	235 , 	115 , 	79 , 	550 , 	168 ," 	1,261 "," 	1,046 "," 	1,601 ", 	213 , 	231 , 	389 , 	210 , 	126 , 	249 , 	84 , 	107 , 	139 ," 	2,824 "," 	1,084 "," 	1,906 ", 	367 , 	230 , 	539 , 	227 ," 	4,828 "," 	4,385 "," 	6,367 "," 	4,203 "," 	1,773 "," 	1,358 ", 	512 , 	529 , 	700 , 	190 , 	32 , 	86 , 	495 , 	441 , 	206 , 	247 ," 	1,485 ", 	91 , 	28 , 	295 , 	128 , 	69 , 	91 , 	270 , 	428 ," 	43,450 ",,,,,,,,,,,,,
SS, 	176 , 	360 , 	124 , 	63 , 	309 , 	58 , 	332 , 	522 , 	797 , 	189 , 	234 , 	201 , 	167 , 	191 , 	88 , 	72 , 	72 , 	19 , 	218 , 	164 , 	240 , 	83 , 	61 , 	191 , 	234 ," 	4,668 "," 	4,266 "," 	4,965 "," 	3,858 "," 	1,986 "," 	1,877 ", 	722 ," 	1,102 "," 	1,528 ", 	306 , 	47 , 	143 , 	108 , 	165 , 	288 , 	452 , 	880 , 	752 , 	41 , 	50 , 	46 , 	16 , 	20 , 	33 , 	241 ," 	33,725 ",,,,,,,,,,,,,
SB, 	386 , 	402 , 	104 , 	82 , 	369 , 	225 , 	328 , 	545 , 	679 , 	186 , 	232 , 	257 , 	140 , 	152 , 	155 , 	65 , 	47 , 	52 , 	307 , 	218 , 	191 , 	120 , 	66 , 	171 , 	351 ," 	3,904 "," 	3,803 "," 	4,617 "," 	3,635 "," 	2,076 "," 	2,184 ", 	950 ," 	1,630 "," 	1,879 ", 	720 , 	53 , 	97 , 	76 , 	257 , 	537 , 	265 ," 	1,603 ", 	556 , 	83 , 	48 , 	60 , 	29 , 	21 , 	77 , 	269 ," 	35,259 ",,,,,,,,,,,,,
SO," 	1,130 "," 	1,571 "," 	1,207 "," 	1,782 "," 	3,313 "," 	1,211 "," 	2,004 "," 	1,801 "," 	1,878 ", 	454 , 	749 , 	503 , 	423 , 	237 , 	155 , 	123 , 	228 , 	415 ," 	1,685 "," 	2,171 "," 	2,391 "," 	1,554 "," 	1,210 "," 	2,568 "," 	2,181 "," 	5,805 "," 	5,397 "," 	17,719 "," 	5,633 "," 	3,947 "," 	2,443 "," 	1,636 "," 	1,619 "," 	3,324 "," 	1,624 ", 	191 ," 	1,651 ", 	583 ," 	1,539 ", 	659 ," 	1,030 "," 	1,990 "," 	6,769 ", 	521 , 	303 , 	175 , 	183 , 	145 , 	224 ," 	1,326 "," 	99,380 ",,,,,,,,,,,,,
MB, 	381 , 	664 , 	288 , 	339 ," 	1,298 ", 	351 , 	583 , 	830 , 	949 , 	181 , 	181 , 	284 , 	73 , 	111 , 	78 , 	74 , 	42 , 	32 , 	222 , 	141 , 	174 , 	76 , 	41 , 	160 , 	401 ," 	5,626 "," 	5,551 "," 	5,045 "," 	4,446 "," 	2,658 "," 	2,489 "," 	1,162 "," 	1,758 "," 	3,105 "," 	1,043 ", 	68 , 	159 , 	43 , 	108 , 	642 , 	396 ," 	7,710 ", 	938 , 	75 , 	74 , 	13 , 	16 , 	20 , 	73 , 	216 ," 	51,388 ",,,,,,,,,,,,,
WD, 	96 , 	196 , 	89 , 	68 , 	352 , 	59 , 	227 , 	577 , 	534 ," 	1,074 ", 	986 , 	923 , 	937 ," 	1,052 ", 	568 , 	397 , 	477 , 	265 , 	78 , 	38 , 	39 , 	6 , 	26 , 	43 , 	149 ," 	6,929 "," 	3,899 "," 	2,420 "," 	2,062 ", 	742 , 	382 , 	275 , 	248 , 	415 , 	14 ," 	1,100 ", 	533 , 	4 , 	22 , 	37 , 	82 , 	659 , 	85 , 	265 , 	381 , 	177 , 	199 , 	389 , 	20 , 	20 ," 	30,615 ",,,,,,,,,,,,,
OA, 	159 , 	585 , 	361 , 	441 ," 	1,018 ", 	328 , 	396 , 	503 , 	566 , 	337 , 	192 , 	656 , 	98 , 	111 , 	156 , 	85 , 	196 , 	268 , 	395 , 	421 , 	400 , 	237 , 	114 , 	202 , 	135 ," 	1,593 "," 	1,060 "," 	1,285 ", 	798 , 	393 , 	303 , 	231 , 	143 , 	161 , 	18 , 	77 , 	837 , 	103 , 	258 , 	33 , 	33 , 	336 , 	43 , 	356 , 	164 , 	96 , 	246 , 	193 , 	57 , 	247 ," 	17,424 ",,,,,,,,,,,,,
WS, 	328 , 	470 , 	137 , 	205 , 	598 , 	209 , 	569 , 	826 , 	659 , 	914 ," 	1,245 "," 	1,019 "," 	1,006 "," 	1,020 "," 	1,506 "," 	1,281 "," 	1,648 "," 	1,597 ", 	153 , 	90 , 	74 , 	18 , 	28 , 	117 , 	235 ," 	2,461 "," 	1,869 "," 	1,337 "," 	1,009 ", 	451 , 	288 , 	169 , 	147 , 	203 , 	18 , 	150 , 	358 , 	30 , 	125 , 	68 , 	45 , 	269 , 	15 , 	120 , 	105 , 	330 ," 	1,754 "," 	1,736 ", 	35 , 	144 ," 	29,188 ",,,,,,,,,,,,,
ML, 	236 , 	297 , 	162 , 	207 ," 	1,228 ", 	287 , 	449 , 	923 , 	803 , 	604 , 	646 , 	735 , 	608 , 	584 ," 	1,083 ", 	662 ," 	1,417 "," 	2,212 ", 	162 , 	125 , 	82 , 	40 , 	43 , 	121 , 	84 ," 	3,111 "," 	2,496 "," 	1,800 "," 	1,202 ", 	352 , 	268 , 	156 , 	190 , 	303 , 	56 , 	114 , 	480 , 	15 , 	38 , 	19 , 	31 , 	276 , 	15 , 	172 , 	230 ," 	1,763 ", 	466 , 	587 , 	25 , 	127 ," 	28,092 ",,,,,,,,,,,,,
BE, 	274 , 	533 , 	207 , 	252 ," 	1,732 ", 	438 , 	727 ," 	1,079 "," 	1,111 ", 	816 ," 	1,001 "," 	1,245 ", 	700 , 	838 ," 	1,254 ", 	876 ," 	1,457 "," 	1,898 ", 	178 , 	156 , 	141 , 	74 , 	54 , 	152 , 	241 ," 	3,535 "," 	2,702 "," 	2,061 "," 	1,434 ", 	630 , 	347 , 	147 , 	202 , 	381 , 	40 , 	94 , 	488 , 	27 , 	108 , 	17 , 	23 , 	226 , 	20 , 	376 , 	199 ," 	2,021 ", 	554 , 	644 , 	32 , 	110 ," 	33,852 ",,,,,,,,,,,,,
PC, 	168 , 	55 , 	70 , 	64 , 	262 , 	53 , 	518 , 	344 , 	404 , 	132 , 	158 , 	139 , 	139 , 	71 , 	97 , 	28 , 	14 , 	30 ," 	1,485 ", 	537 , 	771 , 	176 , 	153 , 	259 , 	154 , 	698 , 	863 ," 	1,316 ", 	873 , 	436 , 	286 , 	103 , 	242 , 	261 , 	57 , 	6 , 	49 , 	436 , 	216 , 	67 , 	80 , 	206 , 	45 , 	12 , 	60 , 	37 , 	12 , 	39 , 	62 , 	575 ," 	13,318 ",,,,,,,,,,,,,
AN, 	251 , 	208 , 	84 , 	67 , 	523 , 	190 ," 	1,474 "," 	1,259 "," 	1,714 ", 	309 , 	274 , 	625 , 	376 , 	143 , 	264 , 	103 , 	128 , 	189 ," 	2,001 ", 	958 ," 	1,576 ", 	275 , 	208 , 	530 , 	315 ," 	5,271 "," 	4,611 "," 	4,775 "," 	4,113 "," 	1,502 "," 	1,082 ", 	669 , 	591 , 	808 , 	291 , 	46 , 	57 , 	429 , 	577 , 	288 , 	279 ," 	1,522 ", 	199 , 	22 , 	397 , 	175 , 	119 , 	139 , 	637 , 	380 ," 	43,023 ",,,,,,,,,,,,,
Entries," 	60,575 "," 	89,613 "," 	50,953 "," 	46,751 "," 	118,815 "," 	52,024 "," 	95,424 "," 	118,981 "," 	120,298 "," 	71,724 "," 	96,737 "," 	71,733 "," 	76,624 "," 	63,364 "," 	51,386 "," 	35,427 "," 	43,474 "," 	48,566 "," 	59,477 "," 	54,969 "," 	60,549 "," 	34,891 "," 	27,612 "," 	57,321 "," 	91,530 "," 	366,168 "," 	292,122 "," 	333,618 "," 	230,990 "," 	150,189 "," 	146,138 "," 	80,744 "," 	104,253 "," 	105,278 "," 	37,389 "," 	28,392 "," 	73,100 "," 	14,951 "," 	42,489 "," 	32,825 "," 	33,923 "," 	111,841 "," 	53,013 "," 	29,577 "," 	20,142 "," 	30,932 "," 	27,870 "," 	32,817 "," 	14,043 "," 	42,087 "," 	4,133,709 ",,,,,,,,,,,,,
