Exit stations,Entry stations->,,TOTAL,,,Sep 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV," 	2,276 "," 	2,529 "," 	1,466 "," 	1,806 "," 	7,428 "," 	2,814 "," 	4,039 "," 	4,732 "," 	5,506 "," 	4,484 ", 	760 ," 	8,135 "," 	5,784 "," 	5,050 "," 	5,263 "," 	2,027 "," 	1,958 "," 	2,396 "," 	1,187 ", 	530 , 	803 , 	318 , 	613 ," 	1,420 "," 	2,389 "," 	21,721 "," 	21,861 "," 	20,516 "," 	18,686 "," 	8,378 "," 	5,868 "," 	1,557 "," 	2,936 "," 	3,881 ", 	329 ," 	1,249 "," 	3,052 ", 	134 , 	574 , 	359 , 	599 ," 	1,754 ", 	520 ," 	1,666 ", 	516 ," 	2,181 ", 	-   , 	-   , 	359 , 	438 ," 	194,847 ",,,,,,,,,,,,,
CL," 	2,293 "," 	4,919 "," 	2,128 "," 	2,048 "," 	5,412 "," 	2,640 "," 	5,175 "," 	5,544 "," 	7,867 "," 	6,959 "," 	7,859 "," 	1,525 "," 	6,537 "," 	6,062 "," 	5,947 "," 	3,056 "," 	3,721 "," 	5,019 "," 	2,142 "," 	1,845 "," 	1,818 ", 	955 ," 	2,507 "," 	1,785 "," 	2,515 "," 	14,638 "," 	13,250 "," 	13,144 "," 	10,644 "," 	4,450 "," 	3,788 "," 	1,877 "," 	2,126 "," 	4,497 ", 	384 ," 	3,213 "," 	10,385 ", 	753 ," 	1,383 ", 	578 , 	813 ," 	1,343 "," 	1,195 "," 	4,387 "," 	1,791 "," 	6,410 ", 	-   , 	-   , 	619 ," 	1,508 "," 	201,454 ",,,,,,,,,,,,,
SL," 	1,111 "," 	1,382 ", 	782 , 	826 ," 	4,863 "," 	1,227 "," 	3,006 "," 	5,858 "," 	8,104 "," 	7,861 "," 	5,823 "," 	7,053 ", 	505 ," 	3,251 "," 	3,905 "," 	1,733 "," 	1,866 "," 	2,229 ", 	697 , 	577 , 	469 , 	230 , 	280 , 	577 , 	964 ," 	17,655 "," 	18,617 "," 	15,042 "," 	12,550 "," 	4,203 "," 	2,558 "," 	1,136 "," 	2,008 "," 	3,055 ", 	216 , 	980 ," 	2,571 ", 	185 , 	411 , 	358 , 	338 ," 	1,333 ", 	298 ," 	1,443 ", 	297 ," 	2,076 ", 	-   , 	-   , 	190 , 	423 ," 	153,122 ",,,,,,,,,,,,,
BF, 	542 ," 	1,030 ", 	369 , 	504 ," 	3,433 ", 	921 ," 	2,171 "," 	4,894 "," 	7,120 "," 	6,148 "," 	4,748 "," 	5,708 "," 	3,039 ", 	503 ," 	2,502 "," 	1,636 "," 	1,982 "," 	3,009 ", 	464 , 	226 , 	227 , 	81 , 	112 , 	369 , 	809 ," 	15,612 "," 	15,904 "," 	13,863 "," 	10,792 "," 	3,685 "," 	1,987 ", 	867 ," 	1,385 "," 	2,418 ", 	240 ," 	1,090 "," 	3,233 ", 	124 , 	176 , 	201 , 	390 , 	901 , 	279 ," 	1,654 ", 	209 ," 	2,094 ", 	-   , 	-   , 	90 , 	218 ," 	129,959 ",,,,,,,,,,,,,
HY, 	964 ," 	2,061 ", 	641 , 	735 ," 	3,629 ", 	963 ," 	2,396 "," 	5,013 "," 	6,339 "," 	4,058 "," 	5,339 "," 	5,808 "," 	3,897 "," 	2,436 ", 	602 ," 	2,620 "," 	4,652 "," 	5,585 ", 	837 , 	485 , 	446 , 	210 , 	177 , 	419 , 	823 ," 	11,925 "," 	12,036 "," 	8,848 "," 	7,268 "," 	2,722 "," 	1,394 ", 	807 ," 	1,080 "," 	1,780 ", 	160 , 	498 ," 	1,896 ", 	271 , 	682 , 	223 , 	327 , 	727 , 	159 , 	885 , 	352 ," 	3,726 ", 	-   , 	-   , 	296 , 	626 ," 	119,823 ",,,,,,,,,,,,,
SH, 	442 , 	612 , 	185 , 	280 ," 	1,915 ", 	475 , 	983 ," 	2,899 "," 	3,722 "," 	1,912 "," 	1,883 "," 	2,823 "," 	1,612 "," 	1,663 "," 	2,204 ", 	351 ," 	1,635 "," 	2,349 ", 	264 , 	163 , 	247 , 	51 , 	71 , 	138 , 	362 ," 	9,440 "," 	8,656 "," 	5,965 "," 	5,701 "," 	1,850 "," 	1,173 ", 	408 , 	496 ," 	1,362 ", 	115 , 	356 , 	890 , 	51 , 	173 , 	146 , 	180 , 	527 , 	95 , 	459 , 	226 ," 	2,618 ", 	-   , 	-   , 	68 , 	140 ," 	70,336 ",,,,,,,,,,,,,
UC, 	457 , 	758 , 	421 , 	444 ," 	3,920 ", 	871 ," 	1,612 "," 	4,379 "," 	4,701 "," 	2,657 "," 	2,065 "," 	3,499 "," 	1,953 "," 	2,083 "," 	4,619 "," 	1,624 ", 	638 ," 	3,995 ", 	396 , 	355 , 	389 , 	108 , 	85 , 	264 , 	312 ," 	19,535 "," 	16,595 "," 	8,958 "," 	7,978 "," 	2,568 ", 	972 , 	376 , 	691 ," 	1,759 ", 	157 , 	367 ," 	1,495 ", 	31 , 	213 , 	107 , 	115 , 	794 , 	123 , 	619 , 	475 ," 	2,975 ", 	-   , 	-   , 	89 , 	250 ," 	109,847 ",,,,,,,,,,,,,
FM, 	689 , 	951 , 	651 , 	673 ," 	4,196 ", 	750 ," 	1,872 "," 	5,645 "," 	5,831 "," 	2,597 "," 	2,575 "," 	4,676 "," 	2,292 "," 	3,180 "," 	6,011 "," 	2,724 "," 	6,811 ", 	936 , 	406 , 	403 , 	250 , 	125 , 	143 , 	324 , 	401 ," 	28,410 "," 	23,690 "," 	10,161 "," 	8,302 "," 	3,020 ", 	952 , 	421 , 	624 ," 	1,495 ", 	132 , 	591 ," 	1,307 ", 	84 , 	204 , 	107 , 	203 , 	989 , 	87 , 	633 , 	558 ," 	2,897 ", 	-   , 	-   , 	108 , 	214 ," 	140,301 ",,,,,,,,,,,,,
CN, 	596 , 	831 , 	530 , 	532 ," 	2,765 ", 	573 ," 	3,272 "," 	6,102 "," 	6,881 ", 	782 ," 	1,117 "," 	1,949 ", 	724 , 	543 , 	940 , 	274 , 	434 , 	379 , 	946 ," 	2,427 "," 	5,417 "," 	2,074 ", 	937 ," 	2,139 ", 	425 ," 	18,969 "," 	18,291 "," 	12,201 "," 	10,484 "," 	3,613 "," 	1,924 "," 	1,322 "," 	1,489 "," 	2,564 ", 	566 , 	111 , 	243 ," 	1,187 "," 	4,150 ", 	529 , 	680 ," 	3,583 ", 	599 , 	118 , 	905 , 	554 , 	-   , 	-   ," 	2,624 "," 	3,126 "," 	133,421 ",,,,,,,,,,,,,
PH, 	325 , 	452 , 	459 , 	514 ," 	3,190 ", 	471 ," 	3,847 "," 	7,850 "," 	9,046 ", 	550 , 	433 ," 	1,698 ", 	495 , 	202 , 	461 , 	181 , 	323 , 	368 ," 	2,374 ", 	783 ," 	2,656 "," 	1,462 ", 	772 ," 	2,830 ", 	335 ," 	35,305 "," 	34,869 "," 	14,928 "," 	13,713 "," 	4,440 "," 	1,831 "," 	1,961 "," 	1,283 "," 	1,957 ", 	260 , 	74 , 	107 , 	876 ," 	2,079 ", 	442 , 	635 ," 	4,454 ", 	599 , 	82 ," 	1,170 ", 	432 , 	-   , 	-   , 	966 ," 	1,667 "," 	166,207 ",,,,,,,,,,,,,
WC, 	498 , 	619 , 	574 , 	542 ," 	2,871 ", 	473 ," 	3,483 "," 	6,803 "," 	6,855 ", 	500 , 	874 ," 	1,717 ", 	531 , 	264 , 	442 , 	230 , 	391 , 	282 ," 	5,915 "," 	2,807 ", 	629 ," 	1,705 ", 	911 ," 	3,656 ", 	400 ," 	29,557 "," 	27,723 "," 	11,579 "," 	10,558 "," 	3,402 "," 	1,474 "," 	1,165 ", 	975 ," 	1,621 ", 	363 , 	106 , 	125 ," 	1,185 "," 	3,224 ", 	515 , 	464 ," 	4,373 ", 	590 , 	54 ," 	1,087 ", 	391 , 	-   , 	-   ," 	1,280 "," 	2,211 "," 	147,994 ",,,,,,,,,,,,,
LF, 	153 , 	210 , 	177 , 	201 ," 	1,626 ", 	179 ," 	1,288 "," 	3,677 "," 	3,377 ", 	180 , 	339 , 	898 , 	209 , 	77 , 	195 , 	58 , 	96 , 	110 ," 	2,481 "," 	1,639 "," 	1,548 ", 	434 , 	489 ," 	1,888 ", 	99 ," 	19,179 "," 	17,795 "," 	6,173 "," 	6,230 "," 	1,746 ", 	781 , 	474 , 	329 , 	653 , 	85 , 	33 , 	41 , 	261 , 	866 , 	168 , 	181 ," 	2,416 ", 	378 , 	10 , 	577 , 	105 , 	-   , 	-   , 	309 , 	413 ," 	80,831 ",,,,,,,,,,,,,
OR, 	261 , 	381 , 	181 , 	307 ," 	1,523 ", 	266 ," 	1,051 "," 	2,838 "," 	2,847 ", 	257 , 	510 ," 	2,059 ", 	265 , 	121 , 	176 , 	80 , 	101 , 	152 , 	943 , 	654 , 	905 , 	531 , 	544 ," 	1,652 ", 	140 ," 	20,962 "," 	16,467 "," 	7,938 "," 	7,178 "," 	2,019 "," 	1,069 ", 	787 , 	387 , 	666 , 	104 , 	90 , 	121 , 	140 , 	255 , 	170 , 	215 ," 	3,206 ", 	364 , 	37 , 	631 , 	185 , 	-   , 	-   , 	238 , 	301 ," 	82,275 ",,,,,,,,,,,,,
RR, 	537 , 	852 , 	814 , 	527 ," 	1,233 ", 	351 ," 	1,676 "," 	5,079 "," 	4,664 ", 	825 ," 	1,198 "," 	1,742 ", 	605 , 	260 , 	322 , 	177 , 	282 , 	359 ," 	1,961 "," 	2,718 "," 	3,635 "," 	1,757 "," 	1,818 ", 	769 , 	585 ," 	25,808 "," 	23,594 "," 	13,902 "," 	15,470 "," 	5,715 "," 	2,984 "," 	1,520 "," 	1,334 "," 	1,251 ", 	110 , 	140 , 	235 , 	537 , 	875 , 	261 , 	342 ," 	3,839 ", 	708 , 	132 , 	578 , 	400 , 	-   , 	-   , 	554 , 	939 ," 	135,974 ",,,,,,,,,,,,,
OW, 	572 , 	817 , 	320 , 	367 ," 	1,923 ", 	699 ," 	1,135 "," 	1,685 "," 	2,237 ", 	819 ," 	2,284 "," 	2,472 ", 	911 , 	783 , 	821 , 	350 , 	333 , 	361 , 	361 , 	348 , 	374 , 	126 , 	123 , 	654 , 	936 ," 	43,837 "," 	35,461 "," 	27,867 "," 	22,845 "," 	10,260 "," 	5,817 "," 	1,538 "," 	1,958 "," 	1,914 ", 	390 , 	258 , 	615 , 	125 , 	376 , 	434 , 	601 ," 	3,343 ", 	930 , 	307 , 	321 , 	302 , 	-   , 	-   , 	195 , 	454 ," 	181,959 ",,,,,,,,,,,,,
EM," 	13,117 "," 	25,066 "," 	16,575 "," 	17,828 "," 	28,716 "," 	21,319 "," 	34,053 "," 	46,894 "," 	40,271 "," 	28,647 "," 	27,798 "," 	17,818 "," 	23,358 "," 	19,884 "," 	14,753 "," 	12,033 "," 	23,285 "," 	33,393 "," 	23,932 "," 	45,043 "," 	35,831 "," 	23,136 "," 	25,206 "," 	29,829 "," 	56,330 "," 	8,045 "," 	2,722 "," 	10,344 "," 	14,281 "," 	27,263 "," 	43,724 "," 	28,427 "," 	37,158 "," 	31,753 "," 	19,494 "," 	15,230 "," 	58,471 "," 	9,074 "," 	14,025 "," 	14,552 "," 	13,480 "," 	11,772 "," 	25,089 "," 	22,911 "," 	5,252 "," 	21,068 ", 	-   , 	-   ," 	3,839 "," 	11,108 "," 	1,133,197 ",,,,,,,,,,,,,
