Exit stations,Entry stations->,,SUNDAY,,,Sep 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	15 , 	35 , 	52 , 	24 , 	149 , 	35 , 	44 , 	38 , 	35 , 	21 , 	49 , 	74 , 	17 , 	7 , 	11 , 	7 , 	4 , 	13 , 	8 , 	4 , 	4 , 	2 , 	5 , 	9 , 	9 , 	120 , 	78 , 	221 , 	85 , 	69 , 	60 , 	17 , 	26 , 	19 , 	4 , 	2 , 	8 , 	0 , 	6 , 	6 , 	10 , 	41 , 	8 , 	3 , 	8 , 	10 , 	-   , 	-   , 	3 , 	6 ," 	1,485 ",,,,,,,,,,,
EN, 	42 , 	13 , 	33 , 	36 , 	216 , 	54 , 	67 , 	81 , 	67 , 	30 , 	54 , 	190 , 	21 , 	20 , 	18 , 	11 , 	7 , 	12 , 	8 , 	6 , 	8 , 	2 , 	6 , 	13 , 	17 , 	202 , 	114 , 	334 , 	136 , 	75 , 	56 , 	22 , 	23 , 	31 , 	16 , 	4 , 	8 , 	1 , 	5 , 	9 , 	9 , 	86 , 	13 , 	3 , 	31 , 	26 , 	-   , 	-   , 	4 , 	4 ," 	2,242 ",,,,,,,,,,,
EP, 	57 , 	39 , 	14 , 	27 , 	247 , 	45 , 	38 , 	60 , 	50 , 	24 , 	25 , 	95 , 	15 , 	11 , 	9 , 	4 , 	8 , 	12 , 	6 , 	8 , 	6 , 	6 , 	5 , 	13 , 	6 , 	149 , 	91 , 	182 , 	124 , 	47 , 	28 , 	18 , 	8 , 	13 , 	5 , 	1 , 	6 , 	0 , 	2 , 	4 , 	6 , 	52 , 	10 , 	2 , 	23 , 	19 , 	-   , 	-   , 	0 , 	3 ," 	1,625 ",,,,,,,,,,,
NB, 	30 , 	38 , 	32 , 	21 , 	71 , 	30 , 	41 , 	83 , 	51 , 	24 , 	32 , 	87 , 	17 , 	14 , 	9 , 	7 , 	7 , 	13 , 	3 , 	6 , 	8 , 	2 , 	9 , 	10 , 	8 , 	167 , 	97 , 	172 , 	160 , 	80 , 	56 , 	21 , 	16 , 	15 , 	4 , 	3 , 	8 , 	1 , 	1 , 	2 , 	7 , 	73 , 	9 , 	3 , 	33 , 	19 , 	-   , 	-   , 	1 , 	3 ," 	1,606 ",,,,,,,,,,,
BK, 	159 , 	218 , 	227 , 	76 , 	51 , 	108 , 	124 , 	192 , 	154 , 	78 , 	101 , 	140 , 	45 , 	40 , 	39 , 	19 , 	46 , 	74 , 	18 , 	16 , 	26 , 	12 , 	27 , 	19 , 	33 , 	359 , 	232 , 	455 , 	302 , 	170 , 	106 , 	58 , 	37 , 	56 , 	7 , 	11 , 	47 , 	4 , 	8 , 	14 , 	18 , 	118 , 	48 , 	12 , 	53 , 	175 , 	-   , 	-   , 	4 , 	9 ," 	4,346 ",,,,,,,,,,,
AS, 	49 , 	54 , 	40 , 	29 , 	91 , 	24 , 	43 , 	102 , 	58 , 	27 , 	46 , 	76 , 	16 , 	15 , 	15 , 	6 , 	11 , 	11 , 	4 , 	4 , 	4 , 	3 , 	4 , 	7 , 	16 , 	139 , 	87 , 	169 , 	161 , 	99 , 	59 , 	20 , 	7 , 	14 , 	4 , 	3 , 	9 , 	1 , 	5 , 	4 , 	5 , 	56 , 	9 , 	3 , 	21 , 	20 , 	-   , 	-   , 	2 , 	2 ," 	1,656 ",,,,,,,,,,,
MA, 	48 , 	63 , 	38 , 	38 , 	119 , 	50 , 	31 , 	104 , 	75 , 	36 , 	67 , 	178 , 	33 , 	28 , 	23 , 	10 , 	17 , 	20 , 	25 , 	16 , 	20 , 	11 , 	19 , 	38 , 	19 , 	271 , 	184 , 	328 , 	316 , 	183 , 	117 , 	36 , 	25 , 	26 , 	6 , 	8 , 	22 , 	4 , 	17 , 	4 , 	7 , 	117 , 	12 , 	7 , 	42 , 	29 , 	-   , 	-   , 	9 , 	21 ," 	2,917 ",,,,,,,,,,,
19, 	40 , 	73 , 	58 , 	71 , 	160 , 	96 , 	88 , 	26 , 	19 , 	26 , 	79 , 	128 , 	61 , 	39 , 	39 , 	18 , 	22 , 	26 , 	33 , 	20 , 	31 , 	13 , 	28 , 	75 , 	42 , 	278 , 	206 , 	364 , 	369 , 	221 , 	143 , 	45 , 	37 , 	40 , 	10 , 	14 , 	26 , 	5 , 	17 , 	7 , 	11 , 	94 , 	24 , 	13 , 	31 , 	43 , 	-   , 	-   , 	6 , 	10 ," 	3,327 ",,,,,,,,,,,
12, 	36 , 	68 , 	53 , 	57 , 	134 , 	58 , 	71 , 	20 , 	29 , 	23 , 	84 , 	205 , 	67 , 	69 , 	37 , 	24 , 	38 , 	38 , 	30 , 	28 , 	23 , 	12 , 	32 , 	70 , 	45 , 	370 , 	283 , 	557 , 	353 , 	196 , 	118 , 	51 , 	62 , 	57 , 	20 , 	19 , 	38 , 	8 , 	18 , 	14 , 	15 , 	135 , 	19 , 	16 , 	41 , 	42 , 	-   , 	-   , 	5 , 	12 ," 	3,801 ",,,,,,,,,,,
LM, 	28 , 	31 , 	22 , 	28 , 	77 , 	39 , 	41 , 	30 , 	18 , 	15 , 	104 , 	218 , 	100 , 	106 , 	37 , 	31 , 	33 , 	32 , 	7 , 	3 , 	4 , 	2 , 	9 , 	17 , 	11 , 	80 , 	76 , 	150 , 	93 , 	46 , 	32 , 	10 , 	14 , 	13 , 	5 , 	37 , 	50 , 	1 , 	5 , 	1 , 	4 , 	20 , 	1 , 	25 , 	26 , 	44 , 	-   , 	-   , 	1 , 	5 ," 	1,784 ",,,,,,,,,,,
FV, 	44 , 	50 , 	27 , 	32 , 	106 , 	52 , 	63 , 	88 , 	67 , 	99 , 	16 , 	291 , 	84 , 	104 , 	57 , 	28 , 	28 , 	34 , 	13 , 	7 , 	9 , 	5 , 	9 , 	20 , 	26 , 	169 , 	110 , 	283 , 	186 , 	85 , 	74 , 	17 , 	25 , 	21 , 	5 , 	21 , 	43 , 	3 , 	9 , 	5 , 	9 , 	34 , 	5 , 	28 , 	14 , 	30 , 	-   , 	-   , 	4 , 	4 ," 	2,542 ",,,,,,,,,,,
CL, 	76 , 	209 , 	102 , 	97 , 	114 , 	82 , 	164 , 	112 , 	194 , 	184 , 	252 , 	72 , 	348 , 	272 , 	212 , 	135 , 	193 , 	280 , 	72 , 	58 , 	61 , 	46 , 	207 , 	92 , 	51 , 	231 , 	138 , 	291 , 	176 , 	61 , 	84 , 	54 , 	45 , 	134 , 	14 , 	176 , 	691 , 	34 , 	54 , 	21 , 	30 , 	45 , 	60 , 	261 , 	138 , 	371 , 	-   , 	-   , 	8 , 	49 ," 	6,852 ",,,,,,,,,,,
