Muni Fast Pass Adult/Clipper OD,,,,,,Jul 11,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,43,24,91,118,423,773,637,887,"2,995"
MT,31,40,57,104,481,965,842,"1,601","4,121"
PL,151,80,46,75,425,690,480,"1,250","3,196"
CC,96,97,83,30,238,420,346,779,"2,088"
16,358,388,524,268,18,128,142,363,"2,188"
24,602,713,841,424,128,23,116,300,"3,147"
GP,552,621,615,306,142,127,17,70,"2,450"
BP,759,922,"1,701",700,332,306,60,37,"4,815"
Entries,"2,592","2,886","3,957","2,024","2,186","3,431","2,639","5,286","25,002"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,6,40,25,146,198,105,250,793
MT,5,11,18,16,142,220,192,685,"1,289"
PL,46,11,46,28,370,549,369,990,"2,409"
CC,20,12,39,23,146,221,127,273,861
16,122,84,418,162,19,100,102,226,"1,234"
24,151,134,616,226,89,25,90,196,"1,528"
GP,98,106,457,109,88,87,12,35,992
BP,190,246,"1,299",239,195,162,33,23,"2,388"
Entries,654,612,"2,932",829,"1,196","1,562","1,030","2,678","11,493"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,3,20,18,89,131,73,151,500
MT,3,10,10,13,83,152,117,430,817
PL,21,6,48,22,248,394,249,683,"1,671"
CC,15,8,24,27,132,158,97,230,692
16,90,48,316,129,23,62,68,160,897
24,130,82,468,178,59,27,70,144,"1,157"
GP,72,74,363,88,68,62,15,25,766
BP,153,145,996,185,141,118,23,22,"1,784"
Entries,500,376,"2,245",660,843,"1,105",712,"1,844","8,285"
