Exit stations,Entry stations->,,SATURDAY,,,Jul 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CN, 	21 , 	27 , 	12 , 	15 , 	60 , 	20 , 	52 , 	39 , 	67 , 	8 , 	39 , 	90 , 	18 , 	17 , 	16 , 	7 , 	10 , 	20 , 	11 , 	65 , 	188 , 	60 , 	26 , 	48 , 	9 , 	203 , 	113 , 	295 , 	104 , 	42 , 	44 , 	24 , 	26 , 	33 , 	10 , 	4 , 	11 , 	38 , 	219 , 	10 , 	14 , 	69 , 	16 , 	4 ," 	2,223 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	10 , 	15 , 	7 , 	13 , 	61 , 	10 , 	37 , 	32 , 	38 , 	6 , 	13 , 	98 , 	8 , 	5 , 	6 , 	3 , 	8 , 	16 , 	60 , 	15 , 	90 , 	27 , 	13 , 	58 , 	5 , 	307 , 	151 , 	326 , 	113 , 	43 , 	30 , 	16 , 	13 , 	25 , 	4 , 	3 , 	9 , 	6 , 	66 , 	6 , 	5 , 	86 , 	11 , 	2 ," 	1,881 ",,,Dtwn SF," 	2,259 ",,,,,,,
WC, 	14 , 	22 , 	14 , 	20 , 	82 , 	17 , 	48 , 	40 , 	65 , 	11 , 	31 , 	130 , 	13 , 	9 , 	10 , 	9 , 	6 , 	12 , 	236 , 	99 , 	19 , 	45 , 	27 , 	75 , 	10 , 	387 , 	200 , 	417 , 	192 , 	53 , 	43 , 	21 , 	23 , 	28 , 	8 , 	2 , 	8 , 	23 , 	103 , 	7 , 	8 , 	101 , 	22 , 	3 ," 	2,711 ",,,OAK," 	14,150 ", 	805 ,,,,,,
LF, 	11 , 	13 , 	10 , 	14 , 	50 , 	12 , 	21 , 	23 , 	37 , 	3 , 	18 , 	70 , 	6 , 	3 , 	3 , 	3 , 	5 , 	10 , 	79 , 	27 , 	43 , 	6 , 	10 , 	56 , 	4 , 	251 , 	151 , 	272 , 	133 , 	34 , 	27 , 	12 , 	10 , 	12 , 	4 , 	1 , 	4 , 	9 , 	24 , 	2 , 	5 , 	81 , 	9 , 	1 ," 	1,584 ",,,CM line," 	30,612 "," 	3,960 "," 	5,349 ",,,,,
OR, 	5 , 	8 , 	5 , 	11 , 	33 , 	7 , 	18 , 	11 , 	34 , 	9 , 	22 , 	46 , 	2 , 	3 , 	1 , 	3 , 	2 , 	7 , 	28 , 	15 , 	29 , 	10 , 	6 , 	53 , 	3 , 	183 , 	114 , 	199 , 	94 , 	32 , 	27 , 	9 , 	8 , 	7 , 	4 , 	1 , 	2 , 	3 , 	10 , 	2 , 	4 , 	42 , 	6 , 	0 ," 	1,119 ",,,RM line," 	15,089 "," 	4,610 "," 	3,922 "," 	3,794 ",,,,
RR, 	12 , 	24 , 	25 , 	20 , 	60 , 	22 , 	52 , 	54 , 	67 , 	19 , 	34 , 	92 , 	12 , 	16 , 	11 , 	7 , 	7 , 	19 , 	40 , 	52 , 	89 , 	46 , 	55 , 	16 , 	14 , 	363 , 	279 , 	581 , 	283 , 	153 , 	108 , 	29 , 	16 , 	10 , 	4 , 	5 , 	10 , 	11 , 	29 , 	3 , 	5 , 	89 , 	21 , 	2 ," 	2,865 ",,,WP line," 	13,793 "," 	2,215 "," 	2,545 "," 	1,882 "," 	2,974 ",,,
OW, 	15 , 	32 , 	7 , 	14 , 	47 , 	36 , 	46 , 	36 , 	64 , 	15 , 	88 , 	86 , 	23 , 	33 , 	19 , 	8 , 	10 , 	11 , 	7 , 	4 , 	8 , 	4 , 	5 , 	13 , 	7 , 	385 , 	293 , 	773 , 	259 , 	154 , 	116 , 	27 , 	35 , 	19 , 	5 , 	11 , 	17 , 	1 , 	27 , 	6 , 	10 , 	31 , 	11 , 	5 ," 	2,825 ",,,FT/ED line," 	18,499 "," 	5,622 "," 	3,728 "," 	5,425 "," 	3,043 "," 	9,421 ",,
EM, 	119 , 	312 , 	198 , 	335 , 	881 , 	258 , 	456 , 	278 , 	368 , 	221 , 	329 , 	323 , 	201 , 	187 , 	120 , 	89 , 	181 , 	388 , 	236 , 	355 , 	471 , 	284 , 	239 , 	469 , 	441 , 	65 , 	48 , 	390 , 	182 , 	502 , 	650 , 	315 , 	473 , 	304 , 	109 , 	162 , 	877 , 	102 , 	243 , 	98 , 	128 , 	457 , 	292 , 	185 ," 	13,323 ",,,SFIA," 	10,172 ", 	829 ," 	4,169 "," 	1,352 "," 	1,505 "," 	1,116 ", 	898 ," 	173,739 "
MT, 	88 , 	215 , 	151 , 	223 , 	487 , 	156 , 	331 , 	241 , 	293 , 	211 , 	236 , 	189 , 	144 , 	142 , 	86 , 	54 , 	98 , 	198 , 	123 , 	159 , 	221 , 	136 , 	110 , 	310 , 	360 , 	36 , 	30 , 	68 , 	92 , 	451 , 	605 , 	407 ," 	1,065 ", 	332 , 	125 , 	80 , 	259 , 	54 , 	119 , 	80 , 	78 , 	365 , 	165 , 	71 ," 	9,443 ",,,,,,,,,,,
PL, 	214 , 	549 , 	285 , 	370 ," 	1,268 ", 	334 , 	610 , 	423 , 	529 , 	410 , 	544 , 	484 , 	327 , 	307 , 	190 , 	144 , 	230 , 	516 , 	280 , 	327 , 	427 , 	251 , 	182 , 	519 , 	779 , 	395 , 	65 , 	117 , 	239 ," 	1,449 "," 	1,870 "," 	1,007 "," 	1,827 "," 	1,051 ", 	364 , 	180 , 	772 , 	114 , 	311 , 	272 , 	285 ," 	1,649 ", 	689 , 	142 ," 	23,298 ",,,,,,,,,,,
CC, 	97 , 	169 , 	106 , 	169 , 	439 , 	201 , 	329 , 	233 , 	232 , 	193 , 	259 , 	193 , 	91 , 	102 , 	66 , 	49 , 	57 , 	143 , 	85 , 	111 , 	158 , 	105 , 	85 , 	239 , 	270 , 	145 , 	81 , 	254 , 	52 , 	541 , 	737 , 	320 , 	571 , 	309 , 	149 , 	68 , 	226 , 	35 , 	99 , 	96 , 	144 , 	459 , 	245 , 	56 ," 	8,770 ",,,,,,,,,,,
