Muni Fast Pass Adult/Translink OD,,,,,,May 10,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,48,29,116,134,473,861,717,"1,089","3,467"
MT,38,49,73,111,573,"1,084",947,"1,835","4,710"
PL,161,99,57,91,512,839,550,"1,599","3,908"
CC,97,92,104,38,314,534,407,"1,025","2,610"
16,418,445,625,355,19,167,192,497,"2,718"
24,658,797,"1,008",552,165,34,149,486,"3,848"
GP,616,690,699,365,178,149,18,116,"2,830"
BP,917,"1,024","2,235",960,465,506,119,34,"6,260"
Entries,"2,953","3,224","4,916","2,606","2,699","4,173","3,099","6,682","30,352"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,6,43,31,180,218,124,270,890
MT,5,14,18,24,178,245,208,742,"1,433"
PL,47,16,57,43,430,642,400,"1,072","2,706"
CC,26,14,48,26,222,288,142,330,"1,097"
16,150,111,484,235,25,115,132,258,"1,510"
24,184,140,731,296,119,26,109,282,"1,887"
GP,105,109,521,137,116,101,18,52,"1,159"
BP,226,250,"1,523",314,236,252,54,22,"2,877"
Entries,761,660,"3,425","1,106","1,506","1,886","1,186","3,029","13,560"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,3,22,24,118,152,91,186,620
MT,4,12,10,18,108,167,131,482,932
PL,24,7,58,34,301,445,274,724,"1,867"
CC,17,10,29,35,169,228,113,275,876
16,102,62,380,182,27,79,94,191,"1,117"
24,123,107,559,243,80,33,89,203,"1,438"
GP,77,74,389,107,88,85,16,25,861
BP,172,154,"1,175",247,184,189,29,23,"2,172"
Entries,544,430,"2,621",890,"1,075","1,378",837,"2,109","9,882"
