Exit stations,Entry stations->,,SUNDAY,,,Sep 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	4 , 	12 , 	14 , 	9 , 	32 , 	14 , 	13 , 	9 , 	11 , 	12 , 	16 , 	9 , 	4 , 	4 , 	2 , 	1 , 	1 , 	2 , 	4 , 	1 , 	3 , 	1 , 	0 , 	3 , 	5 , 	20 , 	15 , 	46 , 	22 , 	30 , 	24 , 	5 , 	9 , 	8 , 	2 , 	2 , 	1 , 	-   , 	3 , 	3 , 	4 , 	8 , 	1 , 	1 , 	2 , 	1 , 	2 , 	3 , 	1 , 	3 , 	396 ,,,,,,,,,,,
EN, 	12 , 	4 , 	8 , 	7 , 	41 , 	14 , 	13 , 	12 , 	18 , 	8 , 	19 , 	8 , 	9 , 	8 , 	2 , 	1 , 	2 , 	3 , 	4 , 	3 , 	7 , 	1 , 	1 , 	2 , 	6 , 	29 , 	25 , 	68 , 	28 , 	25 , 	19 , 	8 , 	8 , 	7 , 	6 , 	1 , 	2 , 	0 , 	4 , 	1 , 	4 , 	13 , 	2 , 	0 , 	8 , 	1 , 	4 , 	2 , 	-   , 	2 , 	475 ,,,,,,,,,,,
EP, 	13 , 	8 , 	2 , 	7 , 	29 , 	10 , 	8 , 	8 , 	10 , 	8 , 	8 , 	3 , 	4 , 	3 , 	1 , 	2 , 	1 , 	2 , 	4 , 	1 , 	4 , 	1 , 	1 , 	2 , 	2 , 	16 , 	11 , 	24 , 	9 , 	6 , 	3 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	-   , 	1 , 	1 , 	1 , 	8 , 	0 , 	0 , 	2 , 	0 , 	1 , 	2 , 	1 , 	-   , 	228 ,,,,,,,,,,,
NB, 	8 , 	8 , 	9 , 	3 , 	6 , 	4 , 	6 , 	4 , 	3 , 	3 , 	6 , 	1 , 	3 , 	1 , 	-   , 	0 , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	1 , 	10 , 	6 , 	9 , 	10 , 	6 , 	6 , 	2 , 	1 , 	2 , 	0 , 	1 , 	1 , 	-   , 	1 , 	0 , 	-   , 	3 , 	0 , 	0 , 	2 , 	2 , 	1 , 	2 , 	0 , 	-   , 	134 ,,,,,,,,,,,
BK, 	36 , 	38 , 	32 , 	5 , 	6 , 	14 , 	18 , 	18 , 	19 , 	13 , 	19 , 	12 , 	6 , 	12 , 	4 , 	1 , 	4 , 	2 , 	3 , 	2 , 	4 , 	1 , 	0 , 	1 , 	8 , 	30 , 	19 , 	36 , 	30 , 	19 , 	12 , 	4 , 	5 , 	7 , 	2 , 	1 , 	3 , 	-   , 	3 , 	3 , 	1 , 	9 , 	2 , 	2 , 	6 , 	2 , 	3 , 	7 , 	1 , 	1 , 	479 ,,,,,,,,,,,
AS, 	14 , 	17 , 	11 , 	3 , 	12 , 	1 , 	8 , 	8 , 	8 , 	4 , 	13 , 	8 , 	5 , 	4 , 	0 , 	1 , 	3 , 	1 , 	2 , 	-   , 	1 , 	1 , 	1 , 	0 , 	3 , 	10 , 	7 , 	20 , 	13 , 	13 , 	4 , 	2 , 	4 , 	2 , 	1 , 	0 , 	2 , 	-   , 	1 , 	-   , 	1 , 	6 , 	2 , 	-   , 	2 , 	2 , 	1 , 	4 , 	0 , 	3 , 	224 ,,,,,,,,,,,
MA, 	16 , 	12 , 	7 , 	9 , 	16 , 	8 , 	4 , 	12 , 	10 , 	6 , 	24 , 	13 , 	10 , 	9 , 	2 , 	3 , 	4 , 	1 , 	10 , 	6 , 	10 , 	1 , 	1 , 	4 , 	6 , 	32 , 	20 , 	40 , 	29 , 	24 , 	17 , 	6 , 	7 , 	6 , 	4 , 	-   , 	3 , 	1 , 	7 , 	1 , 	1 , 	14 , 	1 , 	1 , 	3 , 	0 , 	2 , 	3 , 	4 , 	6 , 	428 ,,,,,,,,,,,
19, 	9 , 	11 , 	6 , 	5 , 	12 , 	7 , 	9 , 	5 , 	3 , 	1 , 	13 , 	12 , 	10 , 	13 , 	2 , 	2 , 	1 , 	4 , 	5 , 	5 , 	3 , 	2 , 	3 , 	4 , 	4 , 	31 , 	18 , 	43 , 	34 , 	22 , 	16 , 	3 , 	8 , 	7 , 	1 , 	1 , 	2 , 	2 , 	3 , 	1 , 	2 , 	10 , 	3 , 	-   , 	2 , 	-   , 	1 , 	3 , 	3 , 	4 , 	363 ,,,,,,,,,,,
12, 	9 , 	10 , 	8 , 	6 , 	16 , 	9 , 	8 , 	2 , 	8 , 	3 , 	13 , 	11 , 	11 , 	13 , 	2 , 	1 , 	3 , 	5 , 	7 , 	4 , 	5 , 	1 , 	2 , 	3 , 	7 , 	39 , 	25 , 	63 , 	33 , 	22 , 	15 , 	5 , 	11 , 	7 , 	4 , 	0 , 	1 , 	1 , 	5 , 	1 , 	4 , 	12 , 	3 , 	1 , 	2 , 	1 , 	1 , 	4 , 	2 , 	3 , 	423 ,,,,,,,,,,,
LM, 	9 , 	10 , 	8 , 	2 , 	13 , 	8 , 	8 , 	3 , 	5 , 	2 , 	34 , 	21 , 	21 , 	27 , 	4 , 	6 , 	6 , 	3 , 	3 , 	0 , 	1 , 	-   , 	1 , 	4 , 	6 , 	25 , 	25 , 	50 , 	36 , 	21 , 	20 , 	4 , 	5 , 	4 , 	1 , 	7 , 	11 , 	0 , 	3 , 	2 , 	1 , 	5 , 	1 , 	6 , 	6 , 	4 , 	3 , 	6 , 	1 , 	3 , 	448 ,,,,,,,,,,,
