Exit stations,Entry stations->,,SATURDAY,,,Sep 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	3 , 	19 , 	20 , 	15 , 	46 , 	16 , 	20 , 	12 , 	17 , 	7 , 	26 , 	17 , 	8 , 	8 , 	2 , 	2 , 	2 , 	2 , 	4 , 	2 , 	3 , 	1 , 	1 , 	4 , 	6 , 	37 , 	33 , 	78 , 	35 , 	37 , 	46 , 	10 , 	12 , 	13 , 	2 , 	1 , 	3 , 	-   , 	3 , 	2 , 	7 , 	6 , 	2 , 	2 , 	2 , 	2 , 	2 , 	3 , 	3 , 	2 , 	597 ,,,,,,,,,,
EN, 	18 , 	4 , 	15 , 	11 , 	72 , 	24 , 	30 , 	14 , 	22 , 	7 , 	23 , 	16 , 	10 , 	11 , 	6 , 	4 , 	5 , 	4 , 	5 , 	3 , 	7 , 	1 , 	1 , 	4 , 	12 , 	58 , 	46 , 	125 , 	43 , 	35 , 	38 , 	9 , 	18 , 	8 , 	7 , 	0 , 	3 , 	1 , 	4 , 	1 , 	4 , 	12 , 	3 , 	1 , 	5 , 	2 , 	2 , 	5 , 	2 , 	2 , 	760 ,,,,,,,,,,
EP, 	23 , 	13 , 	3 , 	12 , 	53 , 	15 , 	9 , 	10 , 	12 , 	5 , 	14 , 	5 , 	5 , 	4 , 	1 , 	3 , 	2 , 	1 , 	6 , 	3 , 	3 , 	2 , 	1 , 	2 , 	2 , 	22 , 	23 , 	35 , 	12 , 	14 , 	10 , 	2 , 	2 , 	5 , 	2 , 	3 , 	2 , 	-   , 	1 , 	1 , 	1 , 	5 , 	2 , 	1 , 	2 , 	0 , 	2 , 	3 , 	1 , 	1 , 	356 ,,,,,,,,,,
NB, 	13 , 	13 , 	12 , 	2 , 	6 , 	8 , 	10 , 	9 , 	6 , 	5 , 	11 , 	4 , 	5 , 	3 , 	1 , 	0 , 	1 , 	1 , 	2 , 	2 , 	2 , 	0 , 	1 , 	1 , 	2 , 	20 , 	9 , 	14 , 	15 , 	10 , 	9 , 	3 , 	2 , 	4 , 	1 , 	1 , 	2 , 	0 , 	1 , 	1 , 	0 , 	2 , 	1 , 	-   , 	2 , 	1 , 	1 , 	2 , 	1 , 	1 , 	216 ,,,,,,,,,,
BK, 	57 , 	71 , 	57 , 	7 , 	7 , 	33 , 	33 , 	29 , 	36 , 	16 , 	36 , 	18 , 	9 , 	18 , 	6 , 	1 , 	8 , 	3 , 	6 , 	2 , 	7 , 	2 , 	2 , 	1 , 	8 , 	41 , 	30 , 	70 , 	44 , 	33 , 	15 , 	5 , 	13 , 	11 , 	2 , 	2 , 	5 , 	1 , 	4 , 	2 , 	1 , 	6 , 	4 , 	2 , 	3 , 	3 , 	4 , 	10 , 	1 , 	1 , 	780 ,,,,,,,,,,
AS, 	19 , 	29 , 	15 , 	6 , 	20 , 	3 , 	8 , 	14 , 	19 , 	7 , 	18 , 	12 , 	8 , 	8 , 	2 , 	2 , 	4 , 	1 , 	2 , 	3 , 	1 , 	0 , 	1 , 	1 , 	7 , 	25 , 	17 , 	30 , 	21 , 	18 , 	10 , 	4 , 	6 , 	3 , 	1 , 	1 , 	1 , 	0 , 	1 , 	1 , 	1 , 	5 , 	1 , 	0 , 	1 , 	1 , 	1 , 	3 , 	0 , 	2 , 	361 ,,,,,,,,,,
MA, 	27 , 	26 , 	12 , 	9 , 	19 , 	13 , 	8 , 	17 , 	17 , 	7 , 	30 , 	17 , 	13 , 	17 , 	5 , 	3 , 	2 , 	5 , 	14 , 	10 , 	12 , 	2 , 	1 , 	7 , 	9 , 	44 , 	27 , 	60 , 	45 , 	38 , 	26 , 	12 , 	10 , 	7 , 	5 , 	1 , 	3 , 	3 , 	14 , 	2 , 	3 , 	6 , 	2 , 	1 , 	2 , 	0 , 	2 , 	3 , 	6 , 	9 , 	627 ,,,,,,,,,,
19, 	15 , 	23 , 	9 , 	7 , 	24 , 	15 , 	13 , 	3 , 	5 , 	1 , 	22 , 	17 , 	16 , 	20 , 	5 , 	3 , 	2 , 	4 , 	7 , 	4 , 	9 , 	2 , 	4 , 	6 , 	7 , 	48 , 	33 , 	60 , 	43 , 	34 , 	20 , 	6 , 	7 , 	7 , 	1 , 	2 , 	3 , 	4 , 	5 , 	1 , 	2 , 	6 , 	1 , 	1 , 	2 , 	2 , 	1 , 	3 , 	3 , 	8 , 	537 ,,,,,,,,,,
12, 	17 , 	21 , 	14 , 	7 , 	33 , 	16 , 	15 , 	4 , 	8 , 	2 , 	23 , 	15 , 	18 , 	23 , 	4 , 	6 , 	6 , 	7 , 	13 , 	5 , 	7 , 	4 , 	5 , 	7 , 	13 , 	57 , 	43 , 	85 , 	53 , 	38 , 	20 , 	10 , 	13 , 	7 , 	6 , 	2 , 	1 , 	1 , 	5 , 	1 , 	6 , 	10 , 	6 , 	-   , 	1 , 	1 , 	2 , 	4 , 	2 , 	4 , 	664 ,,,,,,,,,,
LM, 	5 , 	9 , 	6 , 	7 , 	10 , 	6 , 	9 , 	2 , 	2 , 	7 , 	30 , 	23 , 	35 , 	35 , 	9 , 	4 , 	6 , 	6 , 	2 , 	2 , 	2 , 	1 , 	1 , 	6 , 	7 , 	42 , 	35 , 	74 , 	48 , 	25 , 	16 , 	6 , 	11 , 	8 , 	0 , 	8 , 	16 , 	-   , 	1 , 	-   , 	2 , 	3 , 	3 , 	11 , 	1 , 	5 , 	4 , 	8 , 	0 , 	1 , 	554 ,,,,,,,,,,
