Fast Pass Adjusted OD,,,,,,Feb 03,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,51,35,128,133,483,890,779,"1,120","3,618"
MT,36,48,76,111,782,"1,324","1,191","2,291","5,858"
PL,166,102,84,91,705,"1,096",723,"1,899","4,865"
CC,111,117,118,61,462,707,525,"1,392","3,491"
16,410,586,828,418,29,200,191,603,"3,264"
24,717,971,"1,222",734,202,40,168,607,"4,661"
GP,698,906,896,467,184,167,24,137,"3,478"
BP,965,"1,333","2,610","1,397",576,661,125,51,"7,719"
Entries,"3,154","4,097","5,961","3,412","3,422","5,084","3,724","8,100","36,955"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,7,35,28,172,198,96,196,748
MT,7,24,29,29,270,327,312,893,"1,890"
PL,37,23,76,48,514,807,447,986,"2,939"
CC,23,25,60,40,262,357,175,413,"1,355"
16,118,166,584,291,24,118,92,252,"1,645"
24,154,223,823,381,121,29,94,244,"2,068"
GP,81,158,590,157,85,91,16,47,"1,226"
BP,160,297,"1,593",414,239,262,61,39,"3,065"
Entries,597,925,"3,789","1,387","1,688","2,187","1,292","3,071","14,936"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,2,23,20,114,153,71,120,520
MT,4,14,22,29,217,239,234,619,"1,377"
PL,29,14,71,40,394,583,311,665,"2,108"
CC,39,25,90,67,357,508,206,493,"1,786"
16,88,113,475,232,36,89,58,159,"1,251"
24,128,148,688,390,94,35,70,168,"1,721"
GP,61,96,511,176,59,52,23,32,"1,011"
BP,110,172,"1,276",293,160,170,32,33,"2,244"
Entries,476,583,"3,155","1,248","1,432","1,830","1,005","2,290","12,019"
