Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Feb 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	35 , 	43 , 	9 , 	9 , 	39 , 	15 , 	28 , 	19 , 	45 , 	45 , 	96 , 	69 , 	9 , 	92 , 	63 , 	30 , 	28 , 	33 , 	10 , 	5 , 	9 , 	3 , 	2 , 	8 , 	6 , 	83 , 	78 , 	220 , 	156 , 	27 , 	38 , 	13 , 	15 , 	14 , 	11 , 	19 , 	37 , 	2 , 	13 ," 	1,474 ",,,WP line," 	4,883 ", 	606 , 	954 , 	477 ," 	2,025 ", 	699 ," 	9,644 "
BF, 	16 , 	21 , 	8 , 	8 , 	43 , 	26 , 	37 , 	34 , 	88 , 	74 , 	204 , 	121 , 	97 , 	10 , 	94 , 	88 , 	60 , 	75 , 	10 , 	4 , 	5 , 	1 , 	2 , 	7 , 	25 , 	65 , 	56 , 	196 , 	79 , 	18 , 	25 , 	8 , 	15 , 	20 , 	12 , 	39 , 	90 , 	2 , 	10 ," 	1,794 ",,,FT/ED line," 	5,806 "," 	1,668 "," 	1,291 "," 	1,729 ", 	563 ," 	5,610 "," 	16,667 "
HY, 	13 , 	21 , 	6 , 	15 , 	46 , 	13 , 	32 , 	31 , 	50 , 	30 , 	106 , 	85 , 	68 , 	96 , 	9 , 	55 , 	62 , 	108 , 	9 , 	4 , 	7 , 	2 , 	1 , 	5 , 	11 , 	42 , 	28 , 	108 , 	75 , 	22 , 	21 , 	6 , 	14 , 	13 , 	7 , 	12 , 	31 , 	2 , 	11 ," 	1,272 ",,,Entries," 	35,715 "," 	10,906 "," 	21,566 "," 	13,864 "," 	9,625 "," 	18,518 "," 	110,193 "
SH, 	6 , 	12 , 	5 , 	3 , 	20 , 	9 , 	11 , 	12 , 	22 , 	14 , 	36 , 	58 , 	33 , 	72 , 	61 , 	6 , 	33 , 	57 , 	6 , 	3 , 	4 , 	1 , 	1 , 	4 , 	4 , 	33 , 	25 , 	79 , 	37 , 	11 , 	15 , 	5 , 	5 , 	11 , 	8 , 	9 , 	19 , 	1 , 	7 , 	755 ,,,,,,,,,,
UC, 	9 , 	11 , 	6 , 	5 , 	46 , 	13 , 	15 , 	17 , 	48 , 	29 , 	40 , 	55 , 	31 , 	64 , 	63 , 	35 , 	12 , 	63 , 	6 , 	4 , 	3 , 	1 , 	1 , 	3 , 	6 , 	58 , 	53 , 	153 , 	95 , 	14 , 	14 , 	10 , 	13 , 	12 , 	9 , 	7 , 	17 , 	2 , 	11 ," 	1,048 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	23 , 	36 , 	22 , 	18 , 	113 , 	25 , 	27 , 	30 , 	72 , 	50 , 	58 , 	110 , 	38 , 	84 , 	112 , 	53 , 	68 , 	28 , 	14 , 	10 , 	10 , 	6 , 	1 , 	9 , 	8 , 	125 , 	115 , 	340 , 	210 , 	31 , 	25 , 	14 , 	17 , 	28 , 	13 , 	9 , 	26 , 	7 , 	20 ," 	2,005 ",,,Dtwn SF," 	1,646 ",,,,,,
CN, 	21 , 	21 , 	5 , 	8 , 	20 , 	8 , 	22 , 	17 , 	51 , 	5 , 	22 , 	43 , 	11 , 	12 , 	9 , 	6 , 	8 , 	17 , 	10 , 	53 , 	201 , 	52 , 	23 , 	27 , 	3 , 	69 , 	58 , 	169 , 	113 , 	26 , 	34 , 	19 , 	20 , 	27 , 	31 , 	3 , 	6 , 	17 , 	157 ," 	1,421 ",,,OAK," 	10,452 ", 	536 ,,,,,
PH, 	10 , 	5 , 	6 , 	11 , 	24 , 	6 , 	15 , 	10 , 	22 , 	5 , 	13 , 	47 , 	4 , 	3 , 	2 , 	3 , 	6 , 	11 , 	48 , 	8 , 	48 , 	17 , 	11 , 	34 , 	2 , 	93 , 	73 , 	217 , 	162 , 	18 , 	16 , 	8 , 	7 , 	17 , 	25 , 	1 , 	3 , 	7 , 	34 ," 	1,046 ",,,CM line," 	25,431 "," 	2,052 "," 	3,956 ",,,,
WC, 	5 , 	14 , 	8 , 	8 , 	42 , 	8 , 	20 , 	21 , 	41 , 	8 , 	13 , 	33 , 	9 , 	4 , 	6 , 	4 , 	4 , 	9 , 	242 , 	45 , 	6 , 	32 , 	12 , 	38 , 	5 , 	143 , 	103 , 	253 , 	236 , 	19 , 	21 , 	18 , 	11 , 	15 , 	20 , 	3 , 	5 , 	18 , 	50 ," 	1,545 ",,,RM line," 	12,300 "," 	3,044 "," 	2,435 "," 	2,784 ",,,
LF, 	4 , 	3 , 	5 , 	3 , 	19 , 	4 , 	11 , 	8 , 	30 , 	1 , 	9 , 	24 , 	2 , 	2 , 	1 , 	1 , 	1 , 	3 , 	60 , 	14 , 	31 , 	8 , 	6 , 	32 , 	1 , 	64 , 	60 , 	204 , 	201 , 	20 , 	10 , 	5 , 	4 , 	8 , 	10 , 	1 , 	2 , 	4 , 	7 , 	876 ,,,WP line," 	10,104 "," 	1,111 "," 	1,815 ", 	926 ," 	2,025 ",,
