Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Feb 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
CN, 	36 , 	57 , 	30 , 	14 , 	109 , 	21 , 	91 , 	232 , 	325 , 	29 , 	53 , 	58 , 	30 , 	29 , 	33 , 	16 , 	19 , 	24 , 	15 , 	154 , 	473 , 	129 , 	62 , 	110 , 	14 , 	672 , 	698 , 	373 , 	364 , 	59 , 	83 , 	41 , 	45 , 	96 , 	55 , 	6 , 	13 , 	71 , 	508 ," 	5,248 ",,,OAK," 	26,187 "," 	1,688 ",,,,,,
PH, 	29 , 	45 , 	29 , 	25 , 	166 , 	21 , 	87 , 	279 , 	407 , 	18 , 	36 , 	53 , 	22 , 	17 , 	27 , 	11 , 	22 , 	26 , 	177 , 	9 , 	135 , 	75 , 	36 , 	120 , 	10 ," 	1,260 "," 	1,206 ", 	468 , 	427 , 	49 , 	54 , 	57 , 	39 , 	122 , 	77 , 	2 , 	8 , 	48 , 	155 ," 	5,854 ",,,CM line," 	65,127 "," 	6,888 "," 	9,197 ",,,,,
WC, 	25 , 	46 , 	26 , 	22 , 	141 , 	27 , 	85 , 	218 , 	338 , 	20 , 	33 , 	56 , 	26 , 	21 , 	18 , 	20 , 	14 , 	21 , 	566 , 	126 , 	10 , 	76 , 	48 , 	142 , 	18 , 	997 , 	908 , 	412 , 	322 , 	54 , 	58 , 	50 , 	35 , 	82 , 	46 , 	4 , 	7 , 	76 , 	213 ," 	5,410 ",,,RM line," 	21,535 "," 	11,468 "," 	5,787 "," 	7,560 ",,,,
LF, 	14 , 	10 , 	9 , 	8 , 	72 , 	8 , 	24 , 	112 , 	184 , 	9 , 	22 , 	23 , 	6 , 	3 , 	5 , 	1 , 	10 , 	6 , 	143 , 	82 , 	91 , 	5 , 	19 , 	71 , 	3 , 	750 , 	656 , 	225 , 	198 , 	21 , 	28 , 	17 , 	7 , 	36 , 	14 , 	1 , 	4 , 	18 , 	37 ," 	2,951 ",,,WP line," 	34,049 "," 	8,259 "," 	4,569 "," 	2,950 "," 	6,342 ",,,
OR, 	8 , 	9 , 	8 , 	11 , 	55 , 	12 , 	32 , 	78 , 	158 , 	14 , 	30 , 	22 , 	10 , 	4 , 	5 , 	2 , 	5 , 	8 , 	69 , 	45 , 	45 , 	17 , 	3 , 	68 , 	3 , 	640 , 	592 , 	202 , 	172 , 	21 , 	21 , 	15 , 	15 , 	28 , 	16 , 	1 , 	1 , 	10 , 	25 ," 	2,483 ",,,FT/ED line," 	38,007 "," 	14,240 "," 	5,695 "," 	7,906 "," 	2,770 "," 	11,771 "," 	295,525 ",
RR, 	24 , 	28 , 	19 , 	26 , 	58 , 	11 , 	49 , 	119 , 	218 , 	44 , 	57 , 	51 , 	16 , 	14 , 	16 , 	9 , 	11 , 	23 , 	106 , 	120 , 	142 , 	68 , 	69 , 	6 , 	15 , 	871 , 	941 , 	504 , 	483 , 	101 , 	82 , 	37 , 	55 , 	79 , 	23 , 	5 , 	13 , 	22 , 	52 ," 	4,587 ",,,,,,,,,,,
OW, 	43 , 	37 , 	8 , 	13 , 	82 , 	39 , 	48 , 	51 , 	72 , 	22 , 	106 , 	76 , 	37 , 	38 , 	34 , 	22 , 	17 , 	17 , 	14 , 	9 , 	13 , 	4 , 	3 , 	9 , 	4 ," 	1,062 "," 	1,012 ", 	521 , 	378 , 	93 , 	80 , 	26 , 	44 , 	44 , 	15 , 	9 , 	26 , 	2 , 	27 ," 	4,156 ",,,,,,,,,,,
EM, 	223 , 	800 , 	407 , 	415 , 	770 , 	445 , 	730 , 	842 ," 	1,191 ", 	527 , 	581 , 	539 , 	619 , 	557 , 	407 , 	309 , 	584 , 	823 , 	802 ," 	1,619 "," 	1,167 ", 	739 , 	615 , 	793 ," 	1,132 ", 	86 , 	123 , 	327 , 	302 , 	760 ," 	1,357 "," 	1,135 "," 	1,474 "," 	1,167 "," 	1,246 ", 	433 ," 	1,230 ", 	360 , 	704 ," 	28,341 ",,,,,,,,,,,
MT, 	250 , 	786 , 	466 , 	400 , 	666 , 	485 , 	730 , 	648 , 	919 , 	485 , 	660 , 	470 , 	628 , 	548 , 	354 , 	289 , 	468 , 	779 , 	695 ," 	1,282 ", 	874 , 	536 , 	524 , 	792 ," 	1,064 ", 	137 , 	84 , 	195 , 	289 ," 	1,201 "," 	2,007 "," 	1,726 "," 	3,025 "," 	1,538 "," 	1,461 ", 	405 , 	957 , 	310 , 	563 ," 	29,694 ",,,,,,,,,,,
PL, 	236 , 	589 , 	267 , 	274 , 	784 , 	290 , 	524 , 	489 , 	872 , 	394 , 	553 , 	541 , 	340 , 	336 , 	239 , 	190 , 	257 , 	398 , 	343 , 	473 , 	369 , 	201 , 	181 , 	428 , 	505 , 	448 , 	262 , 	120 , 	276 ," 	1,265 "," 	1,910 "," 	1,215 "," 	2,709 "," 	1,052 ", 	847 , 	160 , 	519 , 	149 , 	329 ," 	21,335 ",,,,,,,,,,,
