Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Feb 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	69 , 	65 , 	14 , 	15 , 	79 , 	20 , 	39 , 	48 , 	77 , 	63 , 	149 , 	96 , 	7 , 	111 , 	81 , 	34 , 	37 , 	53 , 	13 , 	7 , 	9 , 	8 , 	4 , 	5 , 	8 , 	124 , 	160 , 	340 , 	110 , 	33 , 	49 , 	17 , 	22 , 	17 , 	14 , 	24 , 	45 , 	4 , 	14 ," 	2,079 ",,,WP line," 	5,219 ", 	926 ," 	1,112 ", 	772 ," 	3,068 ", 	849 ," 	11,945 "
BF, 	20 , 	31 , 	11 , 	13 , 	75 , 	32 , 	58 , 	65 , 	124 , 	113 , 	221 , 	174 , 	115 , 	10 , 	136 , 	97 , 	80 , 	111 , 	11 , 	6 , 	7 , 	3 , 	4 , 	7 , 	23 , 	86 , 	120 , 	285 , 	73 , 	31 , 	30 , 	14 , 	16 , 	23 , 	13 , 	46 , 	121 , 	4 , 	16 ," 	2,420 ",,,FT/ED line," 	7,375 "," 	2,296 "," 	1,577 "," 	2,396 ", 	765 ," 	7,424 "," 	21,834 "
HY, 	26 , 	37 , 	9 , 	24 , 	74 , 	19 , 	48 , 	47 , 	85 , 	39 , 	162 , 	124 , 	102 , 	149 , 	10 , 	93 , 	119 , 	143 , 	12 , 	9 , 	8 , 	4 , 	1 , 	9 , 	17 , 	58 , 	75 , 	187 , 	74 , 	24 , 	31 , 	12 , 	18 , 	18 , 	16 , 	14 , 	47 , 	3 , 	19 ," 	1,963 ",,,Entries," 	40,802 "," 	13,364 "," 	26,440 "," 	17,434 "," 	11,971 "," 	23,251 "," 	133,262 "
SH, 	13 , 	17 , 	5 , 	4 , 	36 , 	9 , 	14 , 	25 , 	37 , 	21 , 	51 , 	57 , 	44 , 	101 , 	94 , 	9 , 	47 , 	70 , 	10 , 	3 , 	5 , 	1 , 	1 , 	6 , 	11 , 	40 , 	58 , 	117 , 	43 , 	13 , 	21 , 	7 , 	9 , 	19 , 	7 , 	7 , 	19 , 	1 , 	10 ," 	1,061 ",,,,,,,,,,
UC, 	12 , 	20 , 	10 , 	17 , 	71 , 	19 , 	23 , 	28 , 	72 , 	36 , 	62 , 	74 , 	45 , 	79 , 	117 , 	53 , 	10 , 	101 , 	7 , 	6 , 	6 , 	2 , 	1 , 	7 , 	8 , 	81 , 	117 , 	238 , 	52 , 	9 , 	16 , 	9 , 	20 , 	19 , 	11 , 	9 , 	21 , 	2 , 	11 ," 	1,498 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	17 , 	41 , 	24 , 	19 , 	210 , 	27 , 	37 , 	41 , 	113 , 	51 , 	60 , 	106 , 	56 , 	122 , 	150 , 	70 , 	97 , 	24 , 	21 , 	16 , 	10 , 	6 , 	6 , 	18 , 	8 , 	186 , 	247 , 	501 , 	127 , 	31 , 	36 , 	21 , 	16 , 	28 , 	19 , 	10 , 	36 , 	4 , 	17 ," 	2,622 ",,,Dtwn SF," 	1,577 ",,,,,,
CN, 	24 , 	25 , 	11 , 	8 , 	48 , 	11 , 	36 , 	42 , 	75 , 	4 , 	29 , 	48 , 	10 , 	15 , 	13 , 	13 , 	8 , 	20 , 	14 , 	72 , 	293 , 	77 , 	28 , 	35 , 	6 , 	106 , 	105 , 	232 , 	95 , 	29 , 	53 , 	22 , 	24 , 	28 , 	26 , 	5 , 	10 , 	34 , 	225 ," 	1,955 ",,,OAK," 	11,342 ", 	727 ,,,,,
PH, 	9 , 	9 , 	6 , 	10 , 	53 , 	8 , 	19 , 	18 , 	57 , 	5 , 	20 , 	30 , 	6 , 	5 , 	5 , 	5 , 	5 , 	11 , 	82 , 	6 , 	78 , 	29 , 	10 , 	46 , 	4 , 	128 , 	172 , 	324 , 	84 , 	19 , 	27 , 	13 , 	15 , 	22 , 	22 , 	3 , 	8 , 	17 , 	52 ," 	1,442 ",,,CM line," 	30,525 "," 	2,646 "," 	5,293 ",,,,
WC, 	13 , 	22 , 	18 , 	13 , 	86 , 	14 , 	30 , 	30 , 	74 , 	8 , 	20 , 	34 , 	8 , 	9 , 	8 , 	6 , 	4 , 	12 , 	363 , 	90 , 	9 , 	50 , 	19 , 	66 , 	8 , 	165 , 	201 , 	406 , 	160 , 	19 , 	30 , 	13 , 	13 , 	24 , 	30 , 	4 , 	4 , 	37 , 	91 ," 	2,206 ",,,RM line," 	12,137 "," 	4,604 "," 	3,312 "," 	4,204 ",,,
LF, 	6 , 	5 , 	7 , 	5 , 	34 , 	5 , 	14 , 	14 , 	48 , 	3 , 	15 , 	17 , 	4 , 	4 , 	3 , 	1 , 	2 , 	4 , 	95 , 	34 , 	51 , 	5 , 	10 , 	35 , 	1 , 	92 , 	117 , 	228 , 	78 , 	15 , 	14 , 	9 , 	2 , 	10 , 	13 , 	2 , 	1 , 	8 , 	19 ," 	1,029 ",,,WP line," 	10,662 "," 	1,789 "," 	2,221 "," 	1,494 "," 	3,068 ",,
OR, 	5 , 	4 , 	6 , 	7 , 	36 , 	4 , 	10 , 	12 , 	33 , 	5 , 	18 , 	19 , 	5 , 	2 , 	2 , 	1 , 	1 , 	5 , 	27 , 	13 , 	17 , 	10 , 	4 , 	39 , 	1 , 	84 , 	129 , 	183 , 	76 , 	18 , 	11 , 	7 , 	9 , 	8 , 	11 , 	-   , 	2 , 	3 , 	6 , 	831 ,,,FT/ED line," 	16,173 "," 	4,693 "," 	3,223 "," 	4,533 "," 	1,614 "," 	7,424 "," 	133,262 "
