Fast Pass OD,,,,,,Jul 08,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,74,55,213,233,673,"1,072",842,"1,388","4,550"
MT,56,60,125,244,872,"1,496","1,221","2,567","6,640"
PL,310,183,99,178,831,"1,189",826,"2,061","5,676"
CC,199,210,200,61,578,726,582,"1,452","4,008"
16,587,703,"1,044",600,27,227,253,637,"4,080"
24,863,"1,133","1,426",737,243,35,172,525,"5,135"
GP,768,924,"1,053",508,243,196,27,145,"3,864"
BP,"1,230","1,409","3,058","1,277",645,562,144,52,"8,376"
Entries,"4,087","4,678","7,217","3,839","4,111","5,504","4,067","8,827","42,329"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,32,11,73,49,271,315,175,369,"1,295"
MT,13,22,32,40,310,360,337,"1,188","2,301"
PL,93,26,85,86,725,"1,043",645,"1,531","4,233"
CC,45,23,91,48,384,417,233,513,"1,752"
16,227,180,863,396,38,176,164,381,"2,423"
24,269,215,"1,083",455,165,43,139,358,"2,726"
GP,161,144,805,192,143,125,28,78,"1,674"
BP,323,347,"2,296",428,375,336,76,45,"4,224"
Entries,"1,160",966,"5,327","1,693","2,409","2,816","1,797","4,460","20,627"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,6,54,29,169,193,91,229,797
MT,6,18,20,29,193,231,220,802,"1,518"
PL,54,21,88,65,527,733,447,"1,100","3,035"
CC,31,16,76,61,319,305,178,436,"1,421"
16,168,111,642,334,36,121,110,280,"1,801"
24,198,148,856,346,121,48,85,241,"2,042"
GP,109,92,603,156,109,83,29,48,"1,229"
BP,236,224,"1,765",377,278,249,48,40,"3,217"
Entries,830,635,"4,105","1,396","1,751","1,961","1,207","3,176","15,060"
