Exit stations,Entry stations->,,SUNDAY,,,Jul 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	61 , 	168 , 	70 , 	73 , 	144 , 	92 , 	131 , 	63 , 	116 , 	100 , 	140 , 	7 , 	138 , 	185 , 	131 , 	81 , 	147 , 	306 , 	86 , 	103 , 	88 , 	71 , 	50 , 	58 , 	62 , 	289 , 	193 , 	489 , 	200 , 	75 , 	79 , 	38 , 	42 , 	50 , 	13 , 	95 , 	524 , 	41 , 	115 , 	18 , 	13 , 	60 , 	26 ," 	5,027 ",,,CM line," 	13,103 "," 	1,236 "," 	4,402 "," 	1,310 ", 	998 ," 	1,518 "," 	1,892 "," 	24,459 "
SL, 	19 , 	26 , 	13 , 	9 , 	46 , 	17 , 	39 , 	31 , 	63 , 	74 , 	120 , 	141 , 	9 , 	91 , 	79 , 	27 , 	26 , 	46 , 	13 , 	7 , 	7 , 	2 , 	7 , 	8 , 	15 , 	138 , 	87 , 	295 , 	97 , 	31 , 	31 , 	12 , 	20 , 	20 , 	5 , 	30 , 	43 , 	3 , 	21 , 	5 , 	7 , 	29 , 	6 ," 	1,808 ",,,RM line," 	5,562 "," 	1,602 "," 	1,333 "," 	2,867 ", 	630 ," 	2,381 ", 	680 ," 	15,054 "
BF, 	15 , 	35 , 	12 , 	13 , 	48 , 	25 , 	55 , 	41 , 	72 , 	84 , 	179 , 	209 , 	80 , 	9 , 	111 , 	69 , 	56 , 	116 , 	14 , 	2 , 	8 , 	1 , 	1 , 	8 , 	22 , 	143 , 	87 , 	278 , 	103 , 	23 , 	28 , 	17 , 	15 , 	18 , 	10 , 	41 , 	156 , 	4 , 	21 , 	6 , 	3 , 	26 , 	8 ," 	2,266 ",,,WP line," 	5,549 ", 	749 ," 	1,020 ", 	657 ," 	2,456 "," 	1,291 ", 	824 ," 	12,545 "
HY, 	22 , 	33 , 	7 , 	6 , 	45 , 	22 , 	43 , 	25 , 	46 , 	36 , 	115 , 	150 , 	66 , 	129 , 	5 , 	71 , 	66 , 	127 , 	12 , 	7 , 	3 , 	2 , 	1 , 	7 , 	12 , 	88 , 	37 , 	145 , 	52 , 	17 , 	17 , 	9 , 	12 , 	12 , 	3 , 	12 , 	41 , 	3 , 	24 , 	6 , 	5 , 	16 , 	3 ," 	1,557 ",,,FT/ED line," 	7,921 "," 	2,089 "," 	1,467 "," 	2,101 "," 	1,183 "," 	8,331 ", 	721 ," 	23,811 "
SH, 	14 , 	11 , 	5 , 	4 , 	23 , 	10 , 	19 , 	12 , 	26 , 	21 , 	46 , 	90 , 	28 , 	75 , 	66 , 	5 , 	46 , 	68 , 	11 , 	4 , 	4 , 	2 , 	1 , 	5 , 	5 , 	61 , 	29 , 	108 , 	32 , 	17 , 	18 , 	9 , 	10 , 	11 , 	3 , 	11 , 	23 , 	2 , 	13 , 	3 , 	2 , 	8 , 	5 , 	960 ,,,SFIA," 	4,398 ", 	257 ," 	1,535 ", 	470 , 	637 , 	548 , 	963 ," 	8,806 "
UC, 	7 , 	23 , 	8 , 	7 , 	43 , 	13 , 	16 , 	20 , 	35 , 	32 , 	53 , 	150 , 	25 , 	67 , 	60 , 	42 , 	4 , 	85 , 	7 , 	6 , 	7 , 	3 , 	1 , 	4 , 	10 , 	110 , 	55 , 	189 , 	56 , 	13 , 	13 , 	8 , 	10 , 	14 , 	8 , 	10 , 	26 , 	1 , 	14 , 	4 , 	3 , 	27 , 	1 ," 	1,287 ",,,Entries," 	43,204 "," 	11,581 "," 	23,797 "," 	14,384 "," 	12,074 "," 	23,979 "," 	9,930 "," 	138,949 "
FM, 	16 , 	47 , 	27 , 	20 , 	171 , 	27 , 	44 , 	30 , 	65 , 	59 , 	75 , 	321 , 	45 , 	125 , 	121 , 	69 , 	76 , 	29 , 	14 , 	15 , 	11 , 	4 , 	6 , 	13 , 	8 , 	244 , 	109 , 	431 , 	148 , 	36 , 	26 , 	19 , 	26 , 	33 , 	6 , 	20 , 	49 , 	4 , 	31 , 	6 , 	6 , 	59 , 	3 ," 	2,691 ",,,,,,,,,,,
CN, 	14 , 	16 , 	7 , 	11 , 	44 , 	13 , 	33 , 	21 , 	41 , 	9 , 	26 , 	96 , 	12 , 	14 , 	11 , 	10 , 	8 , 	17 , 	9 , 	47 , 	189 , 	53 , 	20 , 	35 , 	4 , 	170 , 	77 , 	212 , 	85 , 	33 , 	39 , 	15 , 	22 , 	28 , 	10 , 	3 , 	9 , 	20 , 	172 , 	9 , 	8 , 	71 , 	14 ," 	1,755 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	7 , 	9 , 	8 , 	31 , 	9 , 	17 , 	19 , 	34 , 	7 , 	11 , 	120 , 	5 , 	4 , 	4 , 	4 , 	7 , 	23 , 	53 , 	7 , 	65 , 	20 , 	17 , 	40 , 	2 , 	256 , 	127 , 	283 , 	106 , 	28 , 	21 , 	16 , 	13 , 	23 , 	5 , 	3 , 	7 , 	6 , 	40 , 	6 , 	4 , 	116 , 	13 ," 	1,596 ",,,Dtwn SF," 	1,740 ",,,,,,,
WC, 	7 , 	13 , 	12 , 	10 , 	59 , 	15 , 	31 , 	21 , 	46 , 	8 , 	11 , 	110 , 	6 , 	9 , 	3 , 	3 , 	5 , 	14 , 	222 , 	68 , 	9 , 	39 , 	31 , 	82 , 	7 , 	359 , 	175 , 	371 , 	142 , 	32 , 	32 , 	21 , 	11 , 	28 , 	8 , 	1 , 	6 , 	17 , 	72 , 	8 , 	4 , 	126 , 	15 ," 	2,264 ",,,OAK," 	10,000 ", 	581 ,,,,,,
