Muni Fast Pass Adult/Clipper OD,,,,,,Jun 11,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,45,25,95,137,452,810,662,901,"3,125"
MT,30,35,59,108,495,"1,002",870,"1,596","4,195"
PL,152,87,50,81,433,707,493,"1,298","3,300"
CC,102,98,90,29,257,449,344,776,"2,144"
16,378,402,543,283,18,134,146,371,"2,275"
24,641,731,853,459,130,26,118,329,"3,286"
GP,585,654,635,313,146,132,18,67,"2,550"
BP,777,911,"1,764",707,347,330,65,36,"4,937"
Entries,"2,709","2,942","4,089","2,117","2,277","3,589","2,715","5,374","25,813"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,5,35,31,161,223,115,261,854
MT,4,12,17,18,146,243,204,703,"1,346"
PL,44,17,44,34,384,558,368,981,"2,429"
CC,21,14,37,22,173,239,137,306,948
16,137,89,444,186,26,118,104,226,"1,328"
24,171,137,648,258,111,32,96,216,"1,668"
GP,106,120,456,120,100,87,13,38,"1,039"
BP,212,245,"1,297",255,206,191,35,21,"2,461"
Entries,717,638,"2,977",923,"1,305","1,691","1,071","2,751","12,073"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,26,5,24,24,105,143,93,165,584
MT,3,13,12,18,85,159,131,434,854
PL,31,7,60,32,267,423,258,727,"1,805"
CC,17,10,40,39,160,233,135,269,903
16,99,47,346,168,24,73,78,158,992
24,144,99,496,251,76,33,66,153,"1,319"
GP,81,95,364,120,81,67,13,25,845
BP,170,157,"1,039",237,154,134,22,25,"1,937"
Entries,571,432,"2,381",889,951,"1,264",795,"1,956","9,238"
