Exit stations,Entry stations->,,SUNDAY,,,Jun 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
FM, 	23 , 	51 , 	23 , 	27 , 	150 , 	31 , 	32 , 	35 , 	61 , 	50 , 	74 , 	245 , 	46 , 	109 , 	117 , 	70 , 	65 , 	22 , 	25 , 	12 , 	13 , 	6 , 	4 , 	16 , 	10 , 	254 , 	139 , 	451 , 	407 , 	41 , 	38 , 	18 , 	22 , 	29 , 	4 , 	18 , 	42 , 	4 , 	27 , 	2 , 	7 , 	50 , 	8 , 	13 ," 	2,889 ",,,,,,,,,,,
CN, 	17 , 	17 , 	7 , 	11 , 	33 , 	12 , 	38 , 	30 , 	41 , 	8 , 	25 , 	94 , 	10 , 	13 , 	8 , 	5 , 	7 , 	20 , 	9 , 	44 , 	136 , 	46 , 	19 , 	41 , 	5 , 	175 , 	98 , 	281 , 	228 , 	36 , 	43 , 	20 , 	20 , 	27 , 	8 , 	5 , 	10 , 	19 , 	136 , 	13 , 	8 , 	61 , 	17 , 	5 ," 	1,898 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	4 , 	11 , 	6 , 	11 , 	33 , 	8 , 	25 , 	16 , 	29 , 	6 , 	10 , 	103 , 	5 , 	5 , 	6 , 	3 , 	6 , 	14 , 	39 , 	6 , 	65 , 	20 , 	12 , 	41 , 	4 , 	250 , 	131 , 	292 , 	240 , 	34 , 	28 , 	16 , 	10 , 	25 , 	7 , 	3 , 	6 , 	4 , 	32 , 	3 , 	3 , 	117 , 	13 , 	1 ," 	1,699 ",,,Dtwn SF," 	2,306 ",,,,,,,
WC, 	7 , 	17 , 	11 , 	16 , 	54 , 	18 , 	34 , 	33 , 	45 , 	14 , 	21 , 	103 , 	6 , 	5 , 	6 , 	8 , 	9 , 	15 , 	159 , 	67 , 	8 , 	31 , 	22 , 	74 , 	4 , 	353 , 	179 , 	396 , 	353 , 	41 , 	33 , 	18 , 	15 , 	24 , 	6 , 	3 , 	3 , 	15 , 	62 , 	8 , 	4 , 	139 , 	13 , 	2 ," 	2,449 ",,,OAK," 	13,812 ", 	644 ,,,,,,
LF, 	6 , 	10 , 	7 , 	6 , 	35 , 	9 , 	16 , 	16 , 	23 , 	6 , 	13 , 	64 , 	3 , 	8 , 	3 , 	0 , 	5 , 	5 , 	58 , 	22 , 	30 , 	10 , 	9 , 	44 , 	7 , 	214 , 	109 , 	212 , 	187 , 	31 , 	24 , 	10 , 	6 , 	9 , 	1 , 	2 , 	2 , 	3 , 	17 , 	2 , 	3 , 	72 , 	8 , 	0 ," 	1,318 ",,,CM line," 	27,409 "," 	3,245 "," 	4,038 ",,,,,
OR, 	5 , 	4 , 	7 , 	4 , 	22 , 	5 , 	15 , 	7 , 	24 , 	5 , 	9 , 	50 , 	1 , 	3 , 	2 , 	1 , 	3 , 	4 , 	22 , 	10 , 	24 , 	13 , 	5 , 	38 , 	4 , 	190 , 	96 , 	177 , 	178 , 	25 , 	16 , 	7 , 	11 , 	7 , 	1 , 	2 , 	4 , 	2 , 	9 , 	1 , 	2 , 	50 , 	6 , 	0 ," 	1,065 ",,,RM line," 	14,261 "," 	3,397 "," 	3,105 "," 	2,630 ",,,,
RR, 	12 , 	12 , 	22 , 	10 , 	34 , 	12 , 	34 , 	42 , 	48 , 	14 , 	24 , 	68 , 	8 , 	8 , 	5 , 	4 , 	3 , 	15 , 	34 , 	40 , 	75 , 	42 , 	38 , 	11 , 	18 , 	313 , 	231 , 	515 , 	532 , 	153 , 	98 , 	27 , 	15 , 	20 , 	4 , 	3 , 	8 , 	6 , 	26 , 	5 , 	3 , 	116 , 	21 , 	3 ," 	2,728 ",,,WP line," 	14,399 "," 	1,570 "," 	2,195 "," 	1,278 "," 	2,126 ",,,
OW, 	15 , 	25 , 	8 , 	10 , 	32 , 	34 , 	36 , 	24 , 	45 , 	24 , 	61 , 	59 , 	14 , 	25 , 	18 , 	11 , 	7 , 	11 , 	7 , 	4 , 	7 , 	5 , 	3 , 	14 , 	10 , 	338 , 	228 , 	673 , 	608 , 	160 , 	90 , 	26 , 	29 , 	19 , 	5 , 	9 , 	11 , 	2 , 	24 , 	5 , 	5 , 	37 , 	7 , 	4 ," 	2,783 ",,,FT/ED line," 	19,032 "," 	4,184 "," 	3,139 "," 	4,259 "," 	2,394 "," 	7,068 ",,
EM, 	122 , 	285 , 	194 , 	296 , 	598 , 	233 , 	409 , 	243 , 	291 , 	207 , 	316 , 	291 , 	217 , 	181 , 	108 , 	73 , 	139 , 	318 , 	213 , 	303 , 	444 , 	256 , 	222 , 	411 , 	466 , 	82 , 	34 , 	263 , 	281 , 	400 , 	522 , 	300 , 	317 , 	238 , 	79 , 	129 , 	785 , 	134 , 	279 , 	66 , 	85 , 	420 , 	229 , 	113 ," 	11,587 ",,,SFIA," 	10,818 ", 	724 ," 	3,769 "," 	1,234 "," 	1,482 ", 	946 , 	961 ," 	156,423 "
MT, 	73 , 	172 , 	113 , 	179 , 	345 , 	142 , 	268 , 	170 , 	230 , 	175 , 	188 , 	149 , 	118 , 	118 , 	66 , 	26 , 	86 , 	163 , 	109 , 	143 , 	176 , 	113 , 	87 , 	255 , 	268 , 	23 , 	38 , 	63 , 	119 , 	318 , 	453 , 	318 , 	679 , 	212 , 	93 , 	65 , 	233 , 	47 , 	104 , 	55 , 	57 , 	372 , 	152 , 	50 ," 	7,379 ",,,,,,,,,,,
