Exit stations,Entry stations->,,TOTAL,,,Sep 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	485 ," 	1,927 "," 	1,768 ", 	994 ," 	7,022 "," 	1,359 "," 	2,168 "," 	1,618 "," 	1,878 ", 	581 ," 	1,458 "," 	1,148 ", 	559 , 	262 , 	525 , 	257 , 	139 , 	223 , 	422 , 	128 , 	374 , 	190 , 	167 , 	238 , 	462 ," 	4,805 "," 	3,533 "," 	6,496 "," 	3,540 "," 	2,720 "," 	2,831 ", 	757 , 	829 ," 	1,525 ", 	354 , 	100 , 	121 , 	82 , 	173 , 	221 , 	289 ," 	1,181 ", 	383 , 	77 , 	251 , 	299 , 	178 , 	266 , 	144 , 	274 ," 	57,781 ",,,,,,,,,,,,,
EN," 	2,022 ", 	514 ," 	1,797 "," 	1,250 "," 	10,827 "," 	1,735 "," 	2,859 "," 	3,593 "," 	4,698 "," 	1,042 "," 	1,950 "," 	1,617 "," 	1,001 ", 	632 , 	781 , 	233 , 	414 , 	408 , 	442 , 	253 , 	531 , 	170 , 	153 , 	460 , 	517 ," 	9,477 "," 	7,662 "," 	11,771 "," 	7,179 "," 	3,366 "," 	2,698 ", 	960 ," 	1,101 "," 	2,502 ", 	257 , 	135 , 	281 , 	87 , 	226 , 	361 , 	426 ," 	1,684 ", 	772 , 	181 , 	674 , 	491 , 	339 , 	560 , 	80 , 	220 ," 	93,389 ",,,,,,,,,,,,,
EP," 	1,827 "," 	1,635 ", 	289 , 	835 ," 	8,263 "," 	1,192 "," 	1,719 "," 	2,368 "," 	2,563 ", 	610 , 	783 , 	737 , 	411 , 	301 , 	258 , 	140 , 	187 , 	213 , 	251 , 	211 , 	301 , 	190 , 	116 , 	327 , 	159 ," 	5,757 "," 	4,756 "," 	4,467 "," 	3,660 "," 	1,375 "," 	1,102 ", 	387 , 	391 , 	758 , 	80 , 	68 , 	162 , 	40 , 	120 , 	116 , 	159 ," 	1,317 ", 	298 , 	93 , 	458 , 	191 , 	186 , 	278 , 	50 , 	68 ," 	52,223 ",,,,,,,,,,,,,
NB," 	1,127 "," 	1,080 ", 	855 , 	320 ," 	2,279 ", 	803 ," 	1,172 "," 	1,895 "," 	1,881 ", 	502 , 	953 , 	837 , 	384 , 	223 , 	301 , 	136 , 	189 , 	207 , 	278 , 	154 , 	258 , 	103 , 	80 , 	174 , 	192 ," 	6,508 "," 	4,789 "," 	3,812 "," 	4,491 "," 	1,904 "," 	1,129 ", 	437 , 	430 , 	421 , 	113 , 	42 , 	147 , 	37 , 	101 , 	89 , 	121 ," 	1,584 ", 	367 , 	51 , 	526 , 	194 , 	188 , 	246 , 	51 , 	79 ," 	44,240 ",,,,,,,,,,,,,
BK," 	7,984 "," 	11,378 "," 	8,742 "," 	2,688 "," 	1,083 "," 	4,049 "," 	4,713 "," 	5,935 "," 	6,379 "," 	2,569 "," 	3,536 "," 	2,549 "," 	2,218 "," 	1,851 "," 	1,753 "," 	1,196 "," 	1,900 "," 	1,642 "," 	1,191 "," 	1,305 "," 	1,451 ", 	839 , 	579 , 	461 ," 	1,160 "," 	10,900 "," 	8,523 "," 	9,799 "," 	7,622 "," 	4,183 "," 	3,407 "," 	1,964 "," 	1,374 "," 	1,620 ", 	435 , 	563 ," 	1,262 ", 	260 , 	724 , 	483 , 	389 ," 	2,872 "," 	1,757 ", 	534 ," 	1,317 ", 	832 ," 	1,703 "," 	2,523 ", 	245 , 	589 ," 	145,031 ",,,,,,,,,,,,,
AS," 	1,497 "," 	1,708 "," 	1,265 ", 	800 ," 	3,883 ", 	335 ," 	1,093 "," 	2,114 "," 	2,149 ", 	649 ," 	1,571 "," 	1,129 ", 	609 , 	440 , 	385 , 	229 , 	275 , 	256 , 	279 , 	199 , 	200 , 	108 , 	87 , 	171 , 	299 ," 	5,973 "," 	4,878 "," 	4,567 "," 	4,519 "," 	2,319 "," 	1,542 ", 	501 , 	452 , 	600 , 	69 , 	77 , 	156 , 	57 , 	183 , 	94 , 	182 ," 	1,153 ", 	311 , 	48 , 	393 , 	199 , 	276 , 	359 , 	82 , 	161 ," 	50,881 ",,,,,,,,,,,,,
MA," 	2,562 "," 	2,758 "," 	1,643 "," 	1,132 "," 	4,519 "," 	1,062 ", 	510 ," 	2,495 "," 	2,395 ", 	815 ," 	2,667 "," 	2,049 "," 	1,533 ", 	861 , 	914 , 	616 , 	591 , 	650 ," 	1,905 "," 	1,283 "," 	1,504 ", 	668 , 	494 , 	990 , 	800 ," 	10,109 "," 	8,414 "," 	8,570 "," 	7,972 "," 	4,564 "," 	2,908 ", 	857 ," 	1,033 ", 	921 , 	244 , 	166 , 	525 , 	327 ," 	1,360 ", 	231 , 	263 ," 	1,890 ", 	463 , 	252 , 	493 , 	482 , 	510 , 	652 , 	537 ," 	1,605 "," 	92,764 ",,,,,,,,,,,,,
19," 	1,731 "," 	3,733 "," 	2,404 "," 	1,971 "," 	5,588 "," 	2,222 "," 	2,518 ", 	541 , 	542 , 	480 ," 	1,714 "," 	2,152 "," 	2,042 "," 	1,401 "," 	1,595 ", 	861 ," 	1,204 "," 	1,204 "," 	1,893 "," 	2,062 "," 	2,290 "," 	1,300 ", 	991 ," 	1,819 "," 	1,043 "," 	13,280 "," 	10,436 "," 	9,921 "," 	9,588 "," 	5,360 "," 	3,834 "," 	1,665 "," 	1,302 "," 	1,672 ", 	392 , 	365 ," 	1,257 ", 	489 ," 	1,042 ", 	477 , 	489 ," 	1,771 ", 	866 , 	561 , 	521 , 	772 , 	896 ," 	1,059 ", 	412 ," 	1,367 "," 	115,095 ",,,,,,,,,,,,,
12," 	2,058 "," 	4,683 "," 	2,517 "," 	1,903 "," 	5,714 "," 	2,129 "," 	2,408 ", 	530 , 	630 , 	466 ," 	1,771 "," 	2,416 "," 	2,702 "," 	2,235 "," 	2,039 "," 	1,264 "," 	1,723 "," 	1,504 "," 	2,087 "," 	2,312 "," 	2,352 "," 	1,117 ", 	969 ," 	1,663 "," 	1,079 "," 	12,340 "," 	9,334 "," 	11,560 "," 	8,349 "," 	4,305 "," 	3,234 "," 	1,639 "," 	1,742 "," 	2,035 ", 	695 , 	293 ," 	1,475 ", 	627 ," 	1,675 ", 	743 , 	755 ," 	2,606 ", 	894 , 	400 , 	662 , 	676 , 	724 ," 	1,022 ", 	482 ," 	1,892 "," 	120,430 ",,,,,,,,,,,,,
LM, 	596 , 	987 , 	625 , 	607 ," 	2,497 ", 	737 , 	768 , 	422 , 	407 , 	445 ," 	2,458 "," 	3,356 "," 	3,984 "," 	3,081 "," 	1,956 "," 	1,275 "," 	1,225 "," 	1,094 ", 	275 , 	185 , 	298 , 	86 , 	102 , 	268 , 	461 ," 	7,999 "," 	6,434 "," 	7,317 "," 	6,019 "," 	2,834 "," 	2,157 ", 	784 , 	895 , 	946 , 	120 ," 	1,410 "," 	2,394 ", 	86 , 	254 , 	134 , 	150 , 	447 , 	133 ," 	1,143 ", 	464 , 	943 , 	651 , 	816 , 	129 , 	405 ," 	73,259 ",,,,,,,,,,,,,
FV," 	1,452 "," 	1,864 ", 	722 , 	875 ," 	3,506 "," 	1,595 "," 	2,507 "," 	1,943 "," 	1,749 "," 	2,283 ", 	708 ," 	3,764 "," 	3,691 "," 	3,813 "," 	3,486 "," 	1,436 "," 	1,237 "," 	1,318 ", 	565 , 	278 , 	436 , 	240 , 	341 , 	622 ," 	1,796 "," 	8,692 "," 	7,170 "," 	9,656 "," 	8,557 "," 	4,350 "," 	3,364 ", 	924 ," 	1,266 "," 	2,215 ", 	153 , 	914 ," 	2,123 ", 	86 , 	289 , 	167 , 	233 , 	940 , 	240 , 	992 , 	255 ," 	1,110 ", 	663 , 	993 , 	132 , 	356 ," 	98,067 ",,,,,,,,,,,,,
