Exit stations,Entry stations->,,SATURDAY,,,Sep 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	23 , 	42 , 	50 , 	22 , 	175 , 	38 , 	45 , 	28 , 	37 , 	8 , 	36 , 	35 , 	11 , 	6 , 	12 , 	4 , 	5 , 	3 , 	11 , 	3 , 	9 , 	6 , 	5 , 	5 , 	14 , 	77 , 	53 , 	157 , 	63 , 	61 , 	69 , 	15 , 	21 , 	17 , 	6 , 	2 , 	4 , 	1 , 	3 , 	5 , 	6 , 	31 , 	7 , 	0 , 	8 , 	8 , 	5 , 	10 , 	3 , 	4 ," 	1,268 ",,,,,,,,,,
EN, 	52 , 	17 , 	43 , 	29 , 	226 , 	48 , 	59 , 	58 , 	68 , 	18 , 	57 , 	47 , 	19 , 	18 , 	16 , 	8 , 	9 , 	5 , 	12 , 	6 , 	10 , 	4 , 	3 , 	11 , 	10 , 	153 , 	105 , 	268 , 	102 , 	66 , 	64 , 	23 , 	20 , 	31 , 	10 , 	4 , 	4 , 	3 , 	7 , 	7 , 	9 , 	50 , 	12 , 	2 , 	17 , 	10 , 	11 , 	12 , 	3 , 	6 ," 	1,851 ",,,,,,,,,,
EP, 	54 , 	35 , 	10 , 	24 , 	209 , 	35 , 	38 , 	40 , 	48 , 	12 , 	22 , 	24 , 	8 , 	7 , 	4 , 	4 , 	4 , 	6 , 	5 , 	5 , 	7 , 	9 , 	2 , 	8 , 	4 , 	91 , 	67 , 	128 , 	71 , 	35 , 	34 , 	8 , 	12 , 	7 , 	2 , 	1 , 	6 , 	-   , 	3 , 	2 , 	3 , 	40 , 	5 , 	1 , 	14 , 	2 , 	6 , 	7 , 	1 , 	1 ," 	1,173 ",,,,,,,,,,
NB, 	27 , 	33 , 	22 , 	9 , 	72 , 	18 , 	31 , 	48 , 	32 , 	13 , 	20 , 	27 , 	11 , 	7 , 	8 , 	3 , 	8 , 	4 , 	5 , 	3 , 	8 , 	4 , 	2 , 	4 , 	7 , 	133 , 	79 , 	116 , 	89 , 	63 , 	42 , 	15 , 	8 , 	13 , 	3 , 	1 , 	4 , 	1 , 	4 , 	2 , 	3 , 	39 , 	11 , 	1 , 	16 , 	2 , 	4 , 	7 , 	0 , 	2 ," 	1,085 ",,,,,,,,,,
BK, 	192 , 	241 , 	220 , 	87 , 	53 , 	110 , 	103 , 	134 , 	159 , 	56 , 	79 , 	67 , 	55 , 	44 , 	46 , 	28 , 	56 , 	38 , 	26 , 	44 , 	57 , 	38 , 	23 , 	16 , 	26 , 	382 , 	281 , 	434 , 	259 , 	134 , 	105 , 	75 , 	34 , 	57 , 	7 , 	16 , 	45 , 	6 , 	11 , 	11 , 	10 , 	78 , 	60 , 	17 , 	35 , 	28 , 	57 , 	75 , 	3 , 	11 ," 	4,227 ",,,,,,,,,,
AS, 	40 , 	42 , 	30 , 	18 , 	91 , 	10 , 	27 , 	46 , 	37 , 	15 , 	34 , 	30 , 	11 , 	13 , 	10 , 	5 , 	9 , 	5 , 	5 , 	4 , 	5 , 	5 , 	1 , 	4 , 	6 , 	112 , 	82 , 	133 , 	89 , 	76 , 	45 , 	13 , 	10 , 	14 , 	3 , 	2 , 	5 , 	-   , 	4 , 	2 , 	6 , 	30 , 	8 , 	1 , 	11 , 	6 , 	10 , 	10 , 	1 , 	5 ," 	1,177 ",,,,,,,,,,
MA, 	52 , 	61 , 	39 , 	32 , 	100 , 	30 , 	21 , 	53 , 	49 , 	16 , 	64 , 	49 , 	29 , 	18 , 	19 , 	12 , 	11 , 	10 , 	34 , 	25 , 	33 , 	16 , 	9 , 	28 , 	19 , 	183 , 	135 , 	227 , 	171 , 	134 , 	92 , 	20 , 	17 , 	17 , 	5 , 	4 , 	11 , 	3 , 	19 , 	5 , 	6 , 	57 , 	11 , 	5 , 	14 , 	11 , 	21 , 	16 , 	9 , 	22 ," 	2,046 ",,,,,,,,,,
19, 	32 , 	65 , 	42 , 	48 , 	136 , 	56 , 	54 , 	19 , 	12 , 	7 , 	36 , 	57 , 	33 , 	25 , 	31 , 	14 , 	17 , 	16 , 	25 , 	26 , 	41 , 	22 , 	18 , 	50 , 	30 , 	234 , 	180 , 	282 , 	224 , 	171 , 	129 , 	34 , 	24 , 	31 , 	6 , 	7 , 	16 , 	10 , 	10 , 	7 , 	13 , 	50 , 	16 , 	8 , 	10 , 	11 , 	17 , 	20 , 	5 , 	11 ," 	2,439 ",,,,,,,,,,
12, 	42 , 	54 , 	48 , 	33 , 	132 , 	40 , 	50 , 	10 , 	21 , 	8 , 	30 , 	58 , 	34 , 	34 , 	27 , 	19 , 	13 , 	11 , 	28 , 	30 , 	29 , 	16 , 	19 , 	37 , 	30 , 	228 , 	156 , 	315 , 	172 , 	117 , 	93 , 	25 , 	35 , 	24 , 	8 , 	2 , 	12 , 	3 , 	15 , 	9 , 	16 , 	75 , 	19 , 	1 , 	18 , 	6 , 	14 , 	17 , 	3 , 	13 ," 	2,248 ",,,,,,,,,,
LM, 	11 , 	16 , 	11 , 	13 , 	40 , 	13 , 	18 , 	7 , 	4 , 	16 , 	40 , 	75 , 	69 , 	70 , 	30 , 	13 , 	20 , 	19 , 	4 , 	3 , 	5 , 	1 , 	2 , 	5 , 	11 , 	133 , 	90 , 	196 , 	111 , 	89 , 	70 , 	14 , 	19 , 	13 , 	3 , 	30 , 	39 , 	1 , 	4 , 	3 , 	2 , 	9 , 	3 , 	23 , 	12 , 	11 , 	17 , 	25 , 	2 , 	3 ," 	1,435 ",,,,,,,,,,
FV, 	40 , 	43 , 	19 , 	17 , 	71 , 	37 , 	52 , 	38 , 	26 , 	33 , 	29 , 	98 , 	66 , 	96 , 	67 , 	31 , 	26 , 	23 , 	11 , 	8 , 	10 , 	6 , 	8 , 	14 , 	49 , 	154 , 	115 , 	246 , 	153 , 	112 , 	87 , 	23 , 	20 , 	23 , 	4 , 	24 , 	47 , 	1 , 	8 , 	3 , 	4 , 	25 , 	9 , 	29 , 	6 , 	23 , 	20 , 	30 , 	3 , 	8 ," 	2,094 ",,,,,,,,,,
CL, 	34 , 	51 , 	27 , 	28 , 	65 , 	31 , 	56 , 	53 , 	58 , 	53 , 	92 , 	11 , 	81 , 	67 , 	53 , 	30 , 	52 , 	44 , 	23 , 	30 , 	28 , 	12 , 	10 , 	22 , 	22 , 	108 , 	87 , 	191 , 	89 , 	42 , 	51 , 	11 , 	17 , 	26 , 	5 , 	39 , 	154 , 	7 , 	17 , 	7 , 	7 , 	13 , 	10 , 	53 , 	32 , 	30 , 	50 , 	51 , 	3 , 	15 ," 	2,148 ",,,,,,,,,,
SL, 	13 , 	16 , 	7 , 	8 , 	58 , 	10 , 	25 , 	36 , 	44 , 	69 , 	83 , 	90 , 	16 , 	51 , 	61 , 	31 , 	21 , 	18 , 	6 , 	3 , 	6 , 	3 , 	2 , 	11 , 	17 , 	121 , 	83 , 	205 , 	82 , 	37 , 	37 , 	11 , 	18 , 	22 , 	2 , 	16 , 	36 , 	2 , 	6 , 	3 , 	5 , 	16 , 	3 , 	19 , 	6 , 	15 , 	14 , 	25 , 	1 , 	8 ," 	1,500 ",,,,,,,,,,
BF, 	7 , 	14 , 	9 , 	6 , 	46 , 	12 , 	19 , 	30 , 	40 , 	65 , 	99 , 	71 , 	51 , 	14 , 	51 , 	27 , 	23 , 	18 , 	8 , 	4 , 	5 , 	3 , 	2 , 	3 , 	16 , 	113 , 	77 , 	215 , 	75 , 	33 , 	36 , 	10 , 	13 , 	13 , 	3 , 	17 , 	41 , 	0 , 	2 , 	3 , 	3 , 	11 , 	5 , 	26 , 	4 , 	22 , 	26 , 	17 , 	2 , 	5 ," 	1,414 ",,,,,,,,,,
HY, 	11 , 	16 , 	5 , 	7 , 	43 , 	9 , 	23 , 	34 , 	25 , 	33 , 	69 , 	54 , 	62 , 	44 , 	18 , 	33 , 	34 , 	48 , 	7 , 	2 , 	6 , 	4 , 	3 , 	3 , 	14 , 	63 , 	43 , 	73 , 	32 , 	18 , 	19 , 	6 , 	8 , 	9 , 	4 , 	8 , 	25 , 	1 , 	4 , 	3 , 	4 , 	5 , 	3 , 	14 , 	3 , 	24 , 	28 , 	31 , 	1 , 	6 ," 	1,041 ",,,,,,,,,,
SH, 	6 , 	5 , 	3 , 	3 , 	25 , 	7 , 	10 , 	14 , 	15 , 	13 , 	30 , 	28 , 	28 , 	25 , 	26 , 	6 , 	21 , 	23 , 	2 , 	2 , 	4 , 	0 , 	2 , 	1 , 	3 , 	45 , 	28 , 	60 , 	34 , 	14 , 	18 , 	3 , 	8 , 	7 , 	1 , 	6 , 	11 , 	1 , 	1 , 	2 , 	1 , 	6 , 	2 , 	11 , 	4 , 	23 , 	16 , 	26 , 	1 , 	3 , 	631 ,,,,,,,,,,
UC, 	5 , 	11 , 	5 , 	7 , 	61 , 	11 , 	13 , 	19 , 	20 , 	25 , 	30 , 	50 , 	19 , 	21 , 	50 , 	24 , 	16 , 	22 , 	4 , 	4 , 	2 , 	2 , 	1 , 	3 , 	6 , 	97 , 	49 , 	93 , 	43 , 	22 , 	14 , 	6 , 	5 , 	7 , 	1 , 	6 , 	15 , 	0 , 	2 , 	2 , 	2 , 	7 , 	1 , 	9 , 	7 , 	28 , 	27 , 	29 , 	0 , 	3 , 	910 ,,,,,,,,,,
