Exit stations,Entry stations->,,SUNDAY,,,Sep 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	22 , 	36 , 	39 , 	20 , 	117 , 	22 , 	38 , 	31 , 	29 , 	14 , 	33 , 	25 , 	11 , 	6 , 	9 , 	4 , 	2 , 	3 , 	8 , 	3 , 	7 , 	4 , 	2 , 	5 , 	7 , 	76 , 	33 , 	112 , 	55 , 	38 , 	44 , 	14 , 	14 , 	12 , 	4 , 	2 , 	3 , 	1 , 	4 , 	5 , 	7 , 	35 , 	11 , 	1 , 	7 , 	3 , 	2 , 	9 , 	2 , 	5 , 	988 ,,,,,,,,,,,
EN, 	37 , 	12 , 	33 , 	17 , 	122 , 	32 , 	39 , 	52 , 	53 , 	19 , 	32 , 	45 , 	13 , 	13 , 	11 , 	7 , 	7 , 	5 , 	8 , 	7 , 	8 , 	3 , 	2 , 	10 , 	8 , 	102 , 	68 , 	202 , 	95 , 	57 , 	38 , 	12 , 	14 , 	15 , 	5 , 	3 , 	6 , 	2 , 	7 , 	5 , 	5 , 	48 , 	13 , 	2 , 	16 , 	4 , 	7 , 	16 , 	3 , 	8 ," 	1,339 ",,,,,,,,,,,
EP, 	42 , 	34 , 	12 , 	19 , 	117 , 	29 , 	25 , 	42 , 	32 , 	13 , 	15 , 	29 , 	6 , 	5 , 	6 , 	4 , 	6 , 	5 , 	4 , 	5 , 	9 , 	6 , 	3 , 	6 , 	5 , 	70 , 	51 , 	73 , 	65 , 	26 , 	19 , 	8 , 	6 , 	6 , 	0 , 	2 , 	3 , 	1 , 	1 , 	2 , 	4 , 	47 , 	4 , 	2 , 	14 , 	1 , 	3 , 	9 , 	1 , 	2 , 	891 ,,,,,,,,,,,
NB, 	19 , 	25 , 	18 , 	11 , 	22 , 	18 , 	22 , 	50 , 	25 , 	9 , 	15 , 	30 , 	9 , 	6 , 	4 , 	3 , 	6 , 	4 , 	7 , 	3 , 	5 , 	5 , 	1 , 	5 , 	4 , 	87 , 	60 , 	92 , 	97 , 	44 , 	30 , 	11 , 	5 , 	7 , 	2 , 	1 , 	5 , 	2 , 	2 , 	1 , 	3 , 	47 , 	8 , 	1 , 	16 , 	3 , 	7 , 	6 , 	-   , 	2 , 	856 ,,,,,,,,,,,
BK, 	129 , 	129 , 	121 , 	29 , 	37 , 	61 , 	59 , 	115 , 	86 , 	33 , 	46 , 	58 , 	30 , 	23 , 	27 , 	10 , 	36 , 	25 , 	11 , 	16 , 	19 , 	16 , 	10 , 	9 , 	23 , 	261 , 	182 , 	292 , 	206 , 	104 , 	64 , 	40 , 	18 , 	30 , 	6 , 	8 , 	30 , 	4 , 	9 , 	3 , 	6 , 	105 , 	52 , 	11 , 	35 , 	16 , 	49 , 	80 , 	2 , 	8 ," 	2,774 ",,,,,,,,,,,
AS, 	23 , 	36 , 	29 , 	18 , 	51 , 	9 , 	23 , 	74 , 	39 , 	15 , 	29 , 	36 , 	8 , 	10 , 	8 , 	5 , 	7 , 	4 , 	6 , 	3 , 	5 , 	2 , 	2 , 	5 , 	8 , 	90 , 	67 , 	106 , 	95 , 	55 , 	46 , 	14 , 	7 , 	9 , 	1 , 	2 , 	5 , 	0 , 	4 , 	2 , 	4 , 	43 , 	9 , 	1 , 	17 , 	2 , 	7 , 	11 , 	1 , 	2 ," 	1,054 ",,,,,,,,,,,
MA, 	36 , 	38 , 	26 , 	23 , 	54 , 	32 , 	15 , 	76 , 	46 , 	15 , 	43 , 	49 , 	19 , 	16 , 	15 , 	6 , 	7 , 	7 , 	25 , 	14 , 	23 , 	14 , 	4 , 	23 , 	17 , 	141 , 	86 , 	179 , 	167 , 	105 , 	62 , 	15 , 	12 , 	10 , 	4 , 	2 , 	6 , 	8 , 	10 , 	5 , 	4 , 	68 , 	9 , 	4 , 	19 , 	6 , 	9 , 	13 , 	8 , 	12 ," 	1,604 ",,,,,,,,,,,
19, 	29 , 	43 , 	37 , 	47 , 	97 , 	61 , 	65 , 	18 , 	11 , 	12 , 	40 , 	58 , 	36 , 	24 , 	28 , 	10 , 	14 , 	12 , 	18 , 	16 , 	34 , 	13 , 	11 , 	54 , 	35 , 	159 , 	107 , 	210 , 	216 , 	116 , 	85 , 	26 , 	16 , 	27 , 	4 , 	6 , 	6 , 	6 , 	9 , 	3 , 	4 , 	61 , 	13 , 	3 , 	16 , 	7 , 	7 , 	16 , 	3 , 	8 ," 	1,951 ",,,,,,,,,,,
12, 	30 , 	52 , 	38 , 	33 , 	92 , 	41 , 	44 , 	11 , 	17 , 	10 , 	31 , 	56 , 	38 , 	33 , 	27 , 	13 , 	14 , 	12 , 	24 , 	14 , 	27 , 	9 , 	11 , 	35 , 	24 , 	189 , 	119 , 	241 , 	160 , 	77 , 	60 , 	27 , 	19 , 	23 , 	7 , 	2 , 	9 , 	6 , 	17 , 	8 , 	13 , 	84 , 	21 , 	3 , 	17 , 	5 , 	11 , 	12 , 	3 , 	10 ," 	1,873 ",,,,,,,,,,,
LM, 	17 , 	19 , 	14 , 	9 , 	27 , 	16 , 	15 , 	10 , 	11 , 	10 , 	55 , 	95 , 	59 , 	58 , 	28 , 	16 , 	21 , 	13 , 	4 , 	3 , 	4 , 	1 , 	2 , 	6 , 	15 , 	109 , 	72 , 	170 , 	120 , 	61 , 	60 , 	18 , 	20 , 	16 , 	3 , 	24 , 	34 , 	1 , 	5 , 	2 , 	1 , 	11 , 	3 , 	14 , 	14 , 	11 , 	17 , 	22 , 	1 , 	4 ," 	1,333 ",,,,,,,,,,,
FV, 	31 , 	34 , 	15 , 	16 , 	46 , 	33 , 	32 , 	48 , 	31 , 	56 , 	20 , 	94 , 	57 , 	80 , 	49 , 	25 , 	20 , 	16 , 	10 , 	5 , 	8 , 	4 , 	5 , 	13 , 	35 , 	99 , 	72 , 	172 , 	138 , 	71 , 	53 , 	15 , 	14 , 	14 , 	4 , 	17 , 	41 , 	1 , 	8 , 	2 , 	4 , 	24 , 	4 , 	24 , 	8 , 	9 , 	15 , 	22 , 	3 , 	7 ," 	1,618 ",,,,,,,,,,,
