Exit stations,Entry stations->,,SUNDAY,,,Jan 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	57 , 	69 , 	31 , 	44 , 	126 , 	82 , 	88 , 	65 , 	74 , 	105 , 	14 , 	108 , 	108 , 	150 , 	93 , 	45 , 	34 , 	71 , 	22 , 	13 , 	22 , 	10 , 	12 , 	31 , 	62 , 	224 , 	174 , 	485 , 	280 , 	140 , 	118 , 	29 , 	41 , 	27 , 	11 , 	29 , 	56 , 	5 , 	40 , 	9 , 	12 , 	44 , 	10 , 	36 , 	14 , 	-   ," 	3,314 ",,,OAK," 	5,803 ", 	833 ," 	1,957 "," 	1,764 ", 	839 ," 	2,008 ", 	531 ," 	13,734 "
CL, 	45 , 	69 , 	25 , 	27 , 	82 , 	59 , 	75 , 	60 , 	100 , 	75 , 	96 , 	7 , 	84 , 	122 , 	83 , 	47 , 	59 , 	109 , 	20 , 	22 , 	23 , 	20 , 	10 , 	26 , 	57 , 	144 , 	100 , 	297 , 	140 , 	68 , 	69 , 	38 , 	32 , 	57 , 	9 , 	36 , 	84 , 	9 , 	47 , 	8 , 	17 , 	16 , 	17 , 	47 , 	27 , 	-   ," 	2,655 ",,,CM line," 	10,949 "," 	1,933 "," 	3,992 "," 	1,498 ", 	945 ," 	1,449 "," 	2,043 "," 	22,808 "
SL, 	18 , 	24 , 	20 , 	17 , 	54 , 	23 , 	36 , 	35 , 	68 , 	101 , 	115 , 	86 , 	7 , 	77 , 	72 , 	28 , 	20 , 	39 , 	14 , 	6 , 	11 , 	4 , 	4 , 	13 , 	17 , 	118 , 	85 , 	293 , 	105 , 	41 , 	45 , 	11 , 	18 , 	27 , 	3 , 	22 , 	25 , 	1 , 	18 , 	4 , 	4 , 	26 , 	5 , 	27 , 	11 , 	-   ," 	1,790 ",,,RM line," 	4,821 "," 	1,886 "," 	1,565 "," 	2,958 ", 	636 ," 	1,666 ", 	885 ," 	14,416 "
BF, 	17 , 	29 , 	14 , 	13 , 	52 , 	21 , 	43 , 	44 , 	72 , 	104 , 	158 , 	128 , 	73 , 	9 , 	98 , 	56 , 	53 , 	98 , 	14 , 	7 , 	12 , 	4 , 	4 , 	10 , 	29 , 	121 , 	105 , 	308 , 	81 , 	47 , 	26 , 	16 , 	21 , 	23 , 	7 , 	48 , 	76 , 	3 , 	23 , 	5 , 	8 , 	17 , 	6 , 	76 , 	11 , 	-   ," 	2,183 ",,,WP line," 	4,606 ", 	916 , 	971 , 	673 ," 	2,262 ", 	732 , 	889 ," 	11,047 "
HY, 	16 , 	26 , 	9 , 	11 , 	53 , 	16 , 	33 , 	35 , 	53 , 	41 , 	96 , 	87 , 	67 , 	103 , 	8 , 	48 , 	61 , 	103 , 	11 , 	4 , 	13 , 	3 , 	1 , 	9 , 	19 , 	58 , 	34 , 	147 , 	55 , 	23 , 	16 , 	10 , 	13 , 	12 , 	6 , 	15 , 	31 , 	2 , 	16 , 	2 , 	4 , 	24 , 	6 , 	35 , 	21 , 	-   ," 	1,451 ",,,FT/ED line," 	6,024 "," 	2,064 "," 	1,502 "," 	1,644 ", 	745 ," 	5,393 ", 	507 ," 	17,879 "
SH, 	8 , 	11 , 	4 , 	6 , 	15 , 	12 , 	15 , 	16 , 	22 , 	30 , 	45 , 	41 , 	25 , 	55 , 	46 , 	5 , 	33 , 	64 , 	4 , 	3 , 	4 , 	3 , 	1 , 	5 , 	7 , 	43 , 	29 , 	104 , 	34 , 	23 , 	15 , 	9 , 	8 , 	10 , 	4 , 	12 , 	13 , 	2 , 	13 , 	2 , 	5 , 	11 , 	4 , 	9 , 	8 , 	-   , 	831 ,,,SFIA," 	3,409 ", 	376 ," 	1,600 ", 	490 , 	656 , 	370 , 	983 ," 	7,883 "
UC, 	10 , 	12 , 	8 , 	9 , 	36 , 	17 , 	20 , 	18 , 	33 , 	30 , 	39 , 	56 , 	26 , 	53 , 	63 , 	29 , 	6 , 	77 , 	7 , 	3 , 	5 , 	3 , 	2 , 	5 , 	5 , 	89 , 	62 , 	175 , 	55 , 	24 , 	16 , 	7 , 	10 , 	10 , 	5 , 	13 , 	25 , 	1 , 	10 , 	4 , 	4 , 	24 , 	5 , 	13 , 	28 , 	-   ," 	1,146 ",,,Entries," 	36,909 "," 	13,919 "," 	22,209 "," 	13,739 "," 	10,410 "," 	17,450 "," 	9,370 "," 	124,005 "
FM, 	15 , 	35 , 	30 , 	20 , 	114 , 	26 , 	40 , 	36 , 	46 , 	54 , 	73 , 	108 , 	44 , 	96 , 	104 , 	62 , 	81 , 	18 , 	18 , 	10 , 	16 , 	5 , 	4 , 	15 , 	11 , 	175 , 	104 , 	313 , 	126 , 	47 , 	35 , 	12 , 	21 , 	23 , 	4 , 	21 , 	44 , 	2 , 	23 , 	2 , 	6 , 	52 , 	4 , 	23 , 	36 , 	-   ," 	2,150 ",,,,,,,,,,,
CN, 	15 , 	19 , 	6 , 	10 , 	37 , 	12 , 	29 , 	30 , 	44 , 	11 , 	25 , 	17 , 	10 , 	17 , 	9 , 	4 , 	8 , 	18 , 	11 , 	52 , 	153 , 	46 , 	18 , 	38 , 	8 , 	135 , 	71 , 	213 , 	88 , 	33 , 	27 , 	16 , 	23 , 	20 , 	11 , 	3 , 	6 , 	15 , 	147 , 	6 , 	7 , 	79 , 	12 , 	3 , 	28 , 	-   ," 	1,587 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	5 , 	6 , 	8 , 	8 , 	50 , 	11 , 	23 , 	23 , 	28 , 	10 , 	14 , 	20 , 	6 , 	7 , 	6 , 	3 , 	4 , 	13 , 	45 , 	9 , 	69 , 	26 , 	14 , 	50 , 	5 , 	163 , 	99 , 	227 , 	86 , 	35 , 	19 , 	17 , 	9 , 	17 , 	7 , 	2 , 	3 , 	8 , 	43 , 	6 , 	5 , 	123 , 	12 , 	4 , 	43 , 	-   ," 	1,387 ",,,Dtwn SF," 	1,298 ",,,,,,,
WC, 	12 , 	20 , 	14 , 	17 , 	49 , 	13 , 	30 , 	36 , 	40 , 	12 , 	18 , 	23 , 	7 , 	8 , 	11 , 	2 , 	7 , 	15 , 	159 , 	69 , 	7 , 	36 , 	16 , 	66 , 	8 , 	212 , 	146 , 	297 , 	137 , 	52 , 	35 , 	19 , 	13 , 	21 , 	7 , 	3 , 	3 , 	9 , 	107 , 	5 , 	8 , 	117 , 	16 , 	2 , 	42 , 	-   ," 	1,942 ",,,OAK," 	11,715 ", 	833 ,,,,,,
LF, 	4 , 	6 , 	5 , 	8 , 	29 , 	6 , 	20 , 	19 , 	17 , 	7 , 	8 , 	19 , 	5 , 	3 , 	2 , 	3 , 	2 , 	7 , 	54 , 	24 , 	41 , 	5 , 	6 , 	43 , 	4 , 	132 , 	69 , 	187 , 	95 , 	24 , 	16 , 	7 , 	2 , 	6 , 	4 , 	1 , 	1 , 	3 , 	18 , 	-   , 	3 , 	69 , 	6 , 	2 , 	26 , 	-   ," 	1,017 ",,,CM line," 	21,571 "," 	3,890 "," 	3,992 ",,,,,
OR, 	5 , 	5 , 	6 , 	6 , 	27 , 	4 , 	19 , 	14 , 	24 , 	5 , 	8 , 	9 , 	3 , 	6 , 	2 , 	-   , 	1 , 	4 , 	18 , 	15 , 	13 , 	8 , 	4 , 	38 , 	3 , 	85 , 	68 , 	149 , 	73 , 	19 , 	20 , 	11 , 	5 , 	9 , 	2 , 	1 , 	3 , 	1 , 	13 , 	2 , 	4 , 	54 , 	9 , 	0 , 	15 , 	-   , 	784 ,,,RM line," 	9,532 "," 	3,650 "," 	3,064 "," 	2,958 ",,,,
RR, 	10 , 	14 , 	25 , 	17 , 	35 , 	13 , 	51 , 	72 , 	60 , 	21 , 	32 , 	25 , 	9 , 	6 , 	7 , 	3 , 	5 , 	15 , 	31 , 	47 , 	59 , 	43 , 	45 , 	11 , 	16 , 	279 , 	163 , 	372 , 	281 , 	124 , 	92 , 	25 , 	19 , 	10 , 	4 , 	4 , 	8 , 	6 , 	21 , 	5 , 	8 , 	140 , 	23 , 	3 , 	39 , 	-   ," 	2,292 ",,,WP line," 	8,935 "," 	1,755 "," 	1,915 "," 	1,309 "," 	2,262 ",,,
OW, 	21 , 	20 , 	10 , 	9 , 	53 , 	30 , 	49 , 	40 , 	58 , 	24 , 	72 , 	51 , 	16 , 	24 , 	17 , 	6 , 	6 , 	10 , 	6 , 	4 , 	12 , 	3 , 	3 , 	15 , 	10 , 	330 , 	236 , 	598 , 	285 , 	195 , 	116 , 	28 , 	29 , 	23 , 	6 , 	6 , 	16 , 	0 , 	18 , 	5 , 	8 , 	64 , 	9 , 	6 , 	11 , 	-   ," 	2,552 ",,,FT/ED line," 	11,857 "," 	4,072 "," 	2,951 "," 	3,310 "," 	1,477 "," 	5,393 ",,
EM, 	93 , 	188 , 	122 , 	222 , 	411 , 	182 , 	291 , 	281 , 	263 , 	231 , 	245 , 	172 , 	131 , 	127 , 	74 , 	51 , 	87 , 	187 , 	147 , 	178 , 	226 , 	134 , 	106 , 	302 , 	393 , 	59 , 	23 , 	162 , 	91 , 	293 , 	373 , 	233 , 	329 , 	178 , 	79 , 	95 , 	312 , 	51 , 	124 , 	51 , 	69 , 	310 , 	138 , 	102 , 	104 , 	-   ," 	8,014 ",,,SFIA," 	6,942 ", 	906 ," 	3,644 "," 	1,375 "," 	1,544 ", 	877 , 	983 ," 	124,005 "
MT, 	76 , 	152 , 	89 , 	131 , 	246 , 	111 , 	200 , 	188 , 	230 , 	218 , 	218 , 	126 , 	100 , 	129 , 	48 , 	40 , 	81 , 	110 , 	89 , 	106 , 	152 , 	84 , 	64 , 	164 , 	289 , 	27 , 	30 , 	43 , 	61 , 	312 , 	338 , 	247 , 	662 , 	196 , 	77 , 	66 , 	128 , 	40 , 	99 , 	55 , 	58 , 	282 , 	100 , 	60 , 	61 , 	-   ," 	6,376 ",,,,,,,,,,,
PL, 	202 , 	400 , 	196 , 	237 , 	533 , 	223 , 	390 , 	348 , 	403 , 	378 , 	419 , 	260 , 	242 , 	274 , 	123 , 	94 , 	143 , 	274 , 	173 , 	192 , 	264 , 	164 , 	130 , 	306 , 	607 , 	169 , 	41 , 	122 , 	144 ," 	1,099 "," 	1,150 ", 	715 ," 	1,320 ", 	799 , 	246 , 	131 , 	360 , 	80 , 	238 , 	181 , 	208 , 	859 , 	383 , 	146 , 	96 , 	-   ," 	15,459 ",,,,,,,,,,,
CC, 	74 , 	113 , 	97 , 	167 , 	270 , 	178 , 	276 , 	248 , 	204 , 	177 , 	269 , 	118 , 	77 , 	77 , 	41 , 	29 , 	56 , 	123 , 	66 , 	74 , 	116 , 	83 , 	69 , 	223 , 	298 , 	83 , 	48 , 	142 , 	55 , 	407 , 	486 , 	282 , 	456 , 	239 , 	108 , 	53 , 	149 , 	25 , 	65 , 	76 , 	111 , 	454 , 	200 , 	48 , 	66 , 	-   ," 	7,071 ",,,,,,,,,,,
16, 	58 , 	71 , 	36 , 	82 , 	164 , 	142 , 	203 , 	182 , 	136 , 	129 , 	134 , 	60 , 	40 , 	43 , 	22 , 	22 , 	19 , 	47 , 	26 , 	29 , 	47 , 	27 , 	19 , 	104 , 	205 , 	302 , 	249 ," 	1,154 ", 	449 , 	39 , 	184 , 	214 , 	359 , 	169 , 	71 , 	19 , 	43 , 	7 , 	37 , 	46 , 	72 , 	227 , 	133 , 	16 , 	26 , 	-   ," 	5,856 ",,,,,,,,,,,
24, 	65 , 	62 , 	33 , 	65 , 	134 , 	97 , 	142 , 	127 , 	93 , 	99 , 	121 , 	74 , 	42 , 	33 , 	20 , 	21 , 	18 , 	29 , 	25 , 	23 , 	35 , 	18 , 	16 , 	80 , 	126 , 	381 , 	278 ," 	1,338 ", 	549 , 	161 , 	49 , 	168 , 	312 , 	153 , 	72 , 	18 , 	41 , 	10 , 	44 , 	44 , 	97 , 	208 , 	117 , 	13 , 	38 , 	-   ," 	5,682 ",,,,,,,,,,,
GP, 	21 , 	27 , 	12 , 	30 , 	51 , 	21 , 	34 , 	31 , 	30 , 	24 , 	31 , 	36 , 	12 , 	14 , 	6 , 	6 , 	6 , 	12 , 	17 , 	18 , 	23 , 	8 , 	8 , 	34 , 	30 , 	206 , 	169 , 	827 , 	262 , 	198 , 	165 , 	30 , 	41 , 	42 , 	31 , 	8 , 	20 , 	4 , 	23 , 	19 , 	47 , 	104 , 	58 , 	7 , 	14 , 	-   ," 	2,812 ",,,,,,,,,,,
