Exit stations,Entry stations->,,WEEKDAY,,,Jan 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	14 , 	133 , 	107 , 	129 , 	459 , 	117 , 	164 , 	165 , 	211 , 	52 , 	99 , 	76 , 	50 , 	38 , 	45 , 	22 , 	26 , 	39 , 	30 , 	13 , 	20 , 	10 , 	9 , 	20 , 	25 , 	310 , 	374 , 	474 , 	351 , 	186 , 	187 , 	38 , 	72 , 	62 , 	18 , 	8 , 	14 , 	8 , 	44 , 	12 , 	33 , 	42 , 	29 , 	8 , 	7 , 	-   ," 	4,351 ",,,Eastbay," 	87,180 ",,SF CBD," 	263,427 ",65.7%,,,
EN, 	149 , 	20 , 	119 , 	138 , 	966 , 	164 , 	294 , 	499 , 	634 , 	123 , 	148 , 	147 , 	69 , 	57 , 	91 , 	37 , 	44 , 	84 , 	39 , 	22 , 	50 , 	14 , 	14 , 	41 , 	45 , 	891 ," 	1,059 "," 	1,002 ", 	773 , 	240 , 	195 , 	78 , 	115 , 	103 , 	38 , 	11 , 	38 , 	9 , 	48 , 	30 , 	53 , 	89 , 	63 , 	17 , 	28 , 	-   ," 	8,888 ",,,Westbay," 	108,818 ",,non-CBD," 	128,694 ",32.1%,,,
EP, 	115 , 	104 , 	16 , 	72 , 	715 , 	94 , 	141 , 	299 , 	322 , 	77 , 	60 , 	53 , 	31 , 	19 , 	29 , 	10 , 	12 , 	51 , 	19 , 	18 , 	24 , 	13 , 	13 , 	38 , 	19 , 	539 , 	670 , 	427 , 	410 , 	110 , 	58 , 	34 , 	36 , 	43 , 	6 , 	8 , 	25 , 	5 , 	16 , 	9 , 	15 , 	57 , 	29 , 	11 , 	20 , 	-   ," 	4,891 ",,,Transbay," 	214,849 ",,,,,,,
NB, 	127 , 	123 , 	81 , 	21 , 	193 , 	84 , 	104 , 	249 , 	265 , 	76 , 	75 , 	66 , 	35 , 	24 , 	32 , 	12 , 	23 , 	37 , 	21 , 	19 , 	31 , 	13 , 	10 , 	24 , 	20 , 	699 , 	824 , 	459 , 	518 , 	165 , 	101 , 	44 , 	42 , 	33 , 	9 , 	9 , 	17 , 	9 , 	20 , 	7 , 	18 , 	89 , 	39 , 	9 , 	31 , 	-   ," 	4,907 ",,,,,,,,,,,
BK, 	500 , 	972 , 	743 , 	216 , 	36 , 	410 , 	471 , 	561 , 	557 , 	266 , 	327 , 	206 , 	173 , 	139 , 	158 , 	84 , 	131 , 	267 , 	145 , 	152 , 	152 , 	89 , 	58 , 	58 , 	108 , 	942 , 	974 , 	855 , 	780 , 	355 , 	287 , 	142 , 	102 , 	115 , 	36 , 	52 , 	109 , 	49 , 	116 , 	31 , 	40 , 	232 , 	150 , 	60 , 	105 , 	-   ," 	12,514 ",,,,,,,,,,,
AS, 	113 , 	140 , 	86 , 	86 , 	361 , 	24 , 	105 , 	264 , 	286 , 	81 , 	129 , 	88 , 	47 , 	38 , 	52 , 	26 , 	40 , 	69 , 	25 , 	22 , 	24 , 	10 , 	6 , 	16 , 	33 , 	712 , 	814 , 	514 , 	568 , 	272 , 	144 , 	40 , 	45 , 	41 , 	14 , 	14 , 	27 , 	6 , 	33 , 	10 , 	18 , 	65 , 	45 , 	11 , 	27 , 	-   ," 	5,591 ",,,,,,,,,,,
MA, 	169 , 	303 , 	127 , 	106 , 	425 , 	108 , 	30 , 	202 , 	270 , 	90 , 	192 , 	180 , 	122 , 	125 , 	147 , 	67 , 	86 , 	140 , 	146 , 	141 , 	119 , 	52 , 	41 , 	76 , 	80 ," 	1,023 "," 	1,195 ", 	924 , 	930 , 	407 , 	252 , 	89 , 	106 , 	89 , 	30 , 	28 , 	77 , 	53 , 	228 , 	21 , 	33 , 	102 , 	74 , 	29 , 	34 , 	-   ," 	9,266 ",,,,,,,,,,,
19, 	187 , 	495 , 	298 , 	254 , 	528 , 	268 , 	194 , 	40 , 	49 , 	51 , 	176 , 	185 , 	205 , 	190 , 	210 , 	158 , 	212 , 	350 , 	318 , 	334 , 	287 , 	164 , 	111 , 	180 , 	78 ," 	1,197 "," 	1,345 ", 	908 , 	970 , 	432 , 	296 , 	167 , 	137 , 	146 , 	73 , 	86 , 	211 , 	182 , 	277 , 	71 , 	53 , 	74 , 	134 , 	99 , 	34 , 	-   ," 	12,417 ",,,,,,,,,,,
12, 	221 , 	625 , 	308 , 	265 , 	500 , 	266 , 	263 , 	44 , 	44 , 	63 , 	261 , 	343 , 	336 , 	360 , 	318 , 	187 , 	253 , 	391 , 	357 , 	346 , 	268 , 	155 , 	115 , 	182 , 	112 ," 	1,179 "," 	1,242 ", 	980 , 	985 , 	367 , 	312 , 	184 , 	168 , 	170 , 	121 , 	123 , 	237 , 	179 , 	349 , 	88 , 	93 , 	115 , 	151 , 	130 , 	53 , 	-   ," 	13,808 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	52 , 	119 , 	80 , 	76 , 	256 , 	85 , 	87 , 	47 , 	53 , 	19 , 	185 , 	268 , 	283 , 	271 , 	191 , 	106 , 	125 , 	181 , 	43 , 	24 , 	37 , 	13 , 	11 , 	40 , 	54 , 	821 , 	942 , 	725 , 	611 , 	251 , 	146 , 	63 , 	92 , 	87 , 	11 , 	114 , 	192 , 	26 , 	62 , 	12 , 	18 , 	33 , 	23 , 	85 , 	24 , 	-   ," 	7,043 ",,,Dtwn SF,"5,241","20,734","33,481","14,954","22,907","26,425","10,704","134,446"
