Muni Fast Pass Adult/Clipper OD,,,,,,Mar 12,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,45,27,85,119,415,763,654,933,"3,040"
MT,32,46,53,106,503,998,924,"1,699","4,363"
PL,134,87,38,69,422,640,482,"1,355","3,227"
CC,88,88,69,28,254,441,348,856,"2,172"
16,354,412,501,271,16,166,164,417,"2,300"
24,597,731,754,447,181,22,130,426,"3,289"
GP,571,692,601,324,163,148,18,98,"2,614"
BP,800,984,"1,809",799,397,458,96,50,"5,392"
Entries,"2,620","3,068","3,911","2,163","2,349","3,636","2,815","5,833","26,396"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,6,38,30,136,187,109,260,787
MT,6,17,20,21,164,254,202,747,"1,431"
PL,47,23,42,40,364,525,371,990,"2,403"
CC,18,13,35,25,174,236,135,306,941
16,125,91,395,173,21,143,103,236,"1,287"
24,164,146,584,234,146,24,93,230,"1,621"
GP,94,120,444,128,97,105,15,42,"1,045"
BP,235,283,"1,268",256,213,227,38,37,"2,558"
Entries,710,699,"2,827",906,"1,316","1,703","1,066","2,848","12,074"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,4,16,20,80,111,68,155,473
MT,6,14,9,10,98,152,134,468,891
PL,24,11,47,17,251,366,276,670,"1,661"
CC,12,6,24,29,136,166,101,235,708
16,84,52,304,142,22,100,71,168,943
24,122,90,445,191,113,27,71,157,"1,216"
GP,63,91,361,102,77,76,17,25,811
BP,163,169,991,203,163,179,24,26,"1,916"
Entries,493,437,"2,197",713,938,"1,176",761,"1,903","8,618"
