Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Feb-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	6 , 	67 , 	43 , 	39 , 	171 , 	58 , 	60 , 	30 , 	57 , 	19 , 	74 , 	61 , 	12 , 	17 , 	12 , 	7 , 	7 , 	11 , 	19 , 	5 , 	12 , 	3 , 	2 , 	8 , 	17 , 	48 , 	50 , 	166 , 	66 , 	58 , 	70 , 	10 , 	24 , 	10 , 	15 , 	2 , 	6 , 	5 , 	16 ," 	1,356 ",,,Eastbay," 	22,781 ",,SF CBD," 	57,753 ",63.0%,,
EN, 	76 , 	10 , 	38 , 	39 , 	284 , 	72 , 	70 , 	46 , 	102 , 	25 , 	54 , 	64 , 	21 , 	21 , 	22 , 	10 , 	12 , 	27 , 	16 , 	10 , 	10 , 	6 , 	4 , 	12 , 	13 , 	143 , 	119 , 	343 , 	116 , 	38 , 	58 , 	21 , 	30 , 	33 , 	30 , 	3 , 	4 , 	2 , 	17 ," 	2,017 ",,,Westbay," 	26,462 ",,non-CBD," 	33,951 ",37.0%,,
EP, 	50 , 	26 , 	5 , 	17 , 	230 , 	39 , 	21 , 	27 , 	36 , 	15 , 	22 , 	31 , 	7 , 	6 , 	8 , 	4 , 	6 , 	15 , 	6 , 	4 , 	10 , 	5 , 	4 , 	8 , 	4 , 	76 , 	71 , 	176 , 	71 , 	27 , 	15 , 	9 , 	9 , 	13 , 	9 , 	2 , 	7 , 	2 , 	4 ," 	1,099 ",,,Transbay," 	42,460 ",,,,,,
NB, 	33 , 	42 , 	16 , 	6 , 	73 , 	31 , 	30 , 	30 , 	57 , 	17 , 	31 , 	38 , 	9 , 	9 , 	10 , 	11 , 	8 , 	15 , 	8 , 	5 , 	9 , 	3 , 	2 , 	7 , 	7 , 	88 , 	96 , 	234 , 	126 , 	35 , 	39 , 	11 , 	8 , 	12 , 	13 , 	3 , 	5 , 	1 , 	5 ," 	1,180 ",,,,,,,,,,
BK, 	180 , 	263 , 	206 , 	68 , 	13 , 	195 , 	117 , 	136 , 	227 , 	59 , 	131 , 	120 , 	41 , 	46 , 	47 , 	14 , 	45 , 	122 , 	25 , 	28 , 	36 , 	18 , 	10 , 	27 , 	34 , 	201 , 	217 , 	643 , 	263 , 	98 , 	81 , 	29 , 	19 , 	42 , 	44 , 	14 , 	36 , 	6 , 	24 ," 	3,920 ",,,Extensions," 	11,208 ",,,,,,
AS, 	56 , 	62 , 	44 , 	26 , 	171 , 	5 , 	58 , 	51 , 	73 , 	33 , 	67 , 	57 , 	19 , 	19 , 	14 , 	7 , 	9 , 	18 , 	5 , 	5 , 	11 , 	2 , 	4 , 	10 , 	27 , 	77 , 	98 , 	204 , 	133 , 	46 , 	44 , 	12 , 	13 , 	10 , 	12 , 	4 , 	12 , 	1 , 	6 ," 	1,521 ",,,,,,,,,,
MA, 	50 , 	66 , 	22 , 	30 , 	125 , 	52 , 	5 , 	24 , 	52 , 	11 , 	70 , 	83 , 	29 , 	35 , 	21 , 	10 , 	13 , 	24 , 	18 , 	16 , 	20 , 	10 , 	6 , 	23 , 	30 , 	144 , 	143 , 	320 , 	201 , 	67 , 	55 , 	19 , 	12 , 	16 , 	22 , 	2 , 	9 , 	3 , 	29 ," 	1,881 ",,,,,,,,,,
19, 	38 , 	38 , 	18 , 	33 , 	121 , 	50 , 	23 , 	6 , 	31 , 	12 , 	44 , 	50 , 	23 , 	29 , 	26 , 	5 , 	10 , 	24 , 	22 , 	16 , 	20 , 	9 , 	4 , 	29 , 	15 , 	82 , 	85 , 	212 , 	136 , 	47 , 	34 , 	13 , 	9 , 	12 , 	15 , 	4 , 	10 , 	5 , 	19 ," 	1,379 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	51 , 	86 , 	40 , 	45 , 	182 , 	70 , 	46 , 	20 , 	12 , 	26 , 	90 , 	115 , 	53 , 	79 , 	50 , 	17 , 	39 , 	56 , 	40 , 	26 , 	28 , 	20 , 	15 , 	40 , 	41 , 	163 , 	187 , 	512 , 	201 , 	67 , 	56 , 	26 , 	50 , 	37 , 	45 , 	5 , 	15 , 	8 , 	33 ," 	2,688 ",,,Dtwn SF," 	1,164 "," 	3,949 "," 	10,730 "," 	4,175 "," 	4,145 "," 	5,682 "," 	29,845 "
LM, 	19 , 	21 , 	14 , 	20 , 	55 , 	28 , 	13 , 	11 , 	21 , 	4 , 	65 , 	56 , 	54 , 	53 , 	23 , 	16 , 	29 , 	34 , 	7 , 	4 , 	7 , 	6 , 	2 , 	8 , 	14 , 	99 , 	107 , 	274 , 	101 , 	33 , 	28 , 	14 , 	19 , 	13 , 	7 , 	15 , 	30 , 	0 , 	3 ," 	1,322 ",,,OAK," 	3,676 ", 	503 , 	823 ," 	1,378 ", 	522 ," 	1,567 "," 	8,468 "
FV, 	74 , 	62 , 	26 , 	30 , 	125 , 	72 , 	70 , 	54 , 	96 , 	63 , 	15 , 	140 , 	104 , 	136 , 	113 , 	39 , 	44 , 	56 , 	24 , 	8 , 	19 , 	12 , 	12 , 	21 , 	62 , 	155 , 	138 , 	440 , 	168 , 	108 , 	119 , 	20 , 	38 , 	28 , 	19 , 	22 , 	56 , 	5 , 	24 ," 	2,813 ",,,CM line," 	10,865 ", 	855 ," 	3,704 ", 	949 , 	732 ," 	1,128 "," 	18,231 "
