Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Feb-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
BF, 	19 , 	28 , 	8 , 	12 , 	105 , 	26 , 	47 , 	57 , 	124 , 	97 , 	190 , 	154 , 	79 , 	8 , 	110 , 	61 , 	74 , 	108 , 	10 , 	7 , 	7 , 	5 , 	3 , 	11 , 	36 , 	120 , 	166 , 	338 , 	104 , 	24 , 	38 , 	10 , 	19 , 	23 , 	15 , 	38 , 	110 , 	2 , 	11 ," 	2,399 ",,,FT/ED line," 	8,026 "," 	2,438 "," 	1,511 "," 	2,450 ", 	759 ," 	6,875 "," 	22,059 "
HY, 	26 , 	37 , 	9 , 	15 , 	92 , 	15 , 	42 , 	35 , 	85 , 	34 , 	157 , 	128 , 	103 , 	113 , 	13 , 	87 , 	100 , 	163 , 	14 , 	11 , 	6 , 	3 , 	3 , 	6 , 	24 , 	73 , 	96 , 	214 , 	76 , 	19 , 	40 , 	11 , 	12 , 	17 , 	13 , 	16 , 	43 , 	1 , 	15 ," 	1,961 ",,,Entries," 	45,330 "," 	13,535 "," 	26,763 "," 	18,496 "," 	12,398 "," 	22,091 "," 	138,613 "
SH, 	8 , 	16 , 	3 , 	4 , 	51 , 	8 , 	14 , 	18 , 	35 , 	23 , 	56 , 	80 , 	46 , 	59 , 	80 , 	6 , 	59 , 	92 , 	7 , 	2 , 	2 , 	3 , 	1 , 	3 , 	10 , 	52 , 	62 , 	162 , 	40 , 	11 , 	25 , 	9 , 	17 , 	14 , 	8 , 	7 , 	24 , 	3 , 	8 ," 	1,124 ",,,,,,,,,,
UC, 	11 , 	21 , 	11 , 	18 , 	81 , 	14 , 	19 , 	29 , 	62 , 	29 , 	69 , 	60 , 	37 , 	77 , 	107 , 	62 , 	12 , 	116 , 	10 , 	6 , 	8 , 	2 , 	0 , 	5 , 	6 , 	85 , 	132 , 	282 , 	69 , 	18 , 	20 , 	9 , 	14 , 	24 , 	7 , 	8 , 	20 , 	2 , 	12 ," 	1,567 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	16 , 	46 , 	21 , 	27 , 	193 , 	26 , 	30 , 	49 , 	93 , 	45 , 	76 , 	98 , 	57 , 	106 , 	150 , 	99 , 	106 , 	26 , 	28 , 	16 , 	17 , 	4 , 	4 , 	19 , 	7 , 	169 , 	325 , 	645 , 	167 , 	24 , 	27 , 	13 , 	19 , 	32 , 	16 , 	10 , 	40 , 	5 , 	22 ," 	2,870 ",,,Dtwn SF," 	2,012 ",,,,,,
CN, 	22 , 	21 , 	10 , 	6 , 	41 , 	10 , 	34 , 	30 , 	62 , 	11 , 	38 , 	39 , 	9 , 	9 , 	15 , 	8 , 	13 , 	20 , 	19 , 	114 , 	288 , 	75 , 	33 , 	40 , 	5 , 	133 , 	131 , 	335 , 	100 , 	37 , 	56 , 	26 , 	24 , 	34 , 	34 , 	4 , 	7 , 	25 , 	191 ," 	2,108 ",,,OAK," 	11,781 ", 	753 ,,,,,
PH, 	10 , 	13 , 	6 , 	6 , 	45 , 	9 , 	20 , 	25 , 	47 , 	5 , 	18 , 	31 , 	5 , 	8 , 	10 , 	4 , 	7 , 	14 , 	84 , 	10 , 	96 , 	18 , 	17 , 	38 , 	5 , 	186 , 	212 , 	408 , 	142 , 	22 , 	37 , 	14 , 	11 , 	26 , 	24 , 	2 , 	2 , 	10 , 	52 ," 	1,692 ",,,CM line," 	32,610 "," 	2,514 "," 	5,313 ",,,,
WC, 	16 , 	17 , 	16 , 	11 , 	75 , 	18 , 	34 , 	31 , 	65 , 	11 , 	23 , 	35 , 	7 , 	6 , 	6 , 	3 , 	6 , 	15 , 	395 , 	108 , 	9 , 	54 , 	17 , 	67 , 	3 , 	179 , 	243 , 	472 , 	193 , 	22 , 	28 , 	17 , 	13 , 	30 , 	29 , 	2 , 	4 , 	33 , 	86 ," 	2,396 ",,,RM line," 	13,983 "," 	4,453 "," 	3,177 "," 	4,328 ",,,
LF, 	4 , 	10 , 	4 , 	6 , 	35 , 	4 , 	11 , 	18 , 	42 , 	4 , 	12 , 	14 , 	5 , 	4 , 	3 , 	3 , 	2 , 	2 , 	84 , 	29 , 	54 , 	4 , 	13 , 	38 , 	2 , 	98 , 	136 , 	272 , 	120 , 	15 , 	11 , 	6 , 	5 , 	8 , 	10 , 	1 , 	2 , 	3 , 	11 ," 	1,101 ",,,WP line," 	12,496 "," 	1,606 "," 	1,935 "," 	1,450 "," 	2,926 ",,
OR, 	4 , 	8 , 	6 , 	2 , 	32 , 	6 , 	12 , 	12 , 	28 , 	4 , 	18 , 	16 , 	2 , 	1 , 	3 , 	1 , 	1 , 	4 , 	35 , 	15 , 	20 , 	9 , 	4 , 	37 , 	4 , 	96 , 	131 , 	233 , 	95 , 	11 , 	11 , 	6 , 	5 , 	6 , 	14 , 	1 , 	0 , 	3 , 	6 , 	898 ,,,FT/ED line," 	16,403 "," 	4,818 "," 	2,982 "," 	4,663 "," 	1,533 "," 	6,875 "," 	138,613 "
