Muni Fast Pass Adult/Translink OD,,,,,,Jul 10,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,41,26,101,128,466,834,678,"1,031","3,306"
MT,31,31,59,112,532,"1,017",886,"1,606","4,273"
PL,157,90,46,81,458,761,492,"1,255","3,340"
CC,97,99,91,31,286,471,367,835,"2,276"
16,412,427,577,315,17,144,160,370,"2,421"
24,627,746,898,459,140,28,120,293,"3,312"
GP,594,651,660,343,154,130,24,67,"2,624"
BP,859,940,"1,780",715,336,302,72,34,"5,038"
Entries,"2,818","3,011","4,212","2,185","2,389","3,686","2,798","5,491","26,590"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,6,36,29,170,225,128,278,893
MT,7,11,14,18,161,235,204,735,"1,385"
PL,44,14,46,43,389,620,405,"1,015","2,577"
CC,21,16,41,20,185,257,133,301,974
16,135,103,463,205,16,109,120,249,"1,402"
24,172,146,692,249,94,27,91,239,"1,712"
GP,109,101,506,115,100,95,19,40,"1,086"
BP,220,255,"1,392",262,212,207,37,22,"2,606"
Entries,728,652,"3,191",943,"1,328","1,776","1,137","2,878","12,633"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,4,23,22,116,160,93,195,635
MT,4,8,10,11,112,149,126,453,872
PL,25,7,54,31,259,411,269,705,"1,760"
CC,15,9,33,31,174,201,107,267,836
16,115,65,338,161,25,83,79,189,"1,055"
24,142,101,506,210,70,33,66,169,"1,296"
GP,87,73,388,102,70,59,14,23,814
BP,175,151,"1,101",228,168,156,28,26,"2,032"
Entries,585,416,"2,454",795,993,"1,251",780,"2,026","9,299"
