Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Aug 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
SL, 	123 , 	94 , 	20 , 	19 , 	152 , 	51 , 	90 , 	174 , 	275 , 	167 , 	257 , 	182 , 	6 , 	121 , 	184 , 	90 , 	73 , 	111 , 	37 , 	20 , 	24 , 	6 , 	6 , 	17 , 	24 , 	561 , 	573 , 	439 , 	313 , 	53 , 	63 , 	35 , 	49 , 	40 , 	26 , 	35 , 	97 , 	7 , 	29 ," 	4,645 ",,,WP line," 	17,806 "," 	3,886 "," 	2,038 "," 	1,497 "," 	6,127 "," 	1,670 "," 	33,024 ",
BF, 	36 , 	35 , 	16 , 	13 , 	131 , 	41 , 	80 , 	173 , 	325 , 	177 , 	228 , 	224 , 	130 , 	8 , 	147 , 	112 , 	126 , 	222 , 	27 , 	16 , 	20 , 	5 , 	6 , 	15 , 	41 , 	489 , 	493 , 	381 , 	253 , 	55 , 	66 , 	27 , 	28 , 	46 , 	29 , 	49 , 	245 , 	5 , 	17 ," 	4,535 ",,,FT/ED line," 	18,371 "," 	6,687 "," 	2,784 "," 	4,393 "," 	1,644 "," 	13,351 "," 	47,230 ",
HY, 	117 , 	82 , 	23 , 	26 , 	130 , 	43 , 	89 , 	178 , 	232 , 	93 , 	281 , 	233 , 	200 , 	154 , 	10 , 	131 , 	218 , 	363 , 	31 , 	21 , 	16 , 	6 , 	7 , 	13 , 	27 , 	380 , 	305 , 	290 , 	206 , 	44 , 	51 , 	26 , 	25 , 	29 , 	19 , 	20 , 	95 , 	6 , 	26 ," 	4,243 ",,,Entries," 	97,000 "," 	33,749 "," 	51,554 "," 	33,197 "," 	32,906 "," 	48,067 "," 	296,473 ",
SH, 	72 , 	102 , 	8 , 	6 , 	113 , 	100 , 	34 , 	81 , 	215 , 	93 , 	223 , 	187 , 	67 , 	85 , 	172 , 	67 , 	67 , 	150 , 	13 , 	16 , 	18 , 	2 , 	3 , 	9 , 	24 , 	183 , 	168 , 	157 , 	118 , 	26 , 	33 , 	9 , 	13 , 	21 , 	8 , 	12 , 	41 , 	2 , 	12 ," 	2,731 ",,,,,,,,,,,
UC, 	23 , 	45 , 	18 , 	17 , 	158 , 	28 , 	57 , 	172 , 	244 , 	112 , 	116 , 	160 , 	80 , 	137 , 	244 , 	103 , 	12 , 	199 , 	26 , 	25 , 	16 , 	3 , 	4 , 	9 , 	15 , 	526 , 	444 , 	344 , 	223 , 	30 , 	35 , 	18 , 	25 , 	30 , 	12 , 	16 , 	54 , 	6 , 	18 ," 	3,810 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,,
FM, 	30 , 	82 , 	43 , 	35 , 	330 , 	54 , 	85 , 	270 , 	362 , 	129 , 	152 , 	245 , 	116 , 	235 , 	376 , 	185 , 	200 , 	28 , 	27 , 	29 , 	26 , 	7 , 	13 , 	27 , 	18 , 	789 , 	712 , 	540 , 	288 , 	39 , 	44 , 	29 , 	27 , 	54 , 	19 , 	25 , 	90 , 	5 , 	38 ," 	5,805 ",,,Dtwn SF," 	4,140 ",,,,,,,
CN, 	38 , 	50 , 	33 , 	19 , 	119 , 	24 , 	100 , 	217 , 	301 , 	22 , 	54 , 	99 , 	38 , 	30 , 	34 , 	19 , 	25 , 	29 , 	86 , 	158 , 	507 , 	110 , 	57 , 	106 , 	19 , 	700 , 	705 , 	424 , 	352 , 	62 , 	91 , 	46 , 	47 , 	73 , 	67 , 	4 , 	15 , 	81 , 	461 ," 	5,420 ",,,OAK," 	26,405 "," 	1,503 ",,,,,,
PH, 	24 , 	31 , 	21 , 	23 , 	154 , 	23 , 	89 , 	267 , 	392 , 	20 , 	28 , 	84 , 	22 , 	14 , 	22 , 	14 , 	25 , 	29 , 	173 , 	13 , 	135 , 	68 , 	36 , 	113 , 	8 ," 	1,401 "," 	1,285 ", 	513 , 	416 , 	50 , 	58 , 	55 , 	45 , 	78 , 	77 , 	4 , 	7 , 	42 , 	167 ," 	6,024 ",,,CM line," 	64,828 "," 	5,926 "," 	8,027 ",,,,,
WC, 	30 , 	35 , 	29 , 	24 , 	141 , 	21 , 	91 , 	207 , 	306 , 	18 , 	34 , 	90 , 	26 , 	23 , 	18 , 	17 , 	16 , 	27 , 	599 , 	138 , 	11 , 	71 , 	45 , 	155 , 	19 ," 	1,072 "," 	1,002 ", 	504 , 	329 , 	47 , 	58 , 	50 , 	32 , 	52 , 	57 , 	5 , 	8 , 	79 , 	225 ," 	5,713 ",,,RM line," 	24,463 "," 	10,471 "," 	5,122 "," 	7,155 ",,,,
LF, 	9 , 	12 , 	9 , 	7 , 	75 , 	9 , 	31 , 	112 , 	185 , 	6 , 	29 , 	45 , 	5 , 	3 , 	6 , 	2 , 	3 , 	8 , 	138 , 	78 , 	88 , 	5 , 	19 , 	70 , 	3 , 	751 , 	617 , 	268 , 	162 , 	19 , 	26 , 	19 , 	8 , 	17 , 	18 , 	2 , 	5 , 	16 , 	31 ," 	2,916 ",,,WP line," 	35,796 "," 	7,643 "," 	4,016 "," 	2,906 "," 	6,127 ",,,
