Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Aug 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	6 , 	73 , 	64 , 	35 , 	167 , 	73 , 	58 , 	33 , 	60 , 	22 , 	70 , 	70 , 	16 , 	17 , 	15 , 	8 , 	11 , 	21 , 	18 , 	5 , 	9 , 	4 , 	3 , 	11 , 	14 , 	50 , 	53 , 	165 , 	77 , 	65 , 	80 , 	9 , 	24 , 	14 , 	28 , 	1 , 	8 , 	2 , 	20 ," 	1,483 ",,,Eastbay," 	26,592 ",,SF CBD," 	57,452 ",59.9%,,
EN, 	74 , 	10 , 	46 , 	39 , 	283 , 	92 , 	59 , 	43 , 	87 , 	26 , 	61 , 	153 , 	21 , 	23 , 	15 , 	9 , 	16 , 	29 , 	14 , 	7 , 	8 , 	3 , 	3 , 	12 , 	14 , 	141 , 	97 , 	293 , 	111 , 	33 , 	58 , 	22 , 	28 , 	29 , 	33 , 	5 , 	8 , 	2 , 	16 ," 	2,022 ",,,Westbay," 	25,207 ",,non-CBD," 	38,439 ",40.1%,,
EP, 	59 , 	48 , 	6 , 	24 , 	194 , 	37 , 	31 , 	23 , 	58 , 	13 , 	28 , 	80 , 	8 , 	8 , 	7 , 	5 , 	9 , 	21 , 	7 , 	7 , 	8 , 	4 , 	3 , 	10 , 	4 , 	77 , 	67 , 	171 , 	73 , 	14 , 	18 , 	10 , 	7 , 	11 , 	15 , 	3 , 	6 , 	1 , 	4 ," 	1,175 ",,,Transbay," 	44,093 ",,,,,,
NB, 	36 , 	44 , 	25 , 	6 , 	71 , 	29 , 	32 , 	30 , 	58 , 	22 , 	27 , 	92 , 	9 , 	9 , 	10 , 	3 , 	5 , 	16 , 	5 , 	8 , 	11 , 	6 , 	5 , 	8 , 	6 , 	110 , 	99 , 	207 , 	113 , 	36 , 	40 , 	10 , 	7 , 	9 , 	11 , 	3 , 	4 , 	1 , 	5 ," 	1,225 ",,,,,,,,,,
BK, 	177 , 	288 , 	186 , 	72 , 	13 , 	154 , 	94 , 	131 , 	233 , 	67 , 	109 , 	219 , 	51 , 	38 , 	57 , 	18 , 	37 , 	123 , 	27 , 	20 , 	36 , 	14 , 	16 , 	18 , 	26 , 	255 , 	217 , 	697 , 	284 , 	100 , 	79 , 	34 , 	26 , 	52 , 	55 , 	15 , 	45 , 	5 , 	22 ," 	4,101 ",,,Extensions," 	13,246 ",,,,,,
AS, 	65 , 	83 , 	45 , 	35 , 	122 , 	8 , 	50 , 	58 , 	78 , 	38 , 	66 , 	120 , 	18 , 	21 , 	22 , 	9 , 	10 , 	26 , 	7 , 	5 , 	10 , 	5 , 	2 , 	8 , 	25 , 	78 , 	76 , 	204 , 	127 , 	54 , 	59 , 	11 , 	8 , 	19 , 	17 , 	4 , 	8 , 	2 , 	7 ," 	1,607 ",,,,,,,,,,
MA, 	52 , 	56 , 	30 , 	26 , 	95 , 	53 , 	6 , 	30 , 	50 , 	17 , 	61 , 	127 , 	26 , 	21 , 	22 , 	10 , 	13 , 	23 , 	20 , 	15 , 	16 , 	10 , 	7 , 	12 , 	23 , 	132 , 	126 , 	305 , 	163 , 	72 , 	60 , 	17 , 	17 , 	19 , 	25 , 	4 , 	10 , 	2 , 	43 ," 	1,810 ",,,,,,,,,,
19, 	29 , 	35 , 	20 , 	30 , 	112 , 	54 , 	23 , 	3 , 	18 , 	8 , 	39 , 	66 , 	18 , 	18 , 	19 , 	9 , 	12 , 	20 , 	24 , 	10 , 	20 , 	10 , 	5 , 	23 , 	11 , 	76 , 	74 , 	169 , 	139 , 	41 , 	36 , 	13 , 	8 , 	11 , 	16 , 	1 , 	7 , 	4 , 	13 ," 	1,241 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	53 , 	79 , 	53 , 	47 , 	183 , 	77 , 	47 , 	18 , 	8 , 	15 , 	64 , 	121 , 	67 , 	71 , 	55 , 	23 , 	44 , 	79 , 	40 , 	30 , 	45 , 	24 , 	13 , 	41 , 	30 , 	184 , 	203 , 	507 , 	209 , 	55 , 	58 , 	34 , 	40 , 	44 , 	46 , 	5 , 	19 , 	11 , 	40 ," 	2,782 ",,,Dtwn SF," 	1,176 "," 	3,898 "," 	10,441 "," 	4,232 "," 	4,134 "," 	6,231 "," 	30,111 "
LM, 	19 , 	22 , 	13 , 	18 , 	66 , 	33 , 	16 , 	8 , 	17 , 	5 , 	63 , 	108 , 	73 , 	65 , 	29 , 	21 , 	39 , 	51 , 	4 , 	6 , 	8 , 	4 , 	1 , 	10 , 	17 , 	91 , 	107 , 	280 , 	114 , 	44 , 	46 , 	28 , 	20 , 	17 , 	7 , 	24 , 	42 , 	2 , 	5 ," 	1,539 ",,,OAK," 	3,538 ", 	440 , 	891 ," 	1,353 ", 	540 ," 	1,735 "," 	8,498 "
FV, 	68 , 	63 , 	29 , 	27 , 	107 , 	67 , 	57 , 	43 , 	67 , 	56 , 	17 , 	170 , 	99 , 	142 , 	112 , 	39 , 	43 , 	65 , 	29 , 	15 , 	14 , 	8 , 	10 , 	22 , 	58 , 	149 , 	118 , 	374 , 	145 , 	90 , 	112 , 	19 , 	28 , 	30 , 	18 , 	33 , 	54 , 	2 , 	25 ," 	2,616 ",,,CM line," 	10,113 ", 	885 ," 	3,478 "," 	1,031 ", 	825 ," 	1,396 "," 	17,728 "
CL, 	66 , 	143 , 	67 , 	79 , 	143 , 	96 , 	119 , 	77 , 	160 , 	99 , 	165 , 	9 , 	157 , 	201 , 	166 , 	87 , 	107 , 	241 , 	84 , 	90 , 	80 , 	49 , 	37 , 	53 , 	48 , 	243 , 	158 , 	582 , 	230 , 	89 , 	92 , 	45 , 	39 , 	81 , 	41 , 	109 , 	392 , 	34 , 	91 ," 	4,848 ",,,RM line," 	3,841 "," 	1,492 "," 	1,123 "," 	2,785 ", 	429 ," 	1,942 "," 	11,613 "
