Fast Pass Adjusted OD,,,,,,Aug 02,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,71,42,137,150,490,944,774,"1,148","3,757"
MT,37,53,76,113,696,"1,179","1,059","2,016","5,228"
PL,198,110,95,102,705,"1,068",715,"1,618","4,611"
CC,128,119,124,63,421,690,511,"1,238","3,294"
16,396,552,774,430,32,170,169,450,"2,973"
24,738,930,"1,128",670,173,41,166,407,"4,254"
GP,705,854,867,429,180,167,25,90,"3,316"
BP,991,"1,287","2,317","1,129",435,435,91,35,"6,718"
Entries,"3,265","3,946","5,518","3,085","3,131","4,695","3,510","7,001","34,151"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,6,46,29,166,227,95,202,787
MT,7,22,21,23,293,329,301,918,"1,913"
PL,42,22,68,45,535,802,474,"1,040","3,028"
CC,23,25,47,42,287,393,186,474,"1,478"
16,118,173,585,294,23,118,105,237,"1,652"
24,165,213,795,372,107,41,97,216,"2,008"
GP,96,140,584,159,87,86,19,37,"1,208"
BP,169,308,"1,589",414,230,227,38,36,"3,010"
Entries,637,908,"3,734","1,378","1,728","2,223","1,316","3,159","15,084"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,6,27,21,104,161,67,137,541
MT,4,21,18,18,178,222,194,620,"1,272"
PL,24,11,79,28,394,616,309,705,"2,167"
CC,17,16,43,44,252,310,125,330,"1,139"
16,96,115,421,236,24,85,65,159,"1,201"
24,143,147,593,322,86,44,72,166,"1,572"
GP,66,96,441,111,50,52,15,21,851
BP,131,184,"1,214",294,151,152,27,25,"2,179"
Entries,501,595,"2,836","1,074","1,239","1,642",873,"2,163","10,921"
