Fast Pass Adjusted OD,,,,,,,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,59,52,151,153,558,"1,022",735,"1,038","3,768"
MT,49,55,91,137,817,"1,504","1,152","1,903","5,708"
PL,196,112,77,94,744,"1,085",615,"1,400","4,325"
CC,134,148,118,75,436,785,504,"1,169","3,368"
16,532,747,954,439,45,252,199,525,"3,694"
24,966,"1,304","1,294",697,237,60,160,418,"5,136"
GP,788,996,868,451,192,165,28,114,"3,602"
BP,"1,015","1,467","2,169","1,030",464,466,110,66,"6,787"
Entries,"3,739","4,879","5,722","3,077","3,494","5,340","3,504","6,634","36,388"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,7,46,27,165,225,83,170,737
MT,7,19,24,28,268,327,225,610,"1,507"
PL,40,26,65,48,639,893,466,932,"3,110"
CC,28,30,55,47,301,493,198,414,"1,566"
16,148,221,741,307,44,196,139,280,"2,076"
24,211,301,"1,016",471,183,62,109,289,"2,642"
GP,95,160,629,159,102,96,27,49,"1,316"
BP,168,332,"1,570",410,253,288,52,34,"3,105"
Entries,711,"1,095","4,145","1,495","1,955","2,580","1,299","2,777","16,058"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,5,27,16,109,132,54,100,456
MT,4,18,14,17,128,170,133,383,867
PL,27,16,70,40,457,598,294,619,"2,120"
CC,20,19,47,50,240,348,134,305,"1,163"
16,115,123,519,213,60,123,72,149,"1,374"
24,140,171,708,300,122,58,64,180,"1,741"
GP,67,76,493,118,62,51,16,27,908
BP,113,187,"1,217",270,158,181,30,28,"2,184"
Entries,500,614,"3,095","1,024","1,335","1,661",796,"1,790","10,814"
