Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jan-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	15 , 	24 , 	7 , 	5 , 	39 , 	20 , 	26 , 	25 , 	73 , 	91 , 	92 , 	390 , 	5 , 	62 , 	69 , 	22 , 	21 , 	42 , 	8 , 	3 , 	8 , 	3 , 	1 , 	4 , 	11 , 	67 , 	56 , 	190 , 	79 , 	14 , 	22 , 	12 , 	15 , 	12 , 	13 , 	16 , 	34 , 	2 , 	10 ," 	1,609 ",,,WP line," 	3,236 ", 	624 , 	754 , 	462 ," 	1,983 "," 	1,224 "," 	8,283 "
BF, 	14 , 	22 , 	4 , 	10 , 	44 , 	22 , 	37 , 	35 , 	79 , 	88 , 	156 , 	369 , 	62 , 	7 , 	70 , 	53 , 	53 , 	74 , 	8 , 	8 , 	2 , 	3 , 	1 , 	7 , 	23 , 	62 , 	56 , 	171 , 	77 , 	20 , 	24 , 	10 , 	11 , 	16 , 	12 , 	29 , 	83 , 	4 , 	10 ," 	1,832 ",,,FT/ED line," 	4,709 "," 	2,225 "," 	1,307 "," 	1,853 "," 	1,232 "," 	8,570 "," 	19,896 "
HY, 	18 , 	23 , 	9 , 	12 , 	34 , 	12 , 	27 , 	24 , 	50 , 	27 , 	118 , 	231 , 	70 , 	74 , 	10 , 	68 , 	68 , 	111 , 	10 , 	6 , 	4 , 	4 , 	0 , 	4 , 	9 , 	37 , 	31 , 	96 , 	44 , 	13 , 	20 , 	7 , 	12 , 	11 , 	13 , 	13 , 	28 , 	3 , 	15 ," 	1,362 ",,,Entries," 	26,309 "," 	9,386 "," 	17,414 "," 	10,888 "," 	8,152 "," 	19,740 "," 	91,889 "
SH, 	12 , 	11 , 	5 , 	4 , 	21 , 	8 , 	11 , 	8 , 	27 , 	21 , 	38 , 	137 , 	29 , 	54 , 	68 , 	5 , 	46 , 	71 , 	5 , 	6 , 	2 , 	1 , 	0 , 	2 , 	2 , 	25 , 	22 , 	78 , 	23 , 	12 , 	11 , 	3 , 	9 , 	7 , 	6 , 	6 , 	16 , 	4 , 	11 , 	823 ,,,,,,,,,,
UC, 	12 , 	13 , 	7 , 	6 , 	34 , 	12 , 	19 , 	10 , 	39 , 	34 , 	54 , 	220 , 	28 , 	71 , 	83 , 	44 , 	6 , 	86 , 	9 , 	7 , 	7 , 	2 , 	2 , 	3 , 	4 , 	41 , 	39 , 	142 , 	51 , 	8 , 	15 , 	7 , 	10 , 	13 , 	8 , 	5 , 	15 , 	1 , 	7 ," 	1,170 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	29 , 	24 , 	29 , 	11 , 	89 , 	13 , 	27 , 	10 , 	95 , 	35 , 	118 , 	85 , 	73 , 	51 , 	144 , 	48 , 	77 , 	8 , 	10 , 	17 , 	5 , 	6 , 	3 , 	10 , 	2 , 	121 , 	48 , 	327 , 	75 , 	23 , 	9 , 	17 , 	9 , 	20 , 	11 , 	15 , 	44 , 	10 , 	16 ," 	1,764 ",,,Dtwn SF," 	1,136 ",,,,,,
CN, 	17 , 	11 , 	6 , 	5 , 	29 , 	7 , 	19 , 	11 , 	49 , 	15 , 	34 , 	78 , 	6 , 	5 , 	11 , 	4 , 	12 , 	17 , 	16 , 	87 , 	216 , 	45 , 	21 , 	29 , 	4 , 	61 , 	55 , 	149 , 	79 , 	29 , 	40 , 	15 , 	15 , 	21 , 	29 , 	3 , 	6 , 	13 , 	113 ," 	1,379 ",,,OAK," 	6,807 ", 	570 ,,,,,
PH, 	5 , 	6 , 	4 , 	3 , 	23 , 	5 , 	14 , 	10 , 	33 , 	10 , 	7 , 	110 , 	5 , 	4 , 	4 , 	2 , 	8 , 	15 , 	45 , 	6 , 	57 , 	15 , 	8 , 	27 , 	2 , 	86 , 	74 , 	169 , 	112 , 	15 , 	14 , 	12 , 	5 , 	20 , 	27 , 	2 , 	2 , 	3 , 	28 , 	995 ,,,CM line," 	20,335 "," 	1,969 "," 	3,576 ",,,,
WC, 	9 , 	11 , 	6 , 	5 , 	36 , 	8 , 	21 , 	15 , 	53 , 	28 , 	15 , 	119 , 	6 , 	5 , 	5 , 	3 , 	5 , 	13 , 	266 , 	56 , 	6 , 	33 , 	9 , 	44 , 	3 , 	100 , 	78 , 	218 , 	154 , 	13 , 	19 , 	11 , 	5 , 	18 , 	20 , 	2 , 	2 , 	14 , 	56 ," 	1,488 ",,,RM line," 	6,964 "," 	2,858 "," 	1,959 "," 	2,653 ",,,
LF, 	5 , 	7 , 	4 , 	2 , 	16 , 	2 , 	9 , 	7 , 	20 , 	15 , 	10 , 	108 , 	2 , 	3 , 	2 , 	0 , 	2 , 	5 , 	49 , 	14 , 	37 , 	4 , 	8 , 	33 , 	2 , 	58 , 	51 , 	124 , 	112 , 	12 , 	6 , 	3 , 	3 , 	6 , 	7 , 	1 , 	1 , 	3 , 	11 , 	759 ,,,WP line," 	6,409 "," 	1,277 "," 	1,455 ", 	871 ," 	1,983 ",,
OR, 	2 , 	4 , 	4 , 	1 , 	16 , 	4 , 	9 , 	4 , 	15 , 	34 , 	11 , 	110 , 	1 , 	2 , 	1 , 	-   , 	0 , 	5 , 	26 , 	12 , 	12 , 	5 , 	3 , 	24 , 	1 , 	48 , 	46 , 	109 , 	71 , 	9 , 	10 , 	2 , 	3 , 	6 , 	6 , 	0 , 	0 , 	1 , 	5 , 	618 ,,,FT/ED line," 	9,462 "," 	4,291 "," 	2,582 "," 	3,704 "," 	2,457 "," 	8,570 "," 	91,889 "
RR, 	35 , 	19 , 	12 , 	17 , 	21 , 	7 , 	14 , 	27 , 	32 , 	10 , 	22 , 	90 , 	12 , 	10 , 	4 , 	2 , 	3 , 	7 , 	33 , 	16 , 	29 , 	14 , 	11 , 	4 , 	4 , 	138 , 	150 , 	337 , 	189 , 	41 , 	30 , 	14 , 	7 , 	13 , 	17 , 	2 , 	4 , 	3 , 	21 ," 	1,417 ",,,,,,,,,,
OW, 	23 , 	14 , 	1 , 	7 , 	24 , 	20 , 	26 , 	10 , 	25 , 	9 , 	54 , 	60 , 	11 , 	21 , 	8 , 	5 , 	5 , 	3 , 	5 , 	2 , 	3 , 	2 , 	1 , 	4 , 	1 , 	93 , 	94 , 	293 , 	95 , 	38 , 	49 , 	8 , 	9 , 	3 , 	5 , 	1 , 	7 , 	1 , 	10 ," 	1,046 ",,,,,,,,,,
EM, 	43 , 	79 , 	51 , 	88 , 	192 , 	71 , 	105 , 	83 , 	183 , 	90 , 	132 , 	248 , 	76 , 	73 , 	49 , 	31 , 	49 , 	106 , 	68 , 	96 , 	101 , 	53 , 	48 , 	122 , 	90 , 	29 , 	29 , 	120 , 	82 , 	264 , 	289 , 	116 , 	170 , 	97 , 	68 , 	48 , 	151 , 	19 , 	69 ," 	3,875 ",,,,,,,,,,
MT, 	57 , 	80 , 	65 , 	80 , 	149 , 	73 , 	120 , 	86 , 	212 , 	100 , 	105 , 	119 , 	75 , 	55 , 	33 , 	19 , 	37 , 	87 , 	58 , 	75 , 	86 , 	54 , 	44 , 	136 , 	101 , 	15 , 	25 , 	51 , 	43 , 	232 , 	311 , 	237 , 	574 , 	140 , 	102 , 	31 , 	100 , 	16 , 	48 ," 	4,027 ",,,,,,,,,,
PL, 	192 , 	312 , 	249 , 	235 , 	772 , 	226 , 	351 , 	231 , 	436 , 	283 , 	523 , 	436 , 	172 , 	165 , 	84 , 	69 , 	131 , 	278 , 	163 , 	193 , 	229 , 	129 , 	122 , 	320 , 	335 , 	104 , 	44 , 	96 , 	160 , 	961 ," 	1,258 ", 	614 , 	982 , 	524 , 	406 , 	89 , 	293 , 	43 , 	126 ," 	12,336 ",,,,,,,,,,
CC, 	42 , 	109 , 	62 , 	103 , 	195 , 	87 , 	172 , 	126 , 	174 , 	104 , 	130 , 	163 , 	80 , 	75 , 	32 , 	16 , 	43 , 	110 , 	76 , 	112 , 	141 , 	112 , 	69 , 	154 , 	110 , 	62 , 	41 , 	168 , 	67 , 	511 , 	676 , 	263 , 	497 , 	257 , 	228 , 	45 , 	197 , 	31 , 	62 ," 	5,701 ",,,,,,,,,,
16, 	50 , 	35 , 	19 , 	37 , 	77 , 	49 , 	78 , 	46 , 	66 , 	42 , 	81 , 	63 , 	17 , 	20 , 	12 , 	12 , 	6 , 	19 , 	30 , 	12 , 	18 , 	11 , 	5 , 	41 , 	34 , 	180 , 	218 ," 	1,020 ", 	454 , 	67 , 	214 , 	128 , 	250 , 	121 , 	-   , 	-   , 	-   , 	-   , 	-   ," 	3,533 ",,,,,,,,,,
24, 	71 , 	60 , 	21 , 	35 , 	70 , 	47 , 	70 , 	38 , 	65 , 	51 , 	112 , 	103 , 	30 , 	20 , 	15 , 	10 , 	14 , 	19 , 	44 , 	15 , 	18 , 	9 , 	8 , 	43 , 	44 , 	254 , 	315 ," 	1,410 ", 	627 , 	209 , 	65 , 	115 , 	275 , 	150 , 	130 , 	9 , 	28 , 	7 , 	45 ," 	4,665 ",,,,,,,,,,
GP, 	11 , 	17 , 	9 , 	10 , 	27 , 	9 , 	17 , 	15 , 	25 , 	21 , 	19 , 	71 , 	12 , 	9 , 	4 , 	4 , 	5 , 	12 , 	9 , 	12 , 	9 , 	4 , 	5 , 	21 , 	12 , 	126 , 	132 , 	923 , 	228 , 	115 , 	104 , 	19 , 	41 , 	17 , 	47 , 	7 , 	14 , 	2 , 	17 ," 	2,160 ",,,,,,,,,,
BP, 	22 , 	20 , 	5 , 	8 , 	24 , 	8 , 	24 , 	13 , 	54 , 	27 , 	33 , 	40 , 	15 , 	17 , 	8 , 	7 , 	9 , 	12 , 	17 , 	6 , 	8 , 	3 , 	4 , 	8 , 	16 , 	178 , 	256 ," 	1,869 ", 	416 , 	249 , 	289 , 	45 , 	33 , 	33 , 	74 , 	6 , 	9 , 	4 , 	20 ," 	3,885 ",,,,,,,,,,
DC, 	7 , 	23 , 	6 , 	11 , 	31 , 	10 , 	14 , 	11 , 	39 , 	60 , 	22 , 	104 , 	15 , 	14 , 	9 , 	7 , 	9 , 	18 , 	15 , 	18 , 	15 , 	4 , 	7 , 	10 , 	8 , 	101 , 	114 , 	657 , 	223 , 	120 , 	147 , 	23 , 	40 , 	7 , 	37 , 	3 , 	32 , 	5 , 	22 ," 	2,015 ",,,,,,,,,,
CM, 	18 , 	22 , 	9 , 	11 , 	31 , 	11 , 	16 , 	16 , 	50 , 	25 , 	17 , 	50 , 	9 , 	12 , 	10 , 	8 , 	10 , 	7 , 	29 , 	21 , 	22 , 	7 , 	8 , 	15 , 	6 , 	77 , 	93 , 	480 , 	206 , 	95 , 	134 , 	52 , 	86 , 	37 , 	9 , 	5 , 	14 , 	10 , 	47 ," 	1,781 ",,,,,,,,,,
