Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Jan-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
GP, 	25 , 	57 , 	22 , 	33 , 	96 , 	31 , 	65 , 	105 , 	143 , 	41 , 	64 , 	50 , 	32 , 	30 , 	31 , 	14 , 	17 , 	28 , 	46 , 	44 , 	48 , 	22 , 	14 , 	41 , 	34 ," 	1,255 "," 	1,616 "," 	1,563 ", 	753 , 	320 , 	287 , 	33 , 	176 , 	70 , 	94 , 	13 , 	60 , 	12 , 	37 ," 	7,423 ",,,,,,,,,,,
BP, 	35 , 	85 , 	32 , 	31 , 	79 , 	34 , 	61 , 	99 , 	151 , 	52 , 	82 , 	55 , 	48 , 	30 , 	25 , 	18 , 	19 , 	28 , 	41 , 	35 , 	32 , 	10 , 	10 , 	45 , 	62 ," 	1,429 "," 	2,050 "," 	3,263 "," 	1,515 ", 	711 , 	760 , 	166 , 	74 , 	136 , 	184 , 	10 , 	36 , 	14 , 	49 ," 	11,598 ",,,,,,,,,,,
DC, 	27 , 	81 , 	36 , 	37 , 	109 , 	36 , 	65 , 	143 , 	174 , 	64 , 	85 , 	73 , 	53 , 	40 , 	33 , 	21 , 	25 , 	45 , 	53 , 	59 , 	59 , 	18 , 	16 , 	40 , 	39 ," 	1,280 "," 	1,799 "," 	1,215 ", 	694 , 	221 , 	279 , 	81 , 	157 , 	14 , 	70 , 	18 , 	83 , 	19 , 	56 ," 	7,418 ",,,,,,,,,,,
CM, 	29 , 	72 , 	17 , 	23 , 	87 , 	26 , 	50 , 	160 , 	215 , 	23 , 	42 , 	45 , 	27 , 	22 , 	18 , 	10 , 	14 , 	19 , 	62 , 	53 , 	62 , 	22 , 	19 , 	29 , 	30 ," 	1,417 "," 	1,662 "," 	1,015 ", 	713 , 	179 , 	233 , 	101 , 	203 , 	60 , 	11 , 	7 , 	34 , 	20 , 	85 ," 	6,918 ",,,,,,,,,,,
CV, 	7 , 	4 , 	4 , 	3 , 	42 , 	8 , 	16 , 	47 , 	87 , 	62 , 	49 , 	45 , 	36 , 	50 , 	24 , 	17 , 	14 , 	28 , 	4 , 	4 , 	4 , 	0 , 	1 , 	4 , 	6 , 	452 , 	453 , 	212 , 	175 , 	21 , 	19 , 	12 , 	10 , 	18 , 	8 , 	6 , 	129 , 	1 , 	3 ," 	2,083 ",,,,,,,,,,,
ED, 	31 , 	48 , 	21 , 	18 , 	105 , 	30 , 	52 , 	160 , 	239 , 	140 , 	170 , 	186 , 	107 , 	260 , 	88 , 	63 , 	70 , 	113 , 	17 , 	11 , 	7 , 	3 , 	2 , 	15 , 	30 ," 	1,296 "," 	1,192 ", 	610 , 	419 , 	71 , 	55 , 	65 , 	39 , 	82 , 	36 , 	146 , 	24 , 	2 , 	15 ," 	6,038 ",,,,,,,,,,,
NC, 	6 , 	10 , 	2 , 	3 , 	36 , 	4 , 	26 , 	101 , 	119 , 	8 , 	9 , 	15 , 	7 , 	5 , 	7 , 	3 , 	4 , 	8 , 	76 , 	33 , 	64 , 	11 , 	8 , 	22 , 	4 , 	428 , 	430 , 	196 , 	170 , 	26 , 	19 , 	14 , 	15 , 	18 , 	21 , 	1 , 	2 , 	6 , 	81 ," 	2,019 ",,,,,,,,,,,
WP, 	30 , 	30 , 	9 , 	7 , 	78 , 	22 , 	116 , 	228 , 	287 , 	25 , 	47 , 	72 , 	27 , 	20 , 	31 , 	18 , 	23 , 	38 , 	551 , 	179 , 	274 , 	33 , 	18 , 	51 , 	31 , 	652 , 	714 , 	403 , 	361 , 	96 , 	99 , 	46 , 	50 , 	57 , 	92 , 	4 , 	14 , 	91 , 	14 ," 	4,939 ",,,,,,,,,,,
Entries," 	4,049 "," 	7,901 "," 	4,120 "," 	3,566 "," 	10,453 "," 	4,341 "," 	6,441 "," 	8,387 "," 	11,960 "," 	4,471 "," 	7,708 "," 	5,969 "," 	5,014 "," 	5,056 "," 	5,053 "," 	3,071 "," 	3,927 "," 	6,098 "," 	6,177 "," 	6,946 "," 	5,676 "," 	2,832 "," 	2,442 "," 	4,432 "," 	4,893 "," 	31,805 "," 	35,064 "," 	26,612 "," 	18,089 "," 	9,537 "," 	12,111 "," 	7,415 "," 	11,663 "," 	7,181 "," 	6,482 "," 	2,012 "," 	5,818 "," 	1,967 "," 	4,439 "," 	321,181 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
