Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jan-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	6 , 	111 , 	56 , 	53 , 	273 , 	93 , 	70 , 	44 , 	91 , 	29 , 	96 , 	89 , 	21 , 	16 , 	23 , 	12 , 	8 , 	20 , 	20 , 	7 , 	14 , 	6 , 	4 , 	11 , 	22 , 	52 , 	66 , 	219 , 	89 , 	92 , 	118 , 	15 , 	38 , 	23 , 	24 , 	3 , 	10 , 	4 , 	18 ," 	1,966 ",,,Eastbay," 	40,505 ",,SF CBD," 	81,444 ",58.8%,,
EN, 	116 , 	12 , 	52 , 	65 , 	504 , 	116 , 	117 , 	90 , 	178 , 	54 , 	97 , 	163 , 	43 , 	32 , 	32 , 	15 , 	17 , 	43 , 	34 , 	13 , 	19 , 	7 , 	9 , 	22 , 	20 , 	196 , 	215 , 	596 , 	214 , 	64 , 	117 , 	34 , 	49 , 	44 , 	41 , 	5 , 	13 , 	5 , 	20 ," 	3,478 ",,,Westbay," 	38,083 ",,non-CBD," 	56,984 ",41.2%,,
EP, 	62 , 	36 , 	5 , 	20 , 	348 , 	47 , 	37 , 	39 , 	76 , 	34 , 	29 , 	104 , 	8 , 	12 , 	9 , 	4 , 	11 , 	22 , 	9 , 	7 , 	11 , 	3 , 	4 , 	12 , 	5 , 	98 , 	130 , 	314 , 	147 , 	33 , 	29 , 	13 , 	8 , 	19 , 	16 , 	2 , 	7 , 	1 , 	6 ," 	1,782 ",,,Transbay," 	59,840 ",,,,,,
NB, 	71 , 	61 , 	26 , 	7 , 	120 , 	45 , 	37 , 	47 , 	106 , 	32 , 	55 , 	90 , 	11 , 	12 , 	14 , 	6 , 	8 , 	15 , 	10 , 	9 , 	17 , 	4 , 	4 , 	11 , 	8 , 	131 , 	181 , 	364 , 	238 , 	65 , 	49 , 	17 , 	13 , 	13 , 	10 , 	6 , 	6 , 	1 , 	6 ," 	1,919 ",,,,,,,,,,
BK, 	305 , 	489 , 	339 , 	124 , 	17 , 	296 , 	228 , 	204 , 	329 , 	111 , 	233 , 	214 , 	63 , 	89 , 	62 , 	28 , 	51 , 	119 , 	66 , 	38 , 	66 , 	32 , 	29 , 	36 , 	41 , 	283 , 	293 , 	878 , 	316 , 	123 , 	105 , 	38 , 	30 , 	54 , 	42 , 	24 , 	53 , 	11 , 	31 ," 	5,891 ",,,Extensions," 	16,022 ",,,,,,
AS, 	93 , 	111 , 	46 , 	39 , 	229 , 	8 , 	72 , 	79 , 	109 , 	54 , 	97 , 	110 , 	23 , 	30 , 	23 , 	7 , 	7 , 	15 , 	13 , 	8 , 	12 , 	5 , 	5 , 	15 , 	23 , 	118 , 	138 , 	321 , 	226 , 	88 , 	63 , 	18 , 	11 , 	12 , 	18 , 	4 , 	16 , 	2 , 	12 ," 	2,276 ",,,,,,,,,,
MA, 	75 , 	118 , 	29 , 	39 , 	182 , 	74 , 	9 , 	44 , 	89 , 	31 , 	92 , 	171 , 	35 , 	49 , 	38 , 	18 , 	18 , 	31 , 	30 , 	18 , 	26 , 	11 , 	11 , 	24 , 	45 , 	200 , 	228 , 	552 , 	329 , 	109 , 	84 , 	25 , 	29 , 	19 , 	18 , 	4 , 	15 , 	6 , 	42 ," 	2,962 ",,,,,,,,,,
19, 	53 , 	86 , 	44 , 	53 , 	184 , 	79 , 	47 , 	4 , 	36 , 	13 , 	65 , 	108 , 	41 , 	44 , 	34 , 	16 , 	28 , 	33 , 	34 , 	32 , 	30 , 	18 , 	13 , 	36 , 	22 , 	98 , 	120 , 	293 , 	173 , 	60 , 	51 , 	24 , 	22 , 	17 , 	19 , 	6 , 	17 , 	5 , 	34 ," 	2,094 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	88 , 	161 , 	70 , 	89 , 	283 , 	107 , 	87 , 	34 , 	11 , 	33 , 	125 , 	236 , 	98 , 	116 , 	76 , 	41 , 	52 , 	91 , 	58 , 	50 , 	60 , 	32 , 	27 , 	66 , 	47 , 	227 , 	261 , 	708 , 	294 , 	82 , 	87 , 	42 , 	64 , 	61 , 	55 , 	10 , 	30 , 	11 , 	54 ," 	4,120 ",,,Dtwn SF," 	1,673 "," 	5,474 "," 	15,211 "," 	6,336 "," 	5,200 "," 	7,465 "," 	41,358 "
LM, 	23 , 	45 , 	31 , 	34 , 	103 , 	57 , 	38 , 	14 , 	31 , 	8 , 	97 , 	169 , 	104 , 	114 , 	41 , 	28 , 	62 , 	102 , 	16 , 	11 , 	23 , 	10 , 	5 , 	20 , 	28 , 	134 , 	135 , 	383 , 	171 , 	55 , 	64 , 	23 , 	29 , 	34 , 	20 , 	36 , 	58 , 	4 , 	9 ," 	2,365 ",,,OAK," 	5,421 ", 	791 ," 	1,257 "," 	2,249 ", 	872 ," 	2,802 "," 	13,391 "
FV, 	100 , 	96 , 	40 , 	48 , 	200 , 	98 , 	99 , 	74 , 	151 , 	96 , 	18 , 	376 , 	172 , 	220 , 	187 , 	69 , 	72 , 	82 , 	41 , 	19 , 	29 , 	15 , 	24 , 	30 , 	77 , 	206 , 	227 , 	651 , 	269 , 	142 , 	201 , 	35 , 	52 , 	39 , 	27 , 	32 , 	84 , 	6 , 	25 ," 	4,430 ",,,CM line," 	15,852 "," 	1,293 "," 	5,347 "," 	1,498 ", 	969 ," 	1,750 "," 	26,710 "
