Fast Pass OD,,,,,,Jul 09,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,80,47,182,200,625,"1,044",795,"1,242","4,216"
MT,47,62,107,180,753,"1,323","1,111","2,207","5,790"
PL,252,149,86,137,724,"1,004",684,"1,761","4,797"
CC,167,163,150,52,496,678,502,"1,221","3,430"
16,564,633,907,550,29,213,244,628,"3,769"
24,831,993,"1,256",703,228,35,166,492,"4,705"
GP,697,804,898,453,234,172,28,114,"3,400"
BP,"1,057","1,196","2,548","1,098",592,505,123,43,"7,162"
Entries,"3,695","4,049","6,133","3,374","3,681","4,975","3,652","7,708","37,268"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,36,9,81,51,256,308,192,370,"1,301"
MT,12,22,29,27,257,306,293,"1,026","1,970"
PL,79,21,78,67,609,848,540,"1,307","3,548"
CC,44,22,62,38,313,370,181,415,"1,445"
16,206,163,757,361,29,158,154,367,"2,194"
24,246,204,970,399,144,35,127,316,"2,440"
GP,170,143,681,158,137,118,28,67,"1,502"
BP,340,314,"1,920",385,325,276,72,46,"3,677"
Entries,"1,132",897,"4,576","1,485","2,069","2,419","1,586","3,912","18,076"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,6,39,37,149,178,106,228,767
MT,7,21,21,19,179,210,190,699,"1,345"
PL,47,15,76,42,481,619,377,972,"2,627"
CC,34,17,50,50,281,293,160,379,"1,263"
16,153,103,579,300,39,112,113,278,"1,678"
24,189,140,776,344,108,42,97,245,"1,940"
GP,117,86,549,142,112,95,23,35,"1,158"
BP,260,215,"1,570",359,267,240,42,39,"2,991"
Entries,830,604,"3,660","1,292","1,616","1,788","1,107","2,873","13,769"
