Exit stations,Entry stations->,,TOTAL,,,Jul 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	696 ," 	1,649 "," 	1,629 ", 	893 ," 	6,062 "," 	1,193 "," 	1,791 "," 	1,381 "," 	1,886 ", 	522 ," 	1,388 ", 	969 , 	647 , 	339 , 	395 , 	229 , 	170 , 	214 , 	376 , 	196 , 	325 , 	169 , 	142 , 	336 , 	501 ," 	5,012 "," 	3,647 "," 	6,416 "," 	3,492 "," 	2,380 "," 	2,728 ", 	642 , 	599 , 	523 , 	308 , 	107 , 	152 , 	66 , 	183 , 	174 , 	354 ," 	1,272 ", 	363 , 	52 , 	228 , 	290 , 	195 , 	277 , 	151 , 	234 ," 	53,943 ",,,,,,,,,,,,,
DC, 	662 ," 	1,125 ", 	311 , 	237 , 	940 , 	235 , 	684 ," 	1,105 "," 	1,462 ", 	568 , 	879 , 	647 , 	737 , 	537 , 	353 , 	207 , 	336 , 	298 , 	532 , 	417 , 	447 , 	128 , 	179 , 	369 , 	762 ," 	12,890 "," 	13,083 "," 	17,691 "," 	9,977 "," 	6,310 "," 	5,070 "," 	1,438 "," 	1,297 ", 	607 , 	611 , 	280 , 	730 , 	155 , 	475 ," 	1,200 "," 	1,995 "," 	4,227 "," 	2,937 ", 	283 , 	179 , 	160 , 	209 , 	219 , 	145 , 	500 ," 	96,825 ",,,,,,,,,,,,,
CM, 	258 , 	294 , 	86 , 	107 , 	429 , 	63 , 	263 , 	398 , 	687 , 	110 , 	125 , 	98 , 	130 , 	110 , 	101 , 	52 , 	66 , 	62 , 	197 , 	68 , 	176 , 	59 , 	40 , 	56 , 	184 ," 	4,812 "," 	4,375 "," 	5,811 "," 	3,733 "," 	2,324 "," 	1,994 ", 	983 ," 	1,239 ", 	496 , 	253 , 	45 , 	122 , 	60 , 	236 , 	222 , 	717 ," 	1,661 "," 	1,244 ", 	17 , 	26 , 	16 , 	15 , 	20 , 	62 , 	296 ," 	34,998 ",,,,,,,,,,,,,
CV, 	113 , 	82 , 	68 , 	36 , 	481 , 	75 , 	157 , 	351 , 	317 ," 	1,240 ", 	849 , 	732 , 	795 , 	622 , 	271 , 	254 , 	193 , 	281 , 	64 , 	66 , 	76 , 	16 , 	15 , 	71 , 	335 ," 	4,761 "," 	3,486 "," 	2,818 "," 	2,379 ", 	804 , 	463 , 	165 , 	227 , 	308 , 	43 , 	227 ," 	1,515 ", 	17 , 	37 , 	45 , 	81 , 	273 , 	78 ," 	1,084 ", 	107 , 	159 , 	147 , 	98 , 	5 , 	32 ," 	26,919 ",,,,,,,,,,,,,
ED, 	166 , 	344 , 	120 , 	188 ," 	1,741 ", 	247 , 	656 ," 	1,187 "," 	1,601 "," 	1,941 "," 	2,112 "," 	2,644 "," 	1,986 "," 	1,592 ", 	969 , 	561 , 	821 , 	712 , 	149 , 	85 , 	99 , 	30 , 	14 , 	77 , 	433 ," 	17,339 "," 	9,383 "," 	7,349 "," 	5,264 "," 	1,708 "," 	1,093 ", 	556 , 	510 , 	757 , 	122 ," 	1,525 "," 	1,126 ", 	19 , 	45 , 	124 , 	140 ," 	2,487 ", 	198 , 	782 ," 	1,017 ", 	370 , 	591 , 	589 , 	30 , 	91 ," 	73,690 ",,,,,,,,,,,,,
NC, 	66 , 	68 , 	45 , 	36 , 	188 , 	45 , 	298 , 	377 , 	419 , 	98 , 	93 , 	166 , 	91 , 	30 , 	43 , 	15 , 	31 , 	22 , 	610 , 	296 , 	347 , 	110 , 	44 , 	197 , 	64 ," 	1,907 "," 	1,317 "," 	1,355 "," 	1,216 ", 	438 , 	400 , 	99 , 	152 , 	153 , 	56 , 	12 , 	23 , 	120 , 	494 , 	113 , 	82 , 	557 , 	43 , 	6 , 	144 , 	44 , 	20 , 	44 , 	370 , 	486 ," 	13,450 ",,,,,,,,,,,,,
WP, 	210 , 	246 , 	96 , 	96 , 	594 , 	106 ," 	1,228 ", 	940 ," 	1,464 ", 	175 , 	214 , 	329 , 	198 , 	123 , 	204 , 	80 , 	90 , 	131 ," 	2,561 "," 	1,018 "," 	1,957 ", 	407 , 	197 , 	560 , 	269 ," 	4,825 "," 	4,049 "," 	5,928 "," 	3,658 "," 	1,539 "," 	1,317 ", 	439 , 	541 , 	508 , 	200 , 	35 , 	40 , 	485 , 	368 , 	204 , 	209 ," 	1,613 ", 	116 , 	39 , 	281 , 	117 , 	98 , 	82 , 	267 , 	469 ," 	40,920 ",,,,,,,,,,,,,
SS, 	167 , 	311 , 	89 , 	93 , 	441 , 	76 , 	268 , 	454 , 	701 , 	152 , 	141 , 	161 , 	167 , 	147 , 	98 , 	64 , 	54 , 	21 , 	228 , 	183 , 	222 , 	64 , 	58 , 	150 , 	233 ," 	4,208 "," 	3,854 "," 	4,712 "," 	3,346 "," 	1,834 "," 	1,570 ", 	682 , 	955 ," 	1,272 ", 	299 , 	61 , 	131 , 	115 , 	202 , 	251 , 	462 , 	856 , 	627 , 	36 , 	32 , 	63 , 	25 , 	26 , 	37 , 	264 ," 	30,663 ",,,,,,,,,,,,,
SB, 	359 , 	380 , 	88 , 	93 , 	364 , 	190 , 	281 , 	484 , 	678 , 	186 , 	285 , 	253 , 	159 , 	171 , 	170 , 	63 , 	41 , 	57 , 	330 , 	216 , 	273 , 	94 , 	87 , 	165 , 	385 ," 	3,834 "," 	3,692 "," 	4,701 "," 	3,549 "," 	2,233 "," 	1,960 ", 	961 ," 	1,560 "," 	1,872 ", 	680 , 	95 , 	139 , 	113 , 	244 , 	493 , 	286 ," 	1,869 ", 	602 , 	49 , 	53 , 	46 , 	30 , 	16 , 	88 , 	314 ," 	35,331 ",,,,,,,,,,,,,
SO," 	1,256 "," 	1,586 "," 	1,266 "," 	1,721 "," 	2,595 "," 	1,199 "," 	1,830 "," 	1,533 "," 	1,971 ", 	456 , 	834 , 	442 , 	412 , 	253 , 	199 , 	116 , 	208 , 	390 ," 	1,903 "," 	2,240 "," 	2,560 "," 	1,639 "," 	1,362 "," 	2,022 "," 	2,170 "," 	6,271 "," 	5,519 "," 	19,804 "," 	5,554 "," 	3,673 "," 	2,447 "," 	1,656 "," 	1,486 "," 	3,395 "," 	1,300 ", 	178 ," 	1,794 ", 	558 ," 	1,504 ", 	628 ," 	1,219 "," 	2,319 "," 	6,359 ", 	458 , 	311 , 	175 , 	168 , 	126 , 	217 ," 	1,393 "," 	100,675 ",,,,,,,,,,,,,
MB, 	382 , 	621 , 	284 , 	361 ," 	1,734 ", 	368 , 	595 , 	703 , 	918 , 	163 , 	184 , 	346 , 	99 , 	121 , 	95 , 	56 , 	45 , 	19 , 	309 , 	136 , 	196 , 	83 , 	60 , 	173 , 	434 ," 	6,178 "," 	5,523 "," 	5,504 "," 	4,390 "," 	2,808 "," 	2,268 "," 	1,320 "," 	1,620 "," 	2,919 "," 	1,008 ", 	51 , 	178 , 	31 , 	119 , 	613 , 	525 ," 	8,348 "," 	1,068 ", 	101 , 	78 , 	10 , 	11 , 	20 , 	66 , 	216 ," 	53,458 ",,,,,,,,,,,,,
WD, 	69 , 	195 , 	96 , 	80 , 	520 , 	75 , 	240 , 	565 , 	473 ," 	1,003 "," 	1,047 ", 	887 ," 	1,033 "," 	1,066 ", 	610 , 	310 , 	464 , 	363 , 	118 , 	47 , 	31 , 	2 , 	24 , 	28 , 	170 ," 	6,889 "," 	3,746 "," 	2,306 "," 	2,131 ", 	840 , 	391 , 	273 , 	275 , 	270 , 	16 ," 	1,187 ", 	853 , 	12 , 	48 , 	39 , 	49 , 	646 , 	90 , 	280 , 	430 , 	172 , 	263 , 	313 , 	11 , 	29 ," 	31,075 ",,,,,,,,,,,,,
OA, 	176 , 	512 , 	388 , 	396 , 	754 , 	301 , 	377 , 	405 , 	474 , 	281 , 	157 , 	495 , 	113 , 	114 , 	142 , 	91 , 	165 , 	224 , 	351 , 	373 , 	402 , 	232 , 	119 , 	185 , 	146 ," 	1,428 ", 	994 ," 	1,406 ", 	664 , 	301 , 	266 , 	217 , 	129 , 	123 , 	20 , 	72 , 	674 , 	91 , 	260 , 	19 , 	33 , 	400 , 	62 , 	268 , 	232 , 	73 , 	202 , 	129 , 	37 , 	247 ," 	15,720 ",,,,,,,,,,,,,
WS, 	303 , 	492 , 	166 , 	180 ," 	1,271 ", 	179 , 	456 , 	783 , 	697 , 	864 ," 	1,079 ", 	833 , 	852 , 	938 ," 	1,340 "," 	1,214 "," 	1,602 "," 	1,519 ", 	102 , 	86 , 	43 , 	15 , 	24 , 	91 , 	201 ," 	2,576 "," 	1,824 "," 	1,329 "," 	1,124 ", 	535 , 	269 , 	128 , 	153 , 	179 , 	20 , 	140 , 	342 , 	44 , 	108 , 	67 , 	42 , 	316 , 	18 , 	133 , 	108 , 	379 ," 	1,724 "," 	1,502 ", 	39 , 	111 ," 	28,540 ",,,,,,,,,,,,,
ML, 	267 , 	390 , 	207 , 	251 ," 	1,569 ", 	284 , 	518 , 	809 , 	783 , 	704 , 	719 , 	710 , 	762 , 	798 ," 	1,080 ", 	651 ," 	1,695 "," 	1,900 ", 	157 , 	243 , 	99 , 	51 , 	73 , 	129 , 	141 ," 	3,577 "," 	2,708 "," 	2,055 "," 	1,347 ", 	485 , 	329 , 	156 , 	210 , 	242 , 	26 , 	152 , 	632 , 	27 , 	75 , 	31 , 	42 , 	255 , 	18 , 	249 , 	201 ," 	1,793 ", 	608 , 	579 , 	26 , 	99 ," 	30,912 ",,,,,,,,,,,,,
BE, 	283 , 	522 , 	190 , 	278 ," 	2,156 ", 	364 , 	638 , 	985 ," 	1,057 ", 	822 , 	867 ," 	1,134 ", 	746 , 	713 , 	972 , 	753 ," 	1,152 "," 	1,861 ", 	184 , 	155 , 	139 , 	49 , 	50 , 	154 , 	187 ," 	4,065 "," 	2,663 "," 	2,386 "," 	1,650 ", 	706 , 	475 , 	203 , 	246 , 	238 , 	46 , 	112 , 	654 , 	44 , 	91 , 	27 , 	15 , 	218 , 	9 , 	268 , 	195 ," 	1,715 ", 	527 , 	521 , 	39 , 	135 ," 	33,659 ",,,,,,,,,,,,,
PC, 	135 , 	74 , 	33 , 	33 , 	273 , 	68 , 	515 , 	349 , 	374 , 	133 , 	104 , 	152 , 	89 , 	63 , 	84 , 	35 , 	18 , 	44 ," 	1,411 ", 	438 , 	690 , 	144 , 	151 , 	189 , 	168 , 	757 , 	662 ," 	1,229 ", 	776 , 	386 , 	286 , 	116 , 	170 , 	130 , 	81 , 	3 , 	39 , 	321 , 	252 , 	66 , 	74 , 	236 , 	47 , 	23 , 	67 , 	29 , 	12 , 	48 , 	48 , 	439 ," 	12,064 ",,,,,,,,,,,,,
AN, 	246 , 	231 , 	87 , 	62 , 	550 , 	223 ," 	1,456 "," 	1,171 "," 	1,708 ", 	273 , 	300 , 	570 , 	382 , 	171 , 	197 , 	96 , 	101 , 	129 ," 	2,004 ", 	869 ," 	1,627 ", 	275 , 	143 , 	567 , 	274 ," 	5,032 "," 	4,117 "," 	4,336 "," 	3,693 "," 	1,290 ", 	999 , 	620 , 	474 , 	501 , 	325 , 	54 , 	109 , 	439 , 	517 , 	273 , 	302 ," 	1,738 ", 	223 , 	28 , 	436 , 	142 , 	106 , 	129 , 	524 , 	378 ," 	40,497 ",,,,,,,,,,,,,
Entries," 	56,652 "," 	82,524 "," 	45,866 "," 	42,718 "," 	121,975 "," 	47,511 "," 	88,152 "," 	104,393 "," 	114,373 "," 	66,166 "," 	89,939 "," 	63,550 "," 	70,974 "," 	59,916 "," 	47,906 "," 	32,826 "," 	41,079 "," 	46,186 "," 	57,024 "," 	51,127 "," 	60,659 "," 	34,051 "," 	27,441 "," 	54,048 "," 	84,915 "," 	363,894 "," 	272,255 "," 	319,560 "," 	213,819 "," 	139,405 "," 	131,053 "," 	75,921 "," 	92,362 "," 	93,628 "," 	35,514 "," 	26,977 "," 	74,051 "," 	13,839 "," 	40,113 "," 	30,226 "," 	33,485 "," 	121,081 "," 	54,327 "," 	29,656 "," 	19,237 "," 	29,793 "," 	30,094 "," 	32,276 "," 	12,499 "," 	39,416 "," 	3,916,452 ",,,,,,,,,,,,,
